Date,Close,High,Low,Open,Volume
2015-08-26,293.275,331.5,290,300,3974532
2015-08-27,317.925,328.45,297.55,298.5,1290003
2015-08-28,311.8,325.675,309.55,320.95,274983
2015-08-31,307.35,312.5,304.25,309.575,146561
2015-09-01,293.9,309.375,291.8,303,114905
2015-09-02,304.2,307.5,280.15,299.4,86057
2015-09-03,305.3,309.475,301.5,307,44136
2015-09-04,300.525,309.9,295.5,309.9,89176
2015-09-07,293.15,304,290.875,301.5,21473
2015-09-08,294.9,299.5,291.175,297.5,31816
2015-09-09,292.4,299,290.75,298.95,26040
2015-09-10,290.25,292.2,287,290,17927
2015-09-11,289.225,293.7,287.05,292.55,21051
2015-09-14,293.475,296.25,286,291,40046
2015-09-15,292.375,294.45,290.5,290.525,13668
2015-09-16,285.425,296.4,284.8,296.4,29892
2015-09-18,284.35,288.8,282.55,286,14969
2015-09-21,290,294.975,282.5,284.05,57477
2015-09-22,287.575,294.4,286.75,291,22498
2015-09-23,292.4,294.5,284.025,287.5,13576
2015-09-24,290.05,295.725,288.85,290.05,9359
2015-09-28,287.375,290.725,286.5,289.5,11661
2015-09-29,287.8,288.5,283.825,286.025,17187
2015-09-30,288.575,289.975,287.85,288.5,6338
2015-10-01,300.75,312.5,287.35,290,119940
2015-10-05,302.575,310,298.325,301.55,36452
2015-10-06,302.6,305,301,302.45,14779
2015-10-07,306.2,307.9,300.05,300.15,27310
2015-10-08,296.675,303.8,295.5,303.05,11343
2015-10-09,292,299.5,290.625,296.1,15990
2015-10-12,295.225,299,290,292.1,7860
2015-10-13,299.3,303.925,291.125,292.525,52993
2015-10-14,305.35,309.1,297.55,300,140076
2015-10-15,304.15,311.425,301.1,302.575,25994
2015-10-16,309.25,311,304.175,304.975,40475
2015-10-19,308.075,311.375,305.575,309.225,25150
2015-10-20,301.4,315.5,300,310.125,66026
2015-10-21,305.675,311.2,303.525,304.825,42130
2015-10-23,311.475,314.2,305.6,308.85,46311
2015-10-26,305.525,312,303.5,310.425,7968
2015-10-27,307.15,309.975,301,305.025,20048
2015-10-28,306.5,309.725,305,307.175,5675
2015-10-29,303.075,307.25,302,306.95,16171
2015-10-30,295.675,306,291.975,303.125,8641
2015-11-02,296.725,299.25,293.5,294.375,6720
2015-11-03,303.275,304.375,295.375,296.525,14542
2015-11-04,302.975,308.575,302.5,302.525,10069
2015-11-05,301.8,305.875,300,304.225,12247
2015-11-06,299.475,303.725,296,297.825,7029
2015-11-09,300.1,301.5,290.65,293,11925
2015-11-10,308.975,314.95,298,298,42949
2015-11-11,309.55,313,307.1,309.85,3263
2015-11-13,304.625,309.5,301.95,309.5,3348
2015-11-16,302.15,307.5,300.5,305,24081
2015-11-17,311.175,314.45,298.55,304,30368
2015-11-18,307.525,311.55,305.05,308.075,11314
2015-11-19,304.075,308.5,303.5,305.275,10808
2015-11-20,306.425,307.5,304.525,306.525,5985
2015-11-23,305.175,307.5,303.05,304.65,52161
2015-11-24,311.075,322.5,303.025,303.025,53313
2015-11-26,317.375,320,311.25,311.25,29402
2015-11-27,314.2,317.95,311.025,313.6,16164
2015-11-30,305.675,314,305.025,310.5,8013
2015-12-01,307.275,312,306.5,306.625,7547
2015-12-02,305.975,308.775,305.05,308.15,2989
2015-12-03,303.425,309,303,305,4206
2015-12-04,300.025,305,297.5,305,37096
2015-12-07,305.325,305.95,300,300,9456
2015-12-08,306.725,309.85,302.5,302.5,11129
2015-12-09,303.85,305.6,300.5,305,16284
2015-12-10,307,308.15,302.075,302.525,3687
2015-12-11,304.375,310.75,302.5,310.75,3591
2015-12-14,306.3,306.95,303,303.025,4714
2015-12-15,307.5,308,302.5,302.5,7346
2015-12-16,309.975,310.875,300.5,306.75,20979
2015-12-17,312.475,317,308.475,309.975,53910
2015-12-18,315.175,319.95,308.8,308.8,19967
2015-12-21,315.4,317.425,314,315,4773
2015-12-22,316.575,319.25,315,316.375,9635
2015-12-23,317.25,318.325,315.5,318.325,13477
2015-12-24,318.4,322.475,308,308,14067
2015-12-28,319.325,320,314,316,46539
2015-12-29,328.85,332.5,318,319.5,59711
2015-12-30,328.15,334.2,325.4,330.025,22410
2015-12-31,329.975,331.45,325,327.025,50473
2016-01-01,330.025,334.975,327.175,327.8,13234
2016-01-04,327.35,329.95,320,321.25,14526
2016-01-05,330.125,333.3,325,329.225,13768
2016-01-06,330.075,338.5,328.25,328.775,14743
2016-01-07,330.1,331,325.55,327.525,15329
2016-01-08,331.15,334.5,330,334.5,6466
2016-01-11,343.3,347.5,326,327,31755
2016-01-12,338,351.1,335,341,26534
2016-01-13,333.675,344,299.45,341.875,93121
2016-01-14,324.925,329.975,319.5,329.35,29221
2016-01-15,323.425,331.475,313.525,327.5,22869
2016-01-18,291.05,314.55,289.5,306.55,16210
2016-01-19,298.775,302,280.075,280.075,2823
2016-01-20,287.4,298.475,286,287.5,7200
2016-01-21,301.025,302.5,294.975,299.5,5379
2016-01-22,308.225,315,301,303,4881
2016-01-25,305.175,319,304,313.95,5584
2016-01-27,304.125,311,303.275,311,2266
2016-01-28,298.35,307.5,297.5,302,900
2016-01-29,295.45,302.5,294,300.675,12382
2016-02-01,299.7,303.25,298.5,300,3448
2016-02-02,294.9,303.5,291.6,302.5,3579
2016-02-03,291.375,296.5,289.95,291.075,1254
2016-02-04,292.575,297.425,290.5,295.775,1379
2016-02-05,293.725,295.025,288,293,2672
2016-02-08,292.125,299.225,290,291.775,3149
2016-02-09,291.775,293.975,290.55,290.625,480
2016-02-10,288.8,290.675,288.5,290.675,1696
2016-02-11,288.525,310.4,272.5,290,4596
2016-02-12,277.125,282.525,274,282.525,2334
2016-02-15,280.6,294,279,292.5,8896
2016-02-16,275.225,319.5,273.05,283,5900
2016-02-17,274.4,284,271.5,282.475,7133
2016-02-18,286.025,287.5,272.05,272.05,4935
2016-02-19,287.425,291.225,282.225,285,2416
2016-02-22,285.925,286.55,279.675,279.675,920
2016-02-23,280,289.25,278.5,280.625,7083
2016-02-24,281.775,287,276.5,287,10398
2016-02-25,282.45,282.525,274.075,274.075,478
2016-02-26,286.275,287.525,280,282.5,2153
2016-02-29,287.5,288.425,280,280.575,1840
2016-03-01,286.875,288.3,275.075,284.5,76611
2016-03-02,285,291.25,281.5,291,110987
2016-03-03,285.375,287,283.55,283.55,958
2016-03-04,285.3,292,283.025,288.375,2236
2016-03-08,283.275,286.325,283,286.275,2674
2016-03-09,280.275,285,277.5,277.5,1296
