Date,Close,High,Low,Open,Volume
2017-02-10,108.1,113.8,108.1,113.75,104044
2017-02-13,102.7,102.7,102.7,102.7,97098
2017-02-14,97.6,102,97.6,97.6,217564
2017-02-15,92.75,92.75,92.75,92.75,19993
2017-02-16,93.5,95.3,88.15,88.15,420449
2017-02-17,89.8,94,88.85,93,299065
2017-02-20,94.2,94.25,87,87,296207
2017-02-21,94.9,98.9,93.7,94.1,261839
2017-02-22,94.2,96,93.1,95,214358
2017-02-23,93.9,95.5,92.75,93.65,180250
2017-02-27,90.9,95,87.65,95,375044
2017-02-28,87.7,92,87.4,91.5,247698
2017-03-01,89.45,91.5,88.5,89,321772
2017-03-02,86.75,89.95,86.05,89.95,255212
2017-03-03,84.2,87.7,82.25,86.5,248256
2017-03-06,84.25,86.25,83.35,85.3,166796
2017-03-07,84.25,85.5,81.6,84.5,220519
2017-03-08,81,85,80.1,84.25,286522
2017-03-09,81.25,82.8,80.05,80.1,171526
2017-03-10,77.75,82.4,77,82.4,401364
2017-03-14,78.75,82.4,78.2,78.5,244647
2017-03-15,80.6,80.9,79,79,133863
2017-03-16,85.75,86.4,80.6,80.6,359629
2017-03-17,83.35,87.3,82.15,85.25,216907
2017-03-20,85.05,86.9,83,83.95,298798
2017-03-21,84.45,86.25,83.5,85.1,313313
2017-03-22,83.35,84.05,82.2,84.05,101426
2017-03-23,83.2,84.5,82,82,144884
2017-03-24,81.95,84.2,81.4,83.2,176061
2017-03-27,80.2,82.25,80,82,134142
2017-03-28,81.45,83.45,80.6,81.5,115558
2017-03-29,78.25,81.95,77.75,81.95,337761
2017-03-30,79.1,80.45,78.95,79,214685
2017-03-31,79.05,80.5,78.25,79.7,267799
2017-04-03,86.45,87.5,79.2,79.2,553161
2017-04-05,90.8,91.9,87,87,623384
2017-04-06,89.4,91.25,88.5,90,205059
2017-04-07,90.55,93,88.5,88.95,351832
2017-04-10,89.05,92.5,87.9,91.5,256950
2017-04-11,88.3,89.75,88.15,89.75,159715
2017-04-12,87.4,88.85,86.35,88.5,176261
2017-04-13,89.55,90.5,87,87.5,225880
2017-04-17,91.3,91.75,88,89.1,258155
2017-04-18,87.5,94.5,87.15,93.45,679276
2017-04-19,87.75,89,87,87.5,85741
2017-04-20,89.05,90.6,88.15,88.35,120105
2017-04-21,88,89.85,87.5,89.3,121802
2017-04-24,88.15,89,87,88,216864
2017-04-25,87.35,90.75,87,88.5,245958
2017-04-26,85.8,88.1,85.4,88.1,215121
