Date,Close,High,Low,Open,Volume
2023-06-09,3070.15,3149.95,2950,3090,7308
2023-06-12,3684.15,3684.15,3129.95,3132,28360
2023-06-13,3655.65,3975,3550,3768,44403
2023-06-14,3491.45,3787.95,3450,3787.95,8669
2023-06-15,3726.95,3840.55,3484.05,3525,56911
2023-06-16,3737.25,3784.8,3672,3750,9569
2023-06-19,4032.35,4050,3750,3783,21915
2023-06-20,4212.2,4297.65,3955,4048,17679
2023-06-21,4454.1,4633.4,4232.15,4250,52319
2023-06-22,4527.25,4674.3,4335,4490,21867
2023-06-23,4518.85,4600,4352.7,4527.25,9082
2023-06-26,4602.2,4650,4333.3,4552,14958
2023-06-27,4592.85,4640.2,4552,4586,2561
2023-06-28,4598.75,4626.45,4480,4560,4926
2023-06-30,4602.15,4700,4551,4700,4133
2023-07-03,4519.5,4586.05,4491,4585.05,2726
2023-07-04,4350.75,4500,4311.35,4485,4928
2023-07-05,4140.75,4313.95,4133.25,4280,6327
2023-07-06,3949.5,4304.9,3935.05,4304.9,10074
2023-07-07,3870.75,3979.9,3850,3930,5507
2023-07-10,4064.25,4064.25,3755,3860,4942
2023-07-11,4166.55,4267.45,4127.55,4240,7093
2023-07-12,4234.05,4304,4102.7,4170,3690
2023-07-13,4142.55,4318.75,4100,4318.75,2442
2023-07-14,4014.75,4166.95,3935.45,4081.05,6129
2023-07-17,4030.05,4070,3990,4015,1200
2023-07-18,3993,4123.25,3950,4123.25,2235
2023-07-19,3977.1,4086,3965,4055,1430
2023-07-20,3896.7,4030,3862,3940,2259
2023-07-21,3896.15,4049,3804.05,3860,4507
2023-07-24,3903.3,3975,3830,3975,3030
2023-07-25,3910.15,3964.25,3825,3898,1748
2023-07-26,3891.3,3990,3865.5,3889.95,1042
2023-07-27,3897.5,3994.9,3876,3980,1494
2023-07-28,3971.3,4000,3877,3877,1167
2023-07-31,4169.85,4169.85,3902,3902,6430
2023-08-01,4378.3,4378.3,4178.75,4270,3762
2023-08-02,4455.35,4597.2,4327.55,4597,12253
2023-08-03,4678.1,4678.1,4631,4631,2598
