Date,Close,High,Low,Open,Volume
2021-02-26,121.35,127.85,101,109,128128640
2021-03-01,145.6,145.6,127.4,128.85,44411780
2021-03-02,174.7,174.7,155.9,159,47816924
2021-03-03,165.55,189.7,160.3,182.9,44140720
2021-03-04,162.45,169.55,155,159,16531447
2021-03-05,159,170,156.35,165.6,7533649
2021-03-08,153.95,165.25,153,163,6631888
2021-03-09,144.2,156,143.25,154,6952197
2021-03-10,148.4,153.8,141.2,145.5,11249859
2021-03-12,145.05,151.4,143.25,150.7,3649504
2021-03-15,141.6,145.75,140.7,145.7,2728607
2021-03-16,141.25,145.35,140.4,142.75,2484229
2021-03-17,134.5,144.7,133,141.5,4156022
2021-03-18,130.9,138,129,137.9,3090902
2021-03-19,130.6,131.5,125.05,128.95,5032566
2021-03-22,139.7,142.5,130.6,131.75,7632251
2021-03-23,138.2,143.8,136.55,142.5,5064535
2021-03-24,134.1,137.7,133.65,136.9,1828025
2021-03-25,130.55,136.2,128.6,134.3,2400349
2021-03-26,127.5,134.4,124.6,134.2,4569177
2021-03-30,127.65,129.9,125.7,128.35,1645993
2021-03-31,126.8,130.7,126,127.65,1951435
2021-04-01,128.8,130.5,126.8,128.1,2709913
2021-04-05,124.45,129,124,128.95,2098870
2021-04-06,122.55,125,122.25,124.75,1664214
2021-04-07,123.5,126.4,122.05,123,2300941
2021-04-08,123.9,125.75,123,125,2187813
2021-04-09,122.2,124.75,122.05,123.1,1992752
2021-04-12,114.2,120,111,120,3095710
2021-04-13,116.8,117.5,114.1,115.15,949551
2021-04-15,115.05,117,113.85,117,797101
2021-04-16,114.9,116.5,114.2,115.65,1081879
2021-04-19,111.45,111.95,109.1,111.65,1154644
2021-04-20,110.25,113.35,109.9,112,1810889
2021-04-22,109.7,110.65,108.45,109.7,1115771
2021-04-23,123.2,127.3,109.05,109.35,13116395
2021-04-26,120.45,125,120,125,2715920
2021-04-27,123.95,127.3,120.05,120.45,3336800
2021-04-28,123.4,126.75,123.15,124.05,1657700
2021-04-29,122,124.6,121.15,124.55,1160875
2021-04-30,121.7,124.3,120.55,121.25,1053137
2021-05-03,119.95,122,119.05,121,907564
2021-05-04,119.3,122.65,119,121,1296985
2021-05-05,119.8,121.35,119.4,120.4,811406
2021-05-06,118.85,120.7,118.4,120.7,588884
2021-05-07,122.25,126.3,119,119.5,3316323
