Date,Close,High,Low,Open,Volume
2022-05-10,450.2,517.9,421.65,510,17359524
2022-05-11,483.3,490.9,443.6,453.1,5524324
2022-05-12,462.15,478,453.35,473,1681626
2022-05-13,456.4,474.75,450.1,469,631619
2022-05-16,436.55,459.45,430,456.4,725695
2022-05-17,420.45,442.2,410,436.55,911509
2022-05-18,441.45,472,419.75,419.9,2149029
2022-05-19,451.5,458.8,427,427,924014
2022-05-20,477.7,482.9,457,457,847932
2022-05-23,463.85,483,460,483,253056
2022-05-24,475.3,483,460,465,460881
2022-05-25,476.35,480,467.35,477.05,474840
2022-05-26,489.8,496.35,472.05,472.05,545714
2022-05-27,493.9,496.85,485,494.7,193332
2022-05-30,496.95,508,481.2,488,430299
2022-05-31,497.2,502,488,493,257570
2022-06-01,483.65,501.65,475.1,490,240264
2022-06-02,473.6,482.2,470.2,481,132345
2022-06-03,470.65,482.75,468.1,474,194026
2022-06-06,479.1,488.4,454,460.35,455271
2022-06-07,471.5,486.35,470,475,154371
2022-06-08,467,475.9,466,474.9,137451
2022-06-09,470.15,474.95,463.15,463.15,57404
2022-06-10,470.1,473.9,465.55,466.1,70401
2022-06-13,455.7,463.5,450.1,456.55,119369
2022-06-14,438.3,463.95,432.1,452.05,90769
2022-06-15,439.5,446.7,435,441,46261
2022-06-16,432.9,447.55,425,440.7,97888
2022-06-17,426.6,432.35,423,428,56353
2022-06-20,420.3,426,413.45,420.5,138900
2022-06-21,430.2,433.95,421,421,74094
2022-06-22,435.85,439.7,420,430,53177
2022-06-23,453.25,458.15,433.5,433.5,81692
2022-06-24,459.55,465.9,450,452.5,62280
2022-06-27,471.6,475,460,464.8,75750
2022-06-28,466.6,469.5,463.6,469.2,123999
2022-06-29,465.05,468.75,461.65,466,24690
2022-06-30,465.95,471.25,461.25,461.25,34143
2022-07-01,475.5,479,465.95,465.95,93920
2022-07-04,471.15,480.45,469,474.95,31750
2022-07-05,466.9,476.9,460,470.1,81672
2022-07-06,470.95,474,462.25,462.25,57896
2022-07-07,472.35,486.15,467.1,470.1,84796
2022-07-08,486.3,490,470.65,475,154320
2022-07-11,477.4,484.4,475.05,481.1,43846
2022-07-12,469.1,479.95,465.7,475,189874
2022-07-13,472.55,479,470,476.85,26174
2022-07-14,472.7,484,470.05,470.15,40833
2022-07-15,487.05,492.9,470.1,470.1,107325
2022-07-18,507.15,510,484.35,493.35,311768
2022-07-19,497.8,511.9,495.25,506.9,106766
2022-07-20,487.5,506.6,482.3,498.3,91632
2022-07-21,493.35,509,486,490,123136
2022-07-22,488.2,497.2,485,495,50491
2022-07-25,493.25,503.95,484.6,485.1,80605
2022-07-26,485.15,495,481.9,495,58026
2022-07-27,490.5,494.4,470.05,485.15,115421
2022-07-28,492.3,499,483,493,137299
2022-07-29,489,505,481.25,493,168227
2022-08-01,488.85,502,486.45,490,69281
2022-08-02,489.75,492.3,485.15,485.15,38372
2022-08-03,476.05,491.25,474.8,489.75,62900
2022-08-04,461.6,484.9,458.1,479.9,105453
2022-08-05,472.6,476,457.15,468.75,96858
2022-08-08,474.1,478.15,469.55,475.85,122219
2022-08-10,533.45,538,474.1,474.1,1872105
2022-08-11,570.9,573,534.25,535.9,2333660
2022-08-12,594.55,597.9,572.95,575,1799935
2022-08-16,601.8,608.05,558,590,889105
2022-08-17,595.8,600,585.3,595,314895
2022-08-18,580.55,594.9,575.1,590,241595
2022-08-19,564.05,589.8,542,579.4,544048
2022-08-22,580.95,599.1,556,558,338251
2022-08-23,586.35,595,573.4,580.95,160529
2022-08-24,589.45,607.85,584,586.35,198033
2022-08-25,600.05,610,590.1,590.7,279756
2022-08-26,621,626.6,605,605,788439
2022-08-29,610.25,620,596.95,598,148665
2022-08-30,610.7,634.95,608,619.25,207739
2022-09-01,634.25,640,610.7,610.7,258413
2022-09-02,621.9,640.1,615.6,636,171304
2022-09-05,604.1,635,598,626.7,111603
