Date,Close,High,Low,Open,Volume
2006-05-09,61.579,67.5206,61.1451,67.0237,22742
2006-05-10,61.0121,64.2454,59.5214,64.2454,10343
2006-05-11,58.3107,60.4662,58.0168,59.9064,2337
2006-05-12,56.2322,59.3325,55.9872,57.7369,3596
2006-05-15,55.3994,58.0868,53.4678,55.9733,3989
2006-05-16,56.5401,56.5401,53.8877,54.7275,1162
2006-05-17,59.3675,59.3675,57.247,57.247,527
2006-05-18,58.6956,62.2858,57.4289,58.7866,6189
2006-05-19,56.0292,57.6669,56.0222,57.6669,1635
2006-05-22,53.2299,55.9872,53.2299,53.4678,550
2006-05-23,52.2011,55.8473,51.0884,51.0884,321
2006-05-24,51.6622,53.6078,50.0386,51.7882,180
2006-05-25,54.2027,54.2446,49.1498,51.3683,543
2006-05-26,53.6428,56.918,52.0681,56.918,174
2006-05-29,52.761,55.6933,52.628,53.0339,5451
2006-05-30,54.5806,54.5806,52.9219,53.1739,50
2006-05-31,51.8512,51.8582,51.8512,51.8582,130
2006-06-01,49.2618,51.4733,49.2618,49.4227,265
2006-06-02,46.8893,46.8893,46.8893,46.8893,2
2006-06-05,46.4694,46.4694,46.4694,46.4694,350
2006-06-09,44.1459,44.1459,44.1459,44.1459,2
2006-06-14,41.9414,41.9414,41.9414,41.9414,25
2006-06-15,40.6747,43.6631,39.8909,39.8909,273
2006-06-16,42.7113,42.7113,41.9904,41.9904,283
2006-06-19,44.8528,44.8528,44.2299,44.6498,1398
2006-06-20,47.0993,47.0993,46.1895,46.1895,285
2006-06-21,49.4577,49.4577,47.5892,47.5892,302
2006-06-22,49.8636,51.9282,49.7307,51.9282,864
2006-06-23,48.7019,50.3885,47.4492,49.7307,1191
2006-06-26,47.0293,47.0573,47.0293,47.0573,42
2006-06-27,45.2097,46.0495,44.7898,44.7898,724
2006-06-28,46.1895,46.1895,45.2097,45.2097,258
2006-06-29,45.0697,45.9235,44.7968,45.9235,61
2006-06-30,47.2322,47.3232,45.7696,46.6094,372
2006-07-03,47.5192,47.5192,47.5192,47.5192,20
2006-07-04,47.5752,47.5752,46.8893,46.8893,110
2006-07-05,46.3294,46.3294,46.1895,46.1895,55
2006-07-06,46.3644,47.0293,46.3294,46.3294,109
2006-07-07,46.3155,46.3155,46.3155,46.3155,8
2006-07-10,44.3909,46.0495,44.2299,46.0495,267
2006-07-11,46.1895,46.1895,44.09,44.09,45
2006-07-12,47.1903,47.5892,45.3497,47.4492,150
2006-07-13,47.5892,47.5892,46.8893,46.8963,1658
2006-07-14,46.3294,47.5822,45.4896,45.4896,30
2006-07-17,47.5892,47.5892,47.3092,47.3092,150
2006-07-18,45.2377,49.9686,45.2097,49.9686,181
2006-07-19,43.0402,43.0402,43.0402,43.0402,1
2006-07-20,41.1856,41.9904,41.0317,41.9904,66
2006-07-21,39.1911,39.1911,39.1911,39.1911,200
2006-07-24,39.8909,39.8909,37.2315,39.471,146
2006-07-25,39.1911,39.8909,38.4912,39.8909,425
2006-07-26,40.6048,41.1506,39.8909,39.8909,10829
2006-07-27,42.6203,42.6203,41.9904,41.9904,260
2006-07-28,42.6903,43.6001,40.5908,40.5908,338
2006-07-31,44.8178,44.8178,40.7517,40.7517,1777
2006-08-01,45.7626,45.7626,43.3901,43.3971,60
2006-08-02,44.09,46.7494,43.4811,44.7898,199
2006-08-03,43.4321,45.4896,41.9904,45.4896,216
2006-08-04,44.3489,44.9298,42.2704,44.9298,125
2006-08-07,42.7743,43.95,42.3404,42.3404,131
2006-08-08,43.852,44.7898,43.3901,44.7478,267
2006-08-09,46.0495,46.0495,43.4601,44.7898,303
2006-08-10,47.8271,48.261,45.8186,45.8186,267
2006-08-11,46.5464,50.1086,46.1895,50.1086,184
2006-08-14,48.0371,48.289,47.8691,48.289,98
2006-08-16,48.8979,50.1086,47.5892,48.9748,247
2006-08-17,47.7291,50.3605,47.7291,50.2905,260
2006-08-18,47.7291,48.9888,47.7291,48.9888,218
2006-08-21,49.8287,49.8287,47.5892,47.6032,70
2006-08-22,52.3131,52.3201,50.3885,50.3885,785
2006-08-23,49.7097,52.3481,49.7097,52.3481,278
2006-08-24,47.7291,47.7291,47.7291,47.7291,25
2006-08-25,48.9888,48.9888,46.9593,48.289,556
2006-08-28,49.5417,49.6187,49.5417,49.6187,60
2006-08-29,47.1833,48.9888,47.0993,47.6032,295
2006-08-31,46.3714,48.8279,46.3714,48.6949,195
2006-09-01,47.7291,48.6879,47.0573,48.121,280
2006-09-04,48.7089,49.9686,48.289,48.429,725
2006-09-05,48.8979,50.2486,48.8489,48.9888,446
2006-09-06,48.149,49.6887,47.8691,48.9888,150
2006-09-07,48.149,48.289,47.8061,48.149,214
2006-09-08,49.6747,49.6887,46.7773,48.0091,503
2006-09-11,48.9538,49.8007,48.7159,49.5487,906
2006-09-12,49.5487,49.6187,47.8691,48.289,150
2006-09-13,48.506,49.2688,48.457,49.1988,135
2006-09-14,49.5067,49.6887,47.5892,49.2688,1005
2006-09-15,47.8691,48.8349,47.3932,47.3932,295
2006-09-18,50.2206,50.2626,48.9958,48.9958,1450
2006-09-19,52.733,52.733,52.488,52.488,736
2006-09-20,53.1249,54.1677,52.768,52.768,1364
2006-09-21,52.0681,53.8667,51.5783,52.1031,204
2006-09-22,51.9282,53.7128,50.3885,52.628,1110
2006-09-25,53.4398,54.4476,52.488,52.488,672
2006-09-26,53.2649,55.4414,52.9779,53.2159,962
2006-09-27,55.0355,55.9313,54.5946,55.2874,1446
2006-09-28,57.7578,57.7928,55.9872,55.9872,763
2006-09-29,57.8698,59.2065,56.1272,58.7936,1219
2006-10-03,56.953,58.0868,55.0075,55.0075,598
2006-10-04,55.8683,58.7866,55.5673,58.5067,8242
2006-10-05,56.2672,56.6871,55.8613,55.9872,909
2006-10-06,56.2882,56.6801,53.9577,54.0487,1023
2006-10-09,57.247,58.0728,56.2672,58.0728,578
2006-10-10,56.0082,58.2267,55.9872,56.967,356
2006-10-11,54.5876,56.5401,54.5876,55.8473,110
2006-10-12,55.0425,55.9872,55.0075,55.9872,179
2006-10-13,57.7998,57.7998,56.6871,56.6871,508
2006-10-16,58.0028,58.6466,56.7151,58.0868,2926
2006-10-17,57.3869,57.3869,55.9872,55.9872,52
2006-10-18,56.1272,58.7866,54.6016,54.8815,2165
2006-10-19,57.4919,57.8068,57.3869,57.3869,2387
2006-10-20,57.3869,58.6326,57.3869,57.5339,829
2006-10-23,57.3869,57.3869,57.3869,57.3869,407
2006-10-26,57.9188,58.7796,56.8411,57.107,216
2006-10-27,58.6606,59.5564,58.0868,58.0868,680
2006-10-30,58.7866,59.5564,58.6466,58.6466,2291
2006-10-31,61.7259,61.7259,59.8014,60.0463,6252
2006-11-01,62.3348,64.8122,61.663,64.8122,9520
2006-11-02,65.4561,65.4561,64.6653,64.6653,4984
2006-11-03,67.7236,68.7313,67.1847,68.7313,12395
