Date,Close,High,Low,Open,Volume
2022-02-17,133.1,138.95,132.5,138.9,496215
2022-02-18,127.7,133.8,127,132.4,2287808
2022-02-21,117.3,127.1,108.1,127,11882331
2022-02-22,108.75,113.95,105,112.35,9085538
2022-02-23,108.95,115.55,108.2,112,3197301
2022-02-24,96.25,104.25,95,96.5,8400524
2022-02-25,109.45,113.75,99.4,100.95,5513866
2022-02-28,104.65,107.35,102.4,105.7,1646270
2022-03-02,106.35,109.5,102,104,1409146
2022-03-03,106.9,110,106,108.8,792756
2022-03-04,107.2,108.85,104.9,105.9,968802
2022-03-07,103.1,104.95,100.2,104.95,1105736
2022-03-08,105.85,107.8,101.3,103.1,747583
2022-03-09,108.7,111.25,105.45,107,1583120
2022-03-10,108.7,111.9,107.6,111.9,1484887
2022-03-11,106.7,109,105.95,107.85,753069
2022-03-14,104.4,108.4,103.45,107.45,920250
2022-03-15,105.55,106.6,104.45,105.5,1127519
2022-03-16,106.35,107.2,105.5,106.8,907556
2022-03-17,104.35,107.75,104,107.75,2205739
2022-03-21,102,105.4,101.1,105.4,1429686
2022-03-22,102.15,103.6,101,102,1082299
2022-03-23,101.45,104.3,101,102.9,1230388
2022-03-24,99.7,102,99.3,102,1852955
2022-03-25,100.3,101.15,99.6,99.8,1147323
2022-03-28,98.15,100.95,97.35,100.35,1503645
2022-03-29,96.8,99.45,96.4,99,1640324
2022-03-30,100.25,101.9,98.05,99,2054507
2022-03-31,100.75,101.7,100,101,1388095
2022-04-01,112.75,113.8,100.7,100.75,9052154
2022-04-04,112.35,115.35,110.25,113.65,2321359
2022-04-05,115.9,116.8,112.5,113.75,3129740
2022-04-06,114.95,117.5,113.75,114.75,2949431
2022-04-07,111.75,115.95,111,115.95,1383447
2022-04-08,112.9,114.6,111.5,112,934519
2022-04-11,112.65,113.7,112.05,113.7,718742
2022-04-12,111.2,112.65,109,112.6,801353
2022-04-13,111.25,113,109.6,112,1253736
2022-04-18,107.25,110.75,107,110,1410885
2022-04-19,105.85,108.4,105,108.1,602050
2022-04-20,105.7,107.2,104.3,106.4,587548
2022-04-21,106.25,107,105.3,106.6,852566
2022-04-22,108.95,111,104.55,106.2,2311763
2022-04-25,105.2,107.4,103.2,107,1030392
2022-04-26,106.5,109.5,105.2,105.2,1110652
2022-04-27,104.75,105.8,103.5,105,666296
2022-04-28,103.5,105.9,102.6,105.6,763965
2022-04-29,101.5,104.45,100.75,103.95,1012815
2022-05-02,99.6,102.45,99.3,100,820892
2022-05-04,96.95,101,96.2,100.6,1214151
2022-05-05,96.5,98.85,95.65,98.85,730851
2022-05-06,95.1,95.95,93.55,95.95,901859
2022-05-09,94.15,96.3,92.75,95.25,1603464
2022-05-10,93.05,95.5,92,94,448445
2022-05-11,90.8,93.35,87.5,93.05,1625047
2022-05-12,87.35,90.45,86.5,89.9,874355
2022-05-13,90.05,92.85,88.45,88.8,1825685
2022-05-16,95.65,99.75,90.6,91.55,654142
2022-05-17,97.3,98,94.8,97.5,622495
2022-05-18,97.2,99,96.1,97.3,602809
2022-05-19,93.7,95.6,92.75,92.75,426286
2022-05-20,98,99,94.35,94.35,742756
2022-05-23,95.05,98.5,94.55,97.3,463805
2022-05-24,95.05,97.35,94.4,94.4,627543
2022-05-25,93,96.4,92.05,96,473396
2022-05-26,95.65,96.3,91.05,93.95,674272
2022-05-27,97.3,97.85,95.05,95.55,473574
2022-05-30,100.35,101.9,97.5,99.2,709763
2022-05-31,97.2,103,92.6,99.75,2126044
2022-06-01,102.15,104.3,96.7,97.2,3775726
2022-06-02,105.65,106.4,100.65,102.15,1530753
2022-06-03,105.4,107.35,103.9,106.6,1054542
2022-06-06,103.35,104.45,101.1,104.05,658427
2022-06-07,100.85,102.85,100.1,102.6,318387
2022-06-08,104.65,105,100.5,101,976462
2022-06-09,106.05,107,102.6,104,863772
2022-06-10,106.55,109.2,104.2,105,2173115
2022-06-13,102,104.75,101.1,104.75,580457
2022-06-14,103.85,105.55,101,101,731123
2022-06-15,105,105.6,103.55,104.85,701595
2022-06-16,103.45,106,102.2,105.25,1317273
2022-06-17,100.85,103.5,99.3,102.3,604381
2022-06-20,102,103.3,100.1,100.6,1536230
2022-06-21,103.25,105,101.65,101.65,1154690
2022-06-22,102.1,104.35,101.05,103,400171
2022-06-23,104.05,104.6,101.8,102.75,536433
2022-06-24,105.9,106.85,104.05,104.05,1038635
2022-06-27,106.8,111.95,105.7,107,1285520
2022-06-28,109.35,110.35,105.4,107,698026
2022-06-29,110.7,112.8,107.3,108,1181884
2022-06-30,111,114.3,107.4,110.35,966143
2022-07-01,110.75,113.05,108.85,112,978252
2022-07-04,110.75,112.25,109.35,110.75,451873
2022-07-05,110.45,112.5,109.65,110.85,827544
2022-07-06,111.1,111.85,109,109.65,373321
2022-07-07,110.8,112.6,110.2,111.95,592876
2022-07-08,112,112.5,110.3,110.8,474282
2022-07-11,113.9,115.4,111.55,112.6,975714
2022-07-12,113,114.45,112.3,113.95,516739
2022-07-13,112.65,113.95,111.8,113,415796
2022-07-14,113.3,114.4,112.45,113.9,398885
2022-07-15,114.05,116,113,114,610553
2022-07-18,114.9,115.9,113.6,114.25,475248
2022-07-19,115.2,116.4,114.1,114.9,354684
2022-07-20,117.3,117.9,115.2,115.9,743470
2022-07-21,120.85,121.5,117.5,117.8,2237950
2022-07-22,118.7,122.4,118,120.95,508129
2022-07-25,118,119.25,114.9,119.25,463187
2022-07-26,115.65,118.8,114.25,118.8,365827
2022-07-27,116.25,117.7,113.8,115,426621
2022-07-28,115.55,118.5,115.1,117.4,332797
2022-07-29,119.95,120.6,116.45,116.45,1578091
2022-08-01,120.05,122.35,118.45,120.05,720776
2022-08-02,119.55,121,116.2,119.4,679725
2022-08-03,122.9,124.2,119,119.6,1399605
2022-08-04,120.65,125.2,119,124,785414
2022-08-05,125.1,127,121.2,121.5,1392409
2022-08-08,123.65,125.6,122.9,125.1,416389
2022-08-10,125.1,126.45,124.4,124.9,519888
2022-08-11,124.05,126.1,123.25,125.4,609506
2022-08-12,123.15,125.25,122.25,124.05,734389
2022-08-16,122.6,124.9,119.65,124.5,1471484
2022-08-17,126.1,128.25,122.9,122.9,2271612
2022-08-18,127.65,128.4,126.1,126.8,984907
2022-08-19,129.15,130.15,127.5,128,1693373
2022-08-22,133.4,135.9,127.6,128.9,3445129
2022-08-23,136.05,136.7,130.55,132,2435293
2022-08-24,133.1,137.8,130.25,135.5,1492393
2022-08-25,131.3,134.5,130.7,131.6,742247
2022-08-26,130.25,132.9,129.9,132,466143
2022-08-29,127.2,129.7,125.8,127,710510
2022-08-30,132.15,133.3,127.95,128.2,581516
2022-09-01,131.05,133.2,129.6,133.2,444751
2022-09-02,130.5,134,130,132.4,424810
2022-09-05,133.15,134.4,130.75,132.35,774775
2022-09-06,133.25,134,132,133.85,505783
2022-09-07,132.15,133.9,131.65,132.9,1472069
2022-09-08,132.4,133.4,131.1,133,428043
