Date,Close,High,Low,Open,Volume
2016-08-31,299.4,305.5,274.2,274.2,79264512
2016-09-01,305.15,316.5,302,302.5,14699482
2016-09-02,301.25,309,298.55,306.5,4762383
2016-09-06,307.75,310.25,300.6,303,5777669
2016-09-07,304,312.8,302.4,308.85,4147204
2016-09-08,305.5,308,303.65,306.5,1509509
2016-09-09,298.8,303.65,298.1,303.65,1570381
2016-09-12,296.95,299.75,287.6,290.9,1779353
2016-09-14,296.95,303.3,296,299.1,1148592
2016-09-15,299.35,302.75,295,298,1288230
2016-09-16,301.8,304.5,299.45,300.6,1559076
2016-09-19,301.35,303.9,299.25,303,732837
2016-09-20,297.15,301.5,296.3,301.35,493343
2016-09-21,300,301.9,297.35,298,512999
2016-09-22,302.15,304,300.7,302.25,1107243
2016-09-23,303.3,307.95,301.4,303,1735881
2016-09-26,302.2,303,299,303,573498
2016-09-27,298.9,303.5,298,303,399580
2016-09-28,297.55,304.45,295.55,300.5,800367
2016-09-29,285.9,302.5,281.55,298.9,1238800
2016-09-30,291.2,293.8,286.05,287,678758
2016-10-03,297.6,299.9,295.2,298.5,770999
2016-10-04,297.55,299.95,296.5,299.1,638685
2016-10-05,295.65,299.9,295,299.8,629557
2016-10-06,304.3,307.5,296,299,2018179
2016-10-07,309.25,315.45,305,305,2853699
2016-10-10,313.1,314.9,308.65,311.9,870931
2016-10-13,306.25,311.4,303.8,310,634699
2016-10-14,314.7,321.3,306.4,307,2723451
2016-10-17,307.8,316.45,306,316,1042365
2016-10-18,307.45,312.4,303,309.35,1410353
2016-10-19,313.4,316,311.9,311.95,1951746
2016-10-20,328.05,335,316.7,322,14969063
2016-10-21,328.55,332,322.5,328,2572236
2016-10-24,333.6,334.9,324.4,329.3,2301063
2016-10-25,344.5,346,332.2,334,2684845
2016-10-26,353.45,357,341.4,345.8,2416491
2016-10-27,361.15,367,343.65,353.35,2552663
2016-10-28,374.65,376,364.75,364.8,3822219
2016-11-01,395.8,404.4,393.2,396.2,4793590
2016-11-02,382.05,390,381,390,2677682
2016-11-03,378.95,389.3,375.55,383,1872349
2016-11-04,365.95,381.35,353,381.35,4093138
2016-11-07,383.2,387,372.2,374,2143425
2016-11-08,385.95,392,376.65,388,1945916
2016-11-09,376.95,385.7,330,335,7489091
2016-11-10,380.9,392,376.6,386.25,3426477
2016-11-11,379.25,389,377,379.15,2213653
2016-11-15,363.65,384,360.65,377,2301339
2016-11-16,354.05,374.9,352,374.9,2884543
2016-11-17,341.7,359.5,338,357.95,2473956
2016-11-18,338.95,348,338,342.1,1969726
