Date,Close,High,Low,Open,Volume
2007-02-15,16.37,17.44,11.3,13,37494248
2007-02-19,16.655,19.13,16.36,17,12319885
2007-02-20,16.24,17.55,15.91,16.9,6769066
2007-02-21,16.72,17.19,16.21,16.5,4899541
2007-02-22,16.405,17.035,16.31,17,2049078
2007-02-23,14.415,16.5,13.42,16.5,3402788
2007-02-26,14.52,15.09,13.825,14.2,1696927
2007-02-27,16.225,16.93,14.11,14.6,6678108
2007-02-28,14.975,15.88,13.83,15.37,1662896
2007-03-01,15.02,16.14,14.73,15.09,1906388
2007-03-02,14.74,15.69,14.425,15.185,1116007
2007-03-05,13.165,14.49,12.525,13.7,1017232
2007-03-06,12.69,14.2,12.305,13.77,1842145
2007-03-07,12.665,13.45,11.865,12.705,1389196
2007-03-08,13.23,13.425,11.865,13.12,1435407
2007-03-09,12.955,13.48,12.56,13.4,599080
2007-03-12,14.22,14.77,12.75,12.9,1555452
2007-03-13,14.41,14.84,13.875,14.1,949583
2007-03-14,13.36,13.65,12.89,13.05,439539
2007-03-15,13.67,14.45,13.4,13.4,516732
2007-03-16,14.065,14.79,13.79,13.88,1066751
2007-03-19,14.07,14.55,13.95,14.29,213725
2007-03-20,14.1,15.05,13.9,14.15,1263132
2007-03-21,14.045,14.35,13.955,14.205,235743
2007-03-22,14.15,14.5,14.105,14.16,289421
2007-03-23,13.75,14.4,13.03,14.4,299282
2007-03-26,13.465,14.07,13.42,13.895,153278
2007-03-28,13.54,13.7,13,13,203015
2007-03-29,13.52,13.875,13.2,13.7,112443
2007-03-30,13.7,13.99,13.51,13.52,206412
2007-04-02,13.165,13.5,12.8,12.8,58271
2007-04-03,13.525,13.75,13.2,13.25,272045
2007-04-04,13.505,13.845,13.5,13.7,53932
2007-04-05,13.925,14.19,13.1,13.1,196782
2007-04-09,14,14.3,13.925,13.925,72993
2007-04-10,13.765,14.18,13.61,14.015,54980
2007-04-11,13.775,14.34,13.71,13.82,133545
2007-04-12,13.99,14.175,13.65,14.1,74909
2007-04-13,14.675,15.125,12.5,14,594888
2007-04-16,14.37,14.97,14.21,14.97,252006
2007-04-17,14.725,15.55,14.36,14.46,880051
2007-04-18,14.39,15.05,14.255,14.8,155378
2007-04-19,14.12,14.37,14.02,14.35,67436
2007-04-20,14.165,14.6,14.1,14.6,75331
2007-04-23,13.89,14.65,13.75,14.2,82251
2007-04-24,14.075,16,13.7,16,136701
2007-04-25,14.395,14.585,14.1,14.15,99852
2007-04-26,14.475,16.5,14,16.5,182936
2007-04-27,14.61,14.89,14.22,14.74,174948
2007-04-30,14.665,15.245,14.415,14.6,459730
2007-05-03,14.555,15.25,13.9,14.99,152527
2007-05-04,14.72,15.3,14.2,14.555,344265
2007-05-07,15.065,15.22,14.66,14.79,166665
2007-05-08,16.875,17.8,15.1,15.2,4223109
2007-05-09,16.875,17.59,16.605,16.9,3512984
2007-05-10,16.075,17.265,15.73,17.2,784448
2007-05-11,17.295,18.19,15.53,15.7,3541934
2007-05-14,17.93,18.7,17.315,17.42,2491390
2007-05-15,17.755,18.69,17.525,17.85,1426159
2007-05-16,18.335,19.26,17.84,17.9,2534345
2007-05-17,17.705,18.8,17.6,18.41,752870
2007-05-18,17.315,18.6,17.12,18.6,885019
2007-05-21,17.555,18.08,17.4,17.5,403431
2007-05-22,17.31,17.75,17.215,17.65,313295
2007-05-23,18.265,19.15,17.35,17.495,2243397
2007-05-24,18.29,18.63,17.5,17.5,905695
2007-05-25,19.51,20.13,17.73,18.11,3811753
2007-05-28,19.435,20.34,19.125,19.9,1487762
2007-05-29,21.38,21.38,19.2,19.585,2825663
2007-05-30,23.495,23.52,20.8,21.7,5723726
2007-05-31,24.535,25.69,23.99,23.99,3112258
2007-06-01,23.22,24.83,22.9,24.67,1196225
2007-06-04,22.22,23.825,22.12,23.3,711949
2007-06-05,22.615,23.045,22.1,22.9,656667
2007-06-06,22.77,24.38,21.34,21.34,1907536
2007-06-07,22.725,23.47,22.5,22.6,789337
2007-06-08,21.79,22.665,21.3,22.665,381208
2007-06-11,22.49,23.26,21.99,21.99,1030314
2007-06-12,21.3,22.65,20.555,22.4,603213
2007-06-13,21.435,22.085,21.06,21.63,724211
2007-06-14,21.99,22.3,21.7,21.84,533234
2007-06-15,22.51,23.24,22.06,22.375,1176654
2007-06-18,21.89,22.79,21.75,22.61,344919
2007-06-19,22.225,22.5,21.415,22.01,333791
2007-06-20,23.07,23.585,22.2,22.8,998072
2007-06-21,22.875,23.425,22.435,23.26,436493
2007-06-22,22.345,23.02,22.15,22.7,171333
2007-06-25,22.145,22.585,21.815,22.5,206714
2007-06-26,22.715,23.4,22,22.2,750891
2007-06-27,22.425,23.04,22.235,22.67,316143
2007-06-28,22.405,22.83,22.2,22.6,161927
2007-06-29,23.82,24.25,22.5,22.63,1540794
2007-07-02,24.32,24.845,23.7,23.9,1329539
2007-07-03,24.15,24.9,23.555,23.555,908387
2007-07-04,24.09,24.44,23.6,24.395,300621
2007-07-05,26.315,26.5,23.3,24.3,1939611
2007-07-06,25.475,27.28,25.275,27,1528842
2007-07-09,25.725,26.54,25.31,25.6,717462
2007-07-10,25.305,26.34,25.11,25.9,432496
2007-07-11,26.37,27.49,25,25.2,1369276
2007-07-12,27.015,27.83,26.4,26.6,1100031
2007-07-13,26.48,27.7,26.125,27.51,443835
2007-07-16,26.87,27.18,26.325,26.55,327787
2007-07-17,25.545,27.15,25.35,26.92,268953
2007-07-18,25.22,25.865,24.75,25.5,210780
2007-07-19,25.395,25.975,25.1,25.1,243204
2007-07-20,27.75,28.9,25.04,25.64,2695242
2007-07-23,28.595,29.29,27.3,27.9,2351953
2007-07-24,29.285,30,28.11,28.65,2355147
2007-07-25,28.595,30.3,27.615,27.615,3024210
2007-07-26,28.15,28.98,27.85,28.835,680975
2007-07-27,26.785,27.7,26.01,27.47,410608
2007-07-30,26.745,28.05,25.655,26.505,570764
2007-07-31,27.92,28.59,26.94,27.015,1001204
2007-08-01,26.245,27.69,25.81,27.69,440819
2007-08-02,27.745,28.1,26.24,26.5,330439
2007-08-03,28.51,29.395,28,28,933837
2007-08-06,28.48,28.7,27,27.6,414385
2007-08-07,28.89,30.33,28.615,29.1,883160
2007-08-08,29.12,30.045,28.7,28.7,511038
2007-08-09,28.765,30.65,28.51,29.26,995855
2007-08-10,28.015,28.3,26.7,26.825,252014
2007-08-13,28.98,29.5,28.5,28.5,331438
2007-08-14,28.55,29.4,28.4,29.2,213112
2007-08-16,27.17,28.095,26.5,27.27,130269
2007-08-17,26.46,27.69,25.7,27.4,198708
2007-08-20,25.375,28.2,24.985,28.1,435927
2007-08-21,24.235,26.485,23.755,25.6,286408
2007-08-22,25.525,26.39,24.055,24.3,490137
2007-08-23,24.575,26.47,24.31,25.78,210620
2007-08-24,25.825,26.1,24.84,24.84,191863
2007-08-27,26.555,26.78,26.1,26.3,99949
2007-08-28,26.63,27.05,26,26,114923
2007-08-29,26.315,26.49,25.025,25.025,67671
2007-08-30,26.305,27.4,26.2,26.785,123050
2007-08-31,26.685,26.95,26.01,26.01,69390
2007-09-03,27.495,27.85,26.52,26.9,108161
2007-09-04,28.22,28.55,27.51,27.51,142010
2007-09-05,29.01,29.4,28.6,28.61,119014
2007-09-06,29.6,30.38,28.625,29.045,381618
2007-09-07,30.24,31.35,29.65,29.75,858824
2007-09-10,30.185,30.37,29.46,29.52,180540
2007-09-11,30.265,31.2,30.11,30.7,293921
2007-09-12,29.82,30.65,29.7,30.35,82433
2007-09-13,29.65,30.2,29.17,30.2,81892
2007-09-14,29.935,31,29.5,29.66,210500
2007-09-17,30.92,32,29.2,29.2,556526
2007-09-18,30.635,31.7,30.375,30.8,198270
2007-09-19,30.79,31.2,30.5,31,131888
2007-09-20,31.52,32.3,30,30,412655
2007-09-21,31.505,32,30.7,31.5,140102
2007-09-24,31.255,33.3,30.9,32.09,178576
2007-09-25,30.915,32.24,30.6,32.24,101971
2007-09-26,31.595,31.9,31.25,31.47,85321
2007-09-27,31.58,32.75,31.5,31.93,233327
2007-09-28,33.765,34.18,31.555,32.4,292077
2007-10-01,33.095,34.435,32.8,33.765,96629
2007-10-03,34.685,35.24,32.9,33.2,217911
2007-10-04,37.38,41.37,33.51,34.1,469445
2007-10-05,37.025,39.745,36.6,38,243496
2007-10-08,35.18,38.6,34.4,37.1,117174
2007-10-09,36.1,36.88,34.01,35.2,174284
2007-10-10,35.85,37.4,35.5,36.5,110995
2007-10-11,36.065,36.6,35.61,35.9,56997
2007-10-12,33.78,36.39,33.25,36.2,89534
2007-10-15,34.365,34.9,33.92,33.92,51182
2007-10-16,33.795,34.8,33.6,34.5,34682
2007-10-17,32.895,33.24,30,32.5,31894
2007-10-18,32.57,34.88,31,33.1,96420
2007-10-19,32.085,32.6,30.66,30.66,40724
2007-10-22,33.56,33.75,30.2,30.2,40233
2007-10-23,34.81,35,33.7,33.7,31888
2007-10-24,34.075,35.7,33.6,34.85,63251
2007-10-25,34.025,34.8,33.3,33.3,64323
2007-10-26,36.57,37.74,34.4,35.3,236982
2007-10-29,35.71,37.5,34.5,37.5,158107
2007-10-30,35.01,36.1,34.4,35.8,65425
2007-10-31,34.54,36.15,33.525,34.6,56821
2007-11-01,33.685,35.84,33,35,177931
2007-11-02,34.525,35.5,30.67,30.67,34819
2007-11-05,36.055,36.5,34.8,34.8,68668
2007-11-06,35.215,36.8,34.8,36.49,32412
2007-11-07,35.71,36,33.7,33.7,21557
2007-11-08,35.15,35.98,32.7,32.7,13839
2007-11-09,35.01,35.5,34.555,35.5,2993
2007-11-12,35.46,36.6,32.7,32.7,64696
2007-11-13,35.385,36.5,35.1,35.86,17571
2007-11-14,35.84,36,35.3,35.89,41666
2007-11-15,35.505,36,35.4,35.7,36525
2007-11-16,35.995,36.3,35.39,35.39,268695
2007-11-19,35.95,36.6,35.73,36.6,94913
2007-11-20,33.87,36.4,33.6,35.8,53172
2007-11-21,30.515,34.9,30.06,34,49799
2007-11-22,32.115,32.8,30,32,49597
2007-11-23,32.685,33.29,31.7,32.5,57355
2007-11-26,32.83,33.27,32.5,33,10595
2007-11-27,33.02,33.45,32.7,33.45,8934
2007-11-28,36.49,39.37,33.1,33.1,456916
2007-11-29,42.595,43.43,36.1,39.5,1908765
2007-11-30,41.145,43.5,39.015,43.1,797752
2007-12-03,41.075,42.3,40.7,41.6,243638
2007-12-04,39.235,41.4,39,41.1,194301
2007-12-05,42.66,43.98,36.03,36.03,514478
2007-12-06,40.275,43.565,39.6,43.565,128920
2007-12-07,40.635,42.6,40.2,42.6,73601
2007-12-10,40.485,41.4,40.12,41,52049
2007-12-11,40.28,41.95,40,40.98,136785
2007-12-12,40.155,40.81,39.65,40.05,58818
2007-12-13,39.49,40.6,39.1,40.6,59314
2007-12-14,39.17,40,39,40,27304
2007-12-17,39.005,39.39,38.7,38.91,58961
2007-12-18,41.375,42.5,38.81,39.25,202939
2007-12-19,40.855,43.8,40,42.49,302710
2007-12-20,40.41,41.485,40,41.485,72899
2007-12-24,39.695,41.025,39.1,41.025,58146
2007-12-26,40.035,40.8,39.75,39.75,40546
2007-12-27,40.23,41.795,39.53,40,198008
2007-12-28,42.275,43,40.3,41.495,224480
2007-12-31,43.17,44.605,42.615,43,291340
2008-01-01,42.33,44.01,42.005,43.47,38780
2008-01-02,41.785,43,41.3,42.9,40733
2008-01-03,44.565,45.9,41.62,42,358337
2008-01-04,42.36,44.785,41.9,44.68,82817
2008-01-07,41.425,43.2,41.2,41.2,39442
2008-01-08,40.45,42.995,40,41.005,74583
2008-01-09,40.265,42.035,40,40.3,65996
2008-01-10,38.04,41.19,37.635,40.3,61861
2008-01-11,37.63,39.2,36.83,38.39,52441
2008-01-14,39.02,39.7,38.305,39.7,53022
2008-01-15,40.06,40.69,39.2,39.2,75134
2008-01-16,39.48,39.9,38.705,39.5,97977
2008-01-17,39.015,40.9,39,39.2,44141
2008-01-18,36.785,39,36,38.6,88705
2008-01-21,36.09,36.9,35,36.005,184717
2008-01-22,33.97,35.01,32.5,35.01,173724
2008-01-23,35.51,35.995,32,33.35,60645
2008-01-24,35.065,37,32,37,58264
2008-01-25,36.66,37.2,35.005,35.5,54697
2008-01-28,35.07,36.8,35,36.8,13127
2008-01-29,35.095,36.5,35,36.485,15370
2008-01-30,34.97,35.68,34.675,35.445,28765
2008-01-31,32.675,35.58,32,34.6,145367
2008-02-01,33.16,33.6,29.5,29.5,10144
