Date,Close,High,Low,Open,Volume
2020-09-21,651.3,735,625,717,29189660
2020-09-22,694.25,703.9,635.85,664.7,6302385
2020-09-23,824.25,833.1,708.15,714,14866529
2020-09-24,903.6,978.6,806.3,830.5,17844996
2020-09-25,938.8,988,896.4,932,9590008
2020-09-28,919.65,969,910,944.95,2804287
2020-09-29,827.7,933.75,827.7,927,3583138
2020-09-30,806.75,847,772.2,785,4641762
2020-10-01,783.45,832,758,821,1835908
2020-10-05,827.4,849.4,771.15,790.65,3141795
2020-10-06,806.65,835,801.1,835,916568
2020-10-07,784.55,809,780.2,809,621724
2020-10-08,798.9,828.8,782,784,1414754
2020-10-09,788,806.2,782,803.7,368973
2020-10-12,765.1,790,758.25,789.9,389185
2020-10-13,778.15,799,753.05,765.1,759746
2020-10-14,772.6,791.85,768.2,778.8,398436
2020-10-15,763.95,781,751.15,780,298025
2020-10-16,708.4,770,687.6,770,3319561
2020-10-19,715.75,743.8,706.55,720.85,1516696
2020-10-20,720.35,727.35,707,715,552843
2020-10-21,752.7,776.6,720.05,728,1852912
2020-10-22,821.85,827.95,741.65,751.8,2743908
2020-10-23,803.2,841.3,790,832,1717361
2020-10-26,795.45,814.7,777.7,798,559455
2020-10-27,829.65,840,772,801,1060948
2020-10-28,912.6,912.6,829.65,835,3837837
2020-10-29,949.15,989.9,885.3,914.9,4021026
2020-10-30,997.2,1012.9,934.4,945,2158618
2020-11-02,1096.9,1096.9,982.35,990.9,2019426
2020-11-03,1042.1,1151.7,1042.1,1151.7,1365938
2020-11-04,990,1029,990,990,348589
2020-11-05,940.5,994.4,940.5,966.1,1119805
2020-11-06,926.2,985,905.6,939,1801765
2020-11-09,933.5,955,916,932,692745
2020-11-10,914.55,940,905.1,940,440363
2020-11-11,900.7,918,885,915,451820
2020-11-12,923.95,945.7,892.35,900,645493
2020-11-13,919.45,939.9,916.25,925,299782
2020-11-16,933.6,939.9,926.05,926.05,112134
2020-11-17,940.95,967.85,918,933.6,537915
2020-11-18,931.2,951,925.25,945,269755
2020-11-19,945.3,977.75,926.05,930,628046
2020-11-20,992.55,992.55,950,950,668413
2020-11-23,975.45,1020,965.15,1008,353784
2020-11-24,986.85,1007.7,965,976.4,337084
2020-11-25,956.25,1004.9,950,992,482684
2020-11-26,1004.05,1004.05,964,964,493614
2020-11-27,1054.25,1054.25,1005,1015.25,396588
2020-12-01,1106.95,1106.95,1071.95,1078,417669
2020-12-02,1103.75,1162.25,1078.1,1150,1028984
2020-12-03,1158.9,1158.9,1093.45,1109,510076
2020-12-04,1216.8,1216.8,1146.6,1184.9,831787
2020-12-07,1186.15,1275,1172,1255,849450
2020-12-08,1192.4,1211.9,1155.3,1186,419907
2020-12-09,1196.35,1218.7,1186.2,1204.8,286340
2020-12-10,1135.65,1195.8,1077,1195.8,255321
2020-12-11,1126.25,1163.6,1121.1,1136,242217
2020-12-14,1109.9,1147,1100.45,1139.7,182987
2020-12-15,1116.6,1144.2,1094.1,1116,323330
2020-12-16,1125.45,1140,1120,1129.6,186477
2020-12-17,1123.8,1143.9,1111.15,1125,241631
2020-12-18,1158.65,1198,1123.75,1138.8,1024578
2020-12-21,1069.75,1178.9,1048.35,1174,691389
2020-12-22,1062.25,1107.95,1010,1080,698221
2020-12-23,1124.95,1135,1068,1068,473736
2020-12-24,1121,1155.1,1110.65,1138.9,304496
2020-12-28,1147.15,1161,1121,1130.9,369236
2020-12-29,1129.45,1160,1121,1156,269729
2020-12-30,1107.4,1136.2,1100,1133,272687
2020-12-31,1098.6,1120,1091.1,1111,228390
2021-01-01,1112,1127,1099,1099,317598
2021-01-04,1186.25,1198,1117.3,1117.3,726939
2021-01-05,1174.55,1207,1148,1190,679736
2021-01-06,1199.35,1252,1166,1180,1232889
2021-01-07,1185.5,1240,1171,1213,571258
2021-01-08,1204.65,1224.85,1196.35,1196.4,381924
2021-01-11,1188.8,1219.9,1185,1216,299576
2021-01-12,1171.65,1189.9,1155,1175.5,272335
2021-01-13,1141.7,1198.05,1125,1179,419539
2021-01-14,1181.8,1195,1117,1150,452109
2021-01-15,1149.2,1175.9,1143,1175.9,353474
2021-01-18,1123.15,1157,1115.1,1148,172546
2021-01-19,1146.25,1155,1128.45,1134.4,133588
2021-01-20,1184.75,1195.95,1135.6,1144.1,473475
2021-01-21,1199.45,1230,1180.85,1190,526496
2021-01-22,1214.5,1227.9,1186.75,1200,420049
2021-01-25,1239.15,1255.25,1176,1223,443601
2021-01-27,1269.65,1305,1235,1250,1216477
2021-01-28,1148,1300,1142.7,1265,1598004
2021-01-29,1134.15,1172,1125.15,1148,887876
2021-02-01,1142.15,1166,1090,1143,400771
2021-02-02,1119.2,1172,1110.5,1150,316815
2021-02-03,1130.7,1155,1119,1128.7,260956
2021-02-04,1129.95,1148.9,1120.85,1129,164146
2021-02-05,1157.9,1178,1136,1143.7,384005
2021-02-08,1193.8,1207.75,1165,1173.7,423759
2021-02-09,1224.8,1238.7,1190,1204,353287
2021-02-10,1271.1,1285.05,1230,1233,588212
2021-02-11,1525.3,1525.3,1277.05,1279.9,3028442
2021-02-12,1594.55,1694,1515.3,1635,3055615
2021-02-15,1792.5,1892,1529.7,1606,3410069
2021-02-16,1827.6,1890,1761,1795,1571357
2021-02-17,1922.15,1979.65,1818,1828,1642725
2021-02-18,1832.75,1977.85,1800,1943.7,1040080
2021-02-19,1860.15,1934.8,1805.65,1834.9,871677
2021-02-22,1748.8,1883.2,1681,1873.6,748428
2021-02-23,1753.75,1828,1742.1,1777.5,531898
2021-02-24,1663.65,1783.65,1653.25,1774.8,540045
2021-02-25,1679.75,1732.5,1670,1690,488145
2021-02-26,1657.15,1714.75,1621,1662,541474
2021-03-01,1708.15,1768,1672.7,1688.6,450770
2021-03-02,1747.1,1763.7,1700,1724,348401
2021-03-03,1753.15,1818,1742.35,1761,431741
2021-03-04,1715.85,1755,1709,1729,317644
2021-03-05,1695.2,1753.7,1660,1721,306983
2021-03-08,1663.7,1735,1655,1712,278713
2021-03-09,1615.95,1684.95,1603.35,1681.7,257502
2021-03-10,1599.35,1638.7,1572.1,1631,345480
2021-03-12,1642.6,1738.8,1590.1,1618.6,1299100
2021-03-15,1618,1658,1583,1651.7,364247
2021-03-16,1602.25,1669.75,1596.8,1628,406235
2021-03-17,1585.2,1640.75,1578.9,1608,275620
2021-03-18,1573.4,1616.9,1534.15,1601,407146
2021-03-19,1565.65,1599,1490.65,1550,424377
2021-03-22,1550.05,1594,1535.25,1572,202164
2021-03-23,1527.2,1577.95,1522,1560,276923
2021-03-24,1488.7,1537,1485,1525,193928
2021-03-25,1415,1492.3,1395.45,1482,408242
2021-03-26,1450.95,1491.7,1421.05,1432.7,351593
2021-03-30,1424.6,1477.9,1415,1477.8,249201
2021-03-31,1409.8,1454.95,1404,1420,302454
2021-04-01,1469.7,1485,1420,1422,485394
2021-04-05,1519.15,1540,1451,1477.7,716708
2021-04-06,1650.7,1671,1522.25,1536.9,1165132
2021-04-07,1674.2,1714,1621.1,1650,953755
2021-04-08,1705.75,1768,1693.25,1708.7,828423
2021-04-09,1700.05,1718.85,1660.2,1708,442078
2021-04-12,1539.05,1660,1525.1,1660,632688
2021-04-13,1541.8,1612.8,1527.65,1551,431914
2021-04-15,1498.8,1539.5,1481.75,1539.5,335116
2021-04-16,1498.45,1536,1486.25,1513,431478
2021-04-19,1456.15,1477.9,1422.25,1460,370011
2021-04-20,1489.35,1528.8,1466,1475,268213
2021-04-22,1543.95,1549.25,1472.4,1483,337065
2021-04-23,1527.55,1581,1511.6,1540.05,258108
2021-04-26,1550,1574,1536.5,1540,182975
2021-04-27,1575.35,1605,1554,1558,326585
2021-04-28,1619.05,1644,1580,1586,441871
2021-04-29,1610.65,1653,1590,1634.4,354651
2021-04-30,1639.4,1680,1596.4,1616,321890
2021-05-03,1608.5,1633.9,1603.25,1631,212930
