Date,Close,High,Low,Open,Volume
2023-09-20,1198.05,1212.7,1136.8,1180,15023438
2023-09-21,1177.5,1232,1159,1194.9,2120327
2023-09-22,1181.3,1192.55,1151.05,1184,744549
2023-09-25,1180.75,1190,1164.5,1183,470152
2023-09-26,1192.65,1194.95,1171.4,1184,327002
2023-09-27,1199.95,1223.9,1184,1194.95,467360
2023-09-28,1269.15,1292.95,1201.05,1206.95,1565376
2023-09-29,1399.95,1426.8,1279.1,1285,2231718
2023-10-03,1409.15,1456.6,1356.1,1424.15,1776987
2023-10-04,1402.35,1414,1376.6,1410,682742
2023-10-05,1483.95,1524.95,1390.45,1408.05,2154615
2023-10-06,1502.8,1523.7,1480.6,1484.95,922131
2023-10-09,1442.85,1507.15,1432,1475,564296
2023-10-10,1459.55,1487.9,1445.05,1452.95,371387
2023-10-11,1458.8,1498.8,1445.3,1465.3,426664
2023-10-12,1445.05,1472,1437.5,1465.75,336497
2023-10-13,1424.5,1455.5,1418,1440,243346
2023-10-16,1403.45,1433.95,1395.05,1432.15,214241
2023-10-17,1417.05,1449.7,1401,1408.35,409703
2023-10-18,1409.7,1448,1405.15,1419.95,431257
2023-10-19,1394.8,1419,1390.75,1409.95,163936
2023-10-20,1367.3,1410.75,1362.1,1402.4,192257
2023-10-23,1350,1376.75,1308,1367.3,365465
2023-10-25,1367.25,1390.95,1320.3,1360,254919
2023-10-26,1333.7,1367,1309,1367,301173
2023-10-27,1344.6,1356.8,1336.2,1336.2,169055
2023-10-30,1345.4,1375,1335,1355.45,177925
2023-10-31,1356.35,1383.25,1340,1352.45,247849
2023-11-01,1392,1397.9,1326.45,1364,296990
2023-11-02,1389.75,1412.95,1382.05,1408.85,142746
2023-11-03,1391,1399,1375,1394,118798
2023-11-06,1402.5,1432,1396,1396.05,217734
2023-11-07,1526.15,1549.95,1428.05,1448.95,2157504
2023-11-08,1604.8,1628.75,1503,1533.8,1460489
2023-11-09,1616.6,1646.4,1590.05,1610.85,884773
2023-11-10,1615.85,1660,1607,1618,530222
2023-11-13,1585.15,1650,1572.7,1634.8,280490
2023-11-15,1608.15,1642.5,1586.1,1612.5,368892
2023-11-16,1652.45,1714.4,1619,1619.95,1010491
2023-11-17,1633.15,1681,1608.1,1657.95,551006
2023-11-20,1659.15,1670,1621.2,1640,351285
2023-11-21,1794.9,1809,1664.85,1664.85,1139202
2023-11-22,1719.8,1820,1710.1,1796,549759
2023-11-23,1682.9,1749,1673.65,1729.95,391611
2023-11-24,1666.9,1717.95,1655.35,1696.6,330905
2023-11-28,1659.5,1683.45,1651.75,1677.65,152580
2023-11-29,1644.95,1666.6,1619.2,1666.6,697857
2023-11-30,1629.7,1650,1554.55,1616,752212
2023-12-01,1650.05,1656,1630.05,1639.25,292178
2023-12-04,1650.75,1688,1635.6,1677,209996
2023-12-05,1677.45,1684.7,1647.85,1664.95,263047
2023-12-06,1668.4,1685.5,1651,1684.95,144721
2023-12-07,1689.25,1696,1648,1660,406911
2023-12-08,1709.4,1744.1,1693.05,1698.95,355989
2023-12-11,1711.15,1733,1695,1717.9,274188
2023-12-12,1699.2,1745,1690,1720,201485
2023-12-13,1666.3,1719.1,1660,1701.1,167605
2023-12-14,1703.9,1720,1667.4,1680.5,254311
