Date,Close,High,Low,Open,Volume
2012-07-30,4.2,4.2,3.8,4,173811
2012-07-31,4.4,4.4,4.4,4.4,6985410
2012-08-01,4.6,4.6,4.6,4.6,4368707
2012-08-02,4.8,4.8,4.8,4.8,2131694
2012-08-03,5,5,5,5,3071519
2012-08-06,5.25,5.25,5.25,5.25,93262
2012-08-07,5.5,5.5,5.5,5.5,83355
2012-08-08,5.75,5.75,5.75,5.75,1085122
2012-08-09,6,6,5.5,6,8405723
2012-08-10,5.95,6.3,5.7,6.3,10186263
2012-08-13,5.55,6.25,5.3,6,7584672
2012-08-14,5,5.5,4.95,5.5,3630589
2012-08-16,5.05,5.6,4.55,4.55,2379273
2012-08-17,5.1,5.3,5.05,5.15,1277013
2012-08-21,5.75,6.1,4.7,4.7,7495743
2012-08-22,5.65,6.2,5.5,5.5,3448008
2012-08-23,5.7,5.9,5.4,5.6,2534224
2012-08-24,5.55,5.7,5.45,5.6,764099
2012-08-27,5.25,5.75,5.2,5.55,895459
2012-08-28,4.45,5.3,4.3,5.3,2868624
2012-08-29,4,4.8,3.85,4.4,1917030
2012-08-30,4.35,4.4,3.8,3.85,2472169
2012-08-31,4.45,4.55,4.05,4.4,2535264
2012-09-03,4.35,4.65,4.25,4.25,558816
2012-09-04,4.35,4.55,4.2,4.4,998583
2012-09-05,4.75,4.75,4.25,4.4,1744637
2012-09-06,4.35,4.95,4.3,4.95,5400814
2012-09-07,4.6,4.7,4.5,4.7,991812
2012-09-10,4.35,4.6,4.25,4.45,6518314
2012-09-11,4.2,4.5,4.2,4.5,421293
2012-09-12,4.5,4.55,4.15,4.4,768151
2012-09-13,4.7,4.75,4.35,4.4,705407
2012-09-14,4.65,4.9,4.4,4.7,2567715
2012-09-17,4.95,5.1,4.7,4.75,1365979
2012-09-18,5.35,5.4,4.85,4.95,2718255
2012-09-20,5.1,5.4,5.1,5.15,494881
2012-09-21,5.35,5.35,5.15,5.25,9356030
2012-09-24,5.6,5.6,5.25,5.6,3226629
2012-09-25,5.85,5.85,5.55,5.85,3059155
2012-09-26,6.1,6.1,5.75,6.1,874737
2012-09-27,6.4,6.4,5.8,6.4,5564851
2012-09-28,6.45,6.7,6.25,6.7,2484466
2012-10-01,6.55,6.65,6.25,6.5,1343672
2012-10-03,6.65,6.85,6.4,6.7,2260793
2012-10-04,6.95,6.95,6.65,6.85,4342005
2012-10-05,7.25,7.25,6.85,7.25,2940278
2012-10-08,6.9,7.6,6.9,7.5,2587310
2012-10-09,6.6,7.15,6.6,6.6,3241991
2012-10-10,6.3,6.5,6.3,6.3,1792001
2012-10-11,6.1,6.4,6,6,2451428
2012-10-12,6.05,6.4,5.8,6.2,5177536
2012-10-15,5.9,6.2,5.75,6,671742
2012-10-16,6.1,6.15,5.7,5.95,711155
2012-10-17,6.15,6.25,5.95,6.05,710792
2012-10-18,6.45,6.45,6,6,825870
2012-10-19,6.2,6.7,6.15,6.7,760898
2012-10-22,6,6.45,5.95,6.45,352218
2012-10-23,6.3,6.3,6,6,363653
2012-10-25,6.6,6.6,6.2,6.5,566447
2012-10-26,6.3,6.9,6.3,6.9,3270488
2012-10-29,6.2,6.55,6.05,6.15,550765
2012-10-30,6.25,6.45,5.9,6.1,799007
2012-10-31,6.35,6.4,6.05,6.2,1108440
2012-11-01,6.35,6.4,6.2,6.25,561606
2012-11-02,6.2,6.4,6.15,6.3,1252316
2012-11-05,5.9,6.3,5.9,6.1,1001043
2012-11-06,6.15,6.15,5.65,5.9,1124284
2012-11-07,6.3,6.45,6.1,6.2,743390
2012-11-08,6.2,6.3,6.05,6.1,672401
2012-11-09,6.05,6.2,5.95,6.15,414763
2012-11-12,6,6.4,5.95,5.95,471359
2012-11-13,6.25,6.3,6,6,255223
2012-11-15,6.25,6.3,5.95,6.1,534930
2012-11-16,6.05,6.25,6,6.25,507619
