Date,Close,High,Low,Open,Volume
2025-09-26,440.7,465,427.3,465,6749933
2025-09-29,447,450.4,432.85,442.25,712721
2025-09-30,438.2,453,420.1,451,754865
2025-10-01,447.9,450.3,427.25,438,476088
2025-10-03,449,459,443.8,449.9,585027
2025-10-06,453.9,456.95,439.1,449,472664
2025-10-07,460,463.9,447,453.9,1050597
2025-10-08,501.55,506,465,469.5,7335948
2025-10-09,551.7,551.7,526.3,551.7,3842423
2025-10-10,534.25,567,526,557,3753468
2025-10-13,526.85,551,521.1,534.95,1151267
2025-10-14,532.35,542.85,507.9,526.8,1128830
2025-10-15,524.85,565,520.8,565,1711288
2025-10-16,529.65,534.95,514.5,526.4,666618
2025-10-17,511.15,530.9,506.7,529.85,525869
2025-10-20,520.25,524,510,515.1,305196
2025-10-21,521.85,526.8,519.5,524,108760
2025-10-23,528.9,550.05,520.05,528.9,1083387
2025-10-24,508.4,533.75,503.8,533,721954
2025-10-27,482.4,511.3,478.1,510.8,1070156
2025-10-28,507.15,512.75,483,483.95,838822
2025-10-29,515.2,519.05,498.3,509,379439
2025-10-30,502.1,518.8,500.35,513.5,173496
2025-10-31,524.45,535.45,502.1,502.1,1246352
2025-11-03,535.2,543,519.3,525,653653
2025-11-04,528.2,542.4,525,535.2,470033
2025-11-06,537.75,551.8,531,533,740473
2025-11-07,490.25,500,484,500,1538598
2025-11-10,477.25,496.45,462,493.35,788049
2025-11-11,470.3,478.7,468,476.95,220884
2025-11-12,467.6,473.15,454.8,472.2,462953
2025-11-13,463.25,476.15,461,467.6,230067
2025-11-14,452.2,463,450.05,463,188438
2025-11-17,465.75,470.8,449.7,453.55,287417
2025-11-18,462.4,467.1,451.5,467.1,199519
2025-11-19,442.15,461.9,440.6,461.9,229539
2025-11-20,448,457.65,444.75,444.8,216812
2025-11-21,434.4,447,428.35,447,303698
2025-11-24,418.15,434.9,415.45,434.9,327274
2025-11-25,416.1,424.85,413.25,416.15,200005
2025-11-26,413.8,424,412,418.15,144039
2025-11-27,408.35,420,406.2,416.3,139451
2025-11-28,411.1,413.5,400.95,410,235989
2025-12-01,406.55,414.05,399.1,414,290987
2025-12-02,401.3,406.75,394.55,405.1,501797
2025-12-03,391.95,403.95,386.75,401.3,158769
2025-12-04,387.3,393.75,385.5,391.95,171408
2025-12-05,379.9,389.75,375.8,387.3,188128
2025-12-08,363.2,378.95,353.35,378.95,652869
2025-12-09,371,380,350.6,366.9,329653
2025-12-10,378.5,380.45,362.2,370,288556
2025-12-11,374.15,379.85,368.6,379,92302
2025-12-12,375.55,378.9,373.6,375,56330
2025-12-15,368,374.05,366.3,374,83970
2025-12-16,385,389.9,363.8,368,202316
2025-12-17,397.2,399.25,379,390,327750
2025-12-18,393.35,397.2,382.6,397.2,289839
2025-12-19,395.1,397,390,390,100728
2025-12-22,396.95,401.95,390.55,401.95,196592
2025-12-23,381,417.3,378.1,409,1702332
2025-12-24,382.9,387,381.15,383.6,240594
2025-12-26,375.7,385.75,374.7,385.7,159391
2025-12-29,370.7,375,365.2,373,405303
2025-12-30,378.25,382.15,365,367.3,192543
2025-12-31,376.4,382,372.6,381,138480
2026-01-01,376.7,379.4,370.3,375.1,99367
2026-01-02,388.3,389.9,372.2,379.95,392799
2026-01-05,386.55,390,380,390,112926
2026-01-06,390.1,392.75,380.05,389.9,119544
2026-01-07,429.1,429.1,385.6,389.95,1247464
2026-01-08,417.25,433,411.5,429.1,610272
2026-01-09,404.95,417.6,400.15,416,258471
2026-01-12,401.7,407.4,393,401.95,217226
2026-01-13,399.7,403.2,390,400,104663
2026-01-14,393.3,407.1,391.6,398.95,171631
2026-01-16,396.7,413,392.15,400,206144
2026-01-19,385.5,396.5,382,396.5,83508
2026-01-20,365.65,385.45,362,385,130011
2026-01-21,351.6,365.5,350,365.5,117407
2026-01-22,364.1,369.9,355.45,358.7,151036
2026-01-23,363.15,364.9,345,364.9,156657
2026-01-27,363.55,366.05,353,360.05,95328
2026-01-28,384.15,386.85,362.25,363.55,131920
2026-01-29,385.6,388.95,374.05,388.95,75279
2026-01-30,393.15,397,376.6,376.6,90113
2026-02-02,390.45,393.95,373,382,92798
2026-02-03,415.8,424.9,396.75,408,270637
2026-02-04,437.1,440,414.45,415.8,201632
2026-02-05,430.75,440,407.1,439.75,723790
2026-02-06,429.25,446.9,422.35,446.9,258145
2026-02-09,423.65,438.15,418.6,429.45,142581
2026-02-10,426.55,431.15,416.85,423.8,122316
2026-02-11,411.95,430.95,408.3,423,118851
2026-02-12,413.45,418,403.05,411,152561
2026-02-13,419.3,422.35,401,411.95,124102
2026-02-16,416.4,420.5,407.5,415.05,106079
2026-02-17,412.9,430,406.85,424.95,160908
2026-02-18,408.7,429.75,405,424.05,264478
2026-02-19,407.85,416.2,404,409.35,93885
2026-02-20,403.1,405.7,401,402.05,67836
2026-02-23,403,420.25,399.55,406,134045
2026-02-24,393.5,401.7,391,401.7,80080
2026-02-25,380.95,399.95,377.2,395,164846
2026-02-26,371.65,389.85,367,386.8,150794
2026-02-27,366.95,375.65,360.55,370.4,214340
2026-03-02,354.75,361.7,351.3,357,90449
2026-03-04,343.1,353,341.3,352.5,80576
2026-03-05,347.55,350.75,340.5,345.05,72968
2026-03-06,343.85,352.95,342,345,45507
2026-03-09,333.65,339.85,328,339.75,74208
2026-03-10,345.95,348.95,336.85,337.9,82955
2026-03-11,347.05,357,346.25,349,62609
2026-03-12,361.4,380,335.5,344.5,493836
2026-03-13,352.2,364.1,342.15,364.1,160591
2026-03-16,346.9,350.7,337,344.1,145468
2026-03-17,345.9,355.95,342.2,346,82933
2026-03-18,358.15,362,346.85,346.85,91942
2026-03-19,366,380.35,353.75,358.15,430121
2026-03-20,371.9,380.95,365.8,366,138815
2026-03-23,359.2,373,355.4,372,129619
2026-03-24,368.05,370,355.55,366,98166
2026-03-25,379.2,381.25,364.55,369.9,146059
2026-03-27,383.6,393.5,370,370,366507
2026-03-30,377.1,384.75,371,371,146968
2026-04-01,399.55,402,381,388.45,124080
2026-04-02,403.8,406.7,386.95,395.05,151721
2026-04-06,422.9,427.5,398.35,402,125699
2026-04-07,409.9,429.75,405,420,114424
2026-04-08,417.55,425,414,419.85,123814
2026-04-09,420.45,425.85,406.4,413.3,82376
2026-04-10,461.6,462.45,435.15,439,2170750
2026-04-13,462.1,476.9,447,461.6,566841
2026-04-15,470.1,476.8,460,473,240922
2026-04-16,470.95,479.9,463.8,470.1,195414
2026-04-17,472.25,483.8,468,475,173013
2026-04-20,464.05,481.7,460.9,476.35,107857
2026-04-21,461.85,477,455.1,475.95,219972
2026-04-22,465.25,469.75,455.8,462.8,120129
2026-04-23,467.8,485.2,461.6,465.95,279292
2026-04-24,453,479,450.3,470.6,175674
2026-04-27,486.55,490,454,458.5,322845
2026-04-28,480.7,499.2,476,495,188146
2026-04-29,480.1,502.8,477,483,325210
2026-04-30,460.1,484.65,456,480.15,183110
2026-05-04,479.15,484.95,461.1,466,158129
2026-05-05,473.6,499.15,472,479,165205
2026-05-06,478.2,484.85,471.5,475.5,129466
2026-05-07,478,487.95,476,482.95,79272
2026-05-08,471.15,491.9,470.1,475,93575
2026-05-11,469.9,476.2,460.95,460.95,86769
2026-05-12,445.75,474.35,440.05,469.9,113126
2026-05-13,456.1,463.5,449.1,450.8,60798
2026-05-14,453.45,463.95,451,458,60718
2026-05-15,448.05,462.7,447,453.95,59878
2026-05-18,436.3,453.95,428.3,453.95,123039
2026-05-19,444.7,462.4,432,432,162514
2026-05-20,454.3,459.95,440.25,445.95,114041
2026-05-21,433.65,437.5,408.9,413.05,645632
2026-05-22,432.3,438.45,421.05,425,179326
2026-05-25,444.5,447.8,433,434.95,130074
2026-05-26,454.25,463.15,447,452.5,183302
2026-05-27,449.85,479,442.9,473,567426
2026-05-29,441.05,453.9,438.75,449.85,94175
2026-06-01,443.8,447.5,434.35,438,97321
2026-06-02,447.4,449.5,438.6,444,45644
2026-06-03,464.85,467.35,448.05,454.95,178747
2026-06-04,464.55,472.35,459.1,462,100327
2026-06-05,463.55,471.45,453.6,462.45,95324
2026-06-08,460.15,472.4,456,462.05,123959
2026-06-09,468.4,481.55,460.15,460.15,123943
2026-06-10,468.3,474.2,461.95,467.25,62524
2026-06-11,462.9,483.55,453.6,462.6,210102
2026-06-12,476.4,484.5,466,469.95,138538
2026-06-15,469.8,490.05,465,480.9,323773
2026-06-16,476.15,483,467.1,475.35,112749
2026-06-17,477.9,484.75,474,476.9,62456
2026-06-18,476.65,487,472.65,474.3,84394
2026-06-19,477.2,483.9,473,479.05,77163
2026-06-22,466.95,482.5,465,477.2,86638
2026-06-23,461,471,452.55,471,79072
2026-06-24,487.65,490,448,462.1,322355
2026-06-25,475.35,493,471.45,490.95,168612
2026-06-29,462.4,477.65,460.9,477.65,44543
2026-06-30,464.95,470.05,458.1,465.05,68415
2026-07-01,450.2,470,448.5,460.3,118461
2026-07-02,453.65,457.15,440.85,450.2,72619
2026-07-03,440.2,461.95,431.2,460,235245
2026-07-06,433.55,439.8,429.15,438,99050
2026-07-07,423.55,433.5,418.4,430,120431
2026-07-08,420,429.2,416,423,71798
2026-07-09,455.15,459.8,415.15,421.9,338219
2026-07-10,449.2,464.25,445.45,459.7,64089
2026-07-13,449.25,452.6,439.55,448,80599
2026-07-14,465.9,483.3,445.55,450,834895
2026-07-15,470.95,485.55,468.1,470,315807
2026-07-16,466.65,478,463,475,160908
2026-07-17,466.4,469.95,457.15,467,88866
2026-07-20,463.95,478.8,458.4,469.5,207363
2026-07-21,448.5,468.7,445.9,466.25,222274
2026-07-22,444.75,452.7,437,448.5,63245
2026-07-23,437.15,458,435.65,457,126220
2026-07-24,440.55,442.95,430.45,435,50435
2026-07-27,442.95,448.4,440.55,441.5,36176
2026-07-28,437.85,445.5,436,445.5,41198
2026-07-29,438,450,434.5,440,61669
2026-07-30,431.1,437.85,428.15,437.85,33078
2026-07-31,433.55,438,430.4,438,36524
2026-08-03,437.8,442,433.55,433.55,36670
2026-08-04,426.3,437.8,417.15,435,106085
2026-08-05,422.65,431.35,420,424,48955
2026-08-06,427.65,429.95,421,423,45101
2026-08-07,423.65,427,422,427,30681
2026-08-10,418.9,424.3,416.6,423.65,47722
2026-08-11,426.7,428,416.1,417.05,39519
2026-08-12,435.35,444.7,430.05,434.7,112853
2026-08-13,441.7,450,428.3,435.1,154436
2026-08-14,427.4,449,420.1,448,196533
2026-08-17,402.65,408.3,384.7,401,601288
2026-08-18,401.45,417.95,399.45,405.65,133219
2026-08-19,399.45,406,397.55,399,129616
2026-08-20,401,405.55,397.1,405.55,43480
2026-08-21,418.95,433.55,410.1,420.55,1109085
2026-08-24,421.6,423.95,409,418.35,97757
2026-08-25,421.85,425.85,415,418,45727
2026-08-26,423.85,425,417.75,420,61619
2026-08-27,428.4,430,420,423.85,46407
2026-08-28,422.3,428.4,418.6,428.4,33723
2026-08-31,417.95,419.7,412.5,416.65,47268
2026-09-01,420.5,424.7,408.9,414.05,47469
2026-09-02,417.25,421.15,412.55,416.6,32529
2026-09-03,421.65,435,415.1,417,143686
2026-09-04,424.4,428.4,417.1,422.5,40516
