Date,Close,High,Low,Open,Volume
2019-09-12,280.775,294.4,274,294.4,1345
2019-09-13,280.55,284,238.85,284,2363
2019-09-16,279.25,281,272.625,272.625,504
2019-09-17,281,287.5,272.625,287.5,1098
2019-09-18,283.25,285,274.025,285,305
2019-09-19,279.45,282.3,274.5,280.5,270
2019-09-20,283.075,287.5,275,275,3809
2019-09-23,283.625,289.975,273.4,289.975,3515
2019-09-24,294.7,299.975,282.75,290,3314
2019-09-25,289.825,295.5,282.025,294.7,863
2019-09-26,297.075,309.5,286.9,294.95,11152
2019-09-27,305.75,312.075,286.5,294.75,3844
2019-09-30,295.5,316.975,292.5,316.975,2865
2019-10-01,289.525,300.975,285.075,295,1422
2019-10-03,292.35,309.5,286,286,3890
2019-10-04,285.25,298.325,282.5,292.5,2453
2019-10-07,291.725,295,285.025,285.025,926
2019-10-09,295.075,300,286.175,297,942
2019-10-10,285.65,296.5,284.075,290.025,8880
2019-10-11,287.325,292.25,283.975,285,2284
2019-10-14,293.7,301.5,285.05,295.95,2282
2019-10-15,289.625,294,280.025,280.5,1762
2019-10-16,291.175,297.5,287.55,290,1383
2019-10-17,289.025,296.775,287.5,287.575,1055
2019-10-18,287.85,295.85,286,290,949
2019-10-22,292.05,297.075,286.05,295.525,4683
2019-10-23,291.85,295,285.55,285.55,892
2019-10-24,285.65,296,282.625,294.65,2869
2019-10-25,277.8,291.325,267.65,287.5,1214
2019-10-28,289.85,298.925,278,298.925,1579
2019-10-29,280.725,293.975,277.5,280.775,1053
2019-10-30,281.05,288.35,278.5,285,2659
2019-10-31,287.075,290.525,277.475,281,2761
2019-11-01,281.7,288.85,277.225,281.025,1190
2019-11-04,280.525,287,280.125,287,726
2019-11-05,287.025,289.5,280.6,289.5,1772
2019-11-06,282.35,287.425,281.65,287.025,1132
2019-11-07,277.65,287.475,275.5,282.125,1256
2019-11-08,276.2,286.5,275.5,284.45,4156
2019-11-11,279.325,290.5,265.025,280,5948
2019-11-13,276.6,284.95,273,279.325,2937
2019-11-14,283.75,285.5,275,275,4627
2019-11-15,282.9,288,280.525,288,2058
2019-11-18,285.8,287.5,280,280.025,436067
2019-11-19,287.65,299,286.075,289,4847
2019-11-20,288.725,293.6,285.575,293.5,2610
2019-11-21,289.775,294.35,285.05,285.05,3935
2019-11-22,277.25,295,270.7,280.5,58755
2019-11-25,280.625,287,274,283,88873
2019-11-26,280.2,287.45,276.125,287.45,39307
2019-11-27,282.75,284.35,280.5,280.525,14245
2019-11-28,283,287.5,280.5,280.55,21483
2019-11-29,284.8,290,281.025,287.25,31019
2019-12-02,289.875,296.825,282.975,289.875,59525
2019-12-03,287.725,292.5,285,290.125,16501
2019-12-04,291.125,292.425,286,287.5,3603
2019-12-05,291.75,293,289.975,289.975,3237
2019-12-06,288.525,294.4,286.1,294.4,9050
2019-12-09,288.05,292.125,285,292.125,8651
2019-12-10,285.95,289.85,283.275,289.825,43028
2019-12-11,295.15,299.975,286.525,287.425,10112
2019-12-12,296.55,301,290.025,294.5,8544
2019-12-13,300.225,302.5,293,295.025,10846
2019-12-16,310.975,325,297.5,305.725,19207
2019-12-17,319.275,328.1,311.425,319.5,11659
2019-12-18,316.225,327,310.8,323.975,13465
2019-12-19,311.075,319.85,305.6,315,4632
2019-12-20,308.125,315.475,306.025,306.025,2540
2019-12-23,309.625,320,306.025,307,7921
2019-12-24,316.125,320,310,310,2969
2019-12-26,312.85,317.75,312.5,317.75,8528
2019-12-27,311.325,317.4,310,312.95,7162
2019-12-30,316.15,317.5,312.625,314.95,2388
2019-12-31,309.65,316,309,313.475,125044
2020-01-01,313.55,314.775,307.625,309.65,3322
2020-01-02,310.25,317.5,307.6,310.5,7573
2020-01-03,311.5,314.95,307.6,310.325,4337
2020-01-06,300.45,317.3,300,317.3,6691
2020-01-07,302.375,309.725,300.125,300.5,4148
2020-01-08,300.15,302.775,297.5,300.15,2978
2020-01-09,302.25,308.375,300.275,305,4356
2020-01-10,300.875,307.175,300.525,306,2682
2020-01-13,308.425,311.975,301,301.75,6671
2020-01-14,311.775,314,308.55,312,4792
2020-01-15,314.05,316,309.075,310,5595
2020-01-16,308.825,318.25,305.975,317.775,9033
2020-01-17,311.425,314.5,308.125,314.5,6585
2020-01-20,310.525,311.425,309.225,311.425,2998
