Date,Close,High,Low,Open,Volume
2024-11-12,29.32,32.87,28.95,31.06,270448928
2024-11-13,28.58,29.29,27.02,29.29,26357328
2024-11-14,28.51,29.8,27.8,28.01,20806988
2024-11-18,29.53,30.1,28.26,28.9,17665144
2024-11-19,29.25,30.1,28.7,29.99,12537333
2024-11-21,28.26,29.15,27.85,29.07,15111152
2024-11-22,28.02,28.9,27.76,28.16,7280226
2024-11-25,28.68,29,28.12,28.74,7629162
2024-11-26,31.54,31.54,29.9,30.3,66359636
2024-11-27,34.49,34.69,32.33,34,103883168
2024-11-28,34.87,36.14,33.54,34.5,72672440
2024-11-29,37.02,37.77,34.91,35,49755968
2024-12-02,36.61,37.75,36.15,37.3,27803724
2024-12-03,35.65,36.8,34.9,36.7,22831502
2024-12-04,35.92,36.3,35.49,35.7,10380833
2024-12-05,37.71,37.71,36.1,36.27,13708920
2024-12-06,39.44,39.59,38.47,39.59,63412532
2024-12-09,41.41,41.41,38.8,39.49,26238430
2024-12-10,42.26,43.48,41.56,43.48,68989552
2024-12-11,42.87,43.25,40.14,42.19,64407848
2024-12-12,40.81,43.48,40.72,43.48,17707128
2024-12-13,39.76,41,38.76,40.75,34558848
2024-12-16,41.74,41.74,40.17,40.4,13155239
2024-12-17,43.3,43.82,42.5,43.82,50540496
2024-12-18,43.5,45.46,42.3,42.8,43115560
2024-12-19,43.9,45.29,41.46,41.5,27142706
2024-12-20,45.17,46.09,44.9,45.45,73236424
2024-12-23,46.6,47.25,44.3,47,26655334
2024-12-24,48.93,48.93,47.75,47.9,23966758
2024-12-26,51.3,51.37,50.1,50.7,48639180
2024-12-27,53.86,53.86,49.37,52.19,57359748
2024-12-30,53.11,56.4,52,55.29,51662516
2024-12-31,50.45,53.5,50.45,53.22,27456496
2025-01-01,47.92,49.09,47.92,48.5,33261884
2025-01-02,50.31,50.31,46.56,46.66,37520036
2025-01-03,52.82,52.82,51.43,51.77,22189970
2025-01-06,51.31,54.27,50.7,54.27,44937800
2025-01-07,53.87,53.87,51.19,52.3,15303034
2025-01-08,52.05,55,51.17,54.1,41622828
