Date,Close,High,Low,Open,Volume
2020-03-16,681.4,755,656,661,60893376
2020-03-17,730.9,747.95,689,691,15147702
2020-03-18,689.2,769,680,752.1,8950986
2020-03-19,692.05,717,650,660,6432291
2020-03-20,724.5,730,690.25,706.25,6492749
2020-03-23,582.4,698,580,659,6260568
2020-03-24,613.7,623.95,575.05,620,4019346
2020-03-25,624.95,648.9,591.4,601,3488027
2020-03-26,650.95,693.8,621.45,634,4360649
2020-03-27,655.9,690,650,675,3114721
2020-03-30,615.35,642.7,607,640,1791951
2020-03-31,618.65,638,608.55,635,2334681
2020-04-01,608.05,624,601.25,624,1501066
2020-04-03,590.25,614.7,588,613.8,1693653
2020-04-07,586.05,611,582,605,3137486
2020-04-08,579.5,598.4,576,584.8,3091087
2020-04-09,595.2,614.25,575,585.05,6139709
2020-04-13,505.5,581.5,501.1,580,22874756
2020-04-15,504.65,524.45,502,510,8436966
2020-04-16,532.1,537.2,501,505,8012609
2020-04-17,530.5,548.8,523,546,6750064
2020-04-20,540.1,548.9,528.5,534.75,5766967
2020-04-21,525.9,534.9,518,528.9,3249487
2020-04-22,532.4,535.7,520.1,527,2719280
2020-04-23,560.95,574,535,539,4983406
2020-04-24,557.85,596.45,552.1,557.7,7824080
2020-04-27,552.7,575,542.85,563.7,3306453
2020-04-28,550.9,562.45,547.45,556,1975826
2020-04-29,577.5,584,548.4,555.4,6121364
2020-04-30,599.15,604.9,585,591,6038342
2020-05-04,568.45,578,566.2,566.2,2066389
2020-05-05,553,584.3,550.6,577.75,2247828
2020-05-06,565.65,569,542,557,2356415
2020-05-07,574.45,579,558.9,563,2201886
2020-05-08,561.95,586,548.6,585,5125026
2020-05-11,548.5,561,543,552,2746769
2020-05-12,543.1,548.35,530.2,542,2115701
2020-05-13,548.3,570.55,545.25,570,2376132
2020-05-14,538.65,545.75,537.1,543,1456710
2020-05-15,539.45,544,535.25,542,1044907
2020-05-18,528.9,540,526,540,1212873
2020-05-19,537.65,540,529.15,535,1329780
2020-05-20,536.75,548,534.6,537,1142416
2020-05-21,542.35,546.8,536.15,539.4,1181475
2020-05-22,509.55,546.3,495,541.4,5257015
2020-05-26,498.75,518,496.5,515,4518856
2020-05-27,517.45,521.1,496,501.6,3008686
2020-05-28,532.3,537.75,518.15,520,2381145
2020-05-29,538.85,541.65,524.2,528,1540581
2020-06-01,547.8,557.4,544,544,1939049
2020-06-02,570.05,573,552.75,554.5,2741138
2020-06-03,611.3,626,577,578,9393658
2020-06-04,612.4,634.7,607,615,4581403
2020-06-05,626,632,615.05,618,2895766
2020-06-08,614.85,639.5,611.2,634.9,2619272
2020-06-09,611.65,626.75,607.2,618,2338124
2020-06-10,598.4,618,593.55,612,2051495
2020-06-11,591.05,608.7,590,595.45,1354038
2020-06-12,590.45,594.5,552.5,552.5,2363476
2020-06-15,592.55,599,583.35,585,1081686
2020-06-16,585.75,609.5,577,602.45,1533833
2020-06-17,579.5,584.9,575.05,580,1143202
2020-06-18,587.9,590.45,577.2,578,1241355
2020-06-19,616.95,622.7,587.1,592.7,4045615
2020-06-22,657.9,668.75,620.4,622.75,6536478
2020-06-23,679.95,687,663,664.95,3797121
2020-06-24,664.45,695.5,661,684.75,3224735
2020-06-25,654.1,668,646.9,650,1614515
2020-06-26,652.15,663.5,648.2,657.85,1002691
2020-06-29,636.55,647.9,629.65,645,1137705
2020-06-30,630.25,647.95,627.4,640,1499626
2020-07-01,649.65,653.75,626.35,634.65,1343717
2020-07-02,654.2,658.5,641,654,1395591
2020-07-03,674.85,677.05,654.2,661.35,2461518
2020-07-06,698.8,704.9,677,678.9,2844697
2020-07-07,703.85,726,698.2,705,4554566
2020-07-08,695.45,721,691.05,710,2209085
2020-07-09,698.15,704.85,693.2,702,1550433
2020-07-10,703.15,710,690.1,693.55,1952538
2020-07-13,698.2,708.45,693.1,706,1082265
2020-07-14,691.35,695.45,685,692,1399434
2020-07-15,692.2,704.9,690.75,695,1068125
2020-07-16,719.9,723.3,685.7,696,3365887
2020-07-17,755.95,760,720.05,722,6692285
2020-07-20,751,768.8,731.35,756.3,6764967
2020-07-21,777.1,798.45,765.7,785,10762173
2020-07-22,754.2,781.85,750,778,3469283
2020-07-23,744.05,766,741.1,753,2256033
2020-07-24,740.8,751,735,740,1742845
2020-07-27,750.65,763.45,735,745,2850697
2020-07-28,752.4,758.1,748.35,754.95,1068821
2020-07-29,745.75,759.9,737.1,754.95,1556795
2020-07-30,735.9,749.5,729,746.1,1740477
2020-07-31,726.85,738.4,725.05,734,1012735
2020-08-03,730.85,743.15,720.9,726.85,855330
2020-08-04,757,760.9,732.25,734.45,1886262
2020-08-05,758.85,769.9,751,762.9,1308665
2020-08-06,758.55,764.45,753,762,867916
2020-08-07,757.95,765,753,757.5,913957
2020-08-10,761.6,769,755.1,758.55,1226626
2020-08-11,780.35,790.9,761,765.75,3956863
2020-08-12,791.35,807.7,777,779.2,5418906
2020-08-13,792.3,810,788.8,795.75,2719245
2020-08-14,779.8,798.75,753.05,794,2225759
2020-08-17,803.1,809,770.1,781.75,2206885
2020-08-18,821.4,825,804,804.4,3764347
2020-08-19,824.35,836.7,820,826.7,2178380
2020-08-20,808.5,818.55,807,818.4,1743053
2020-08-21,830.05,834.85,815,815.35,1674656
2020-08-24,836.45,841,825.75,835,1772150
2020-08-25,827.3,841.4,822,840,1120379
2020-08-26,827.35,835.8,821.1,828.35,926227
2020-08-27,819.7,831.8,811.1,828.65,1411422
2020-08-28,838.9,846,823.55,824,2309206
2020-08-31,807.8,848.7,786.1,845,3393666
2020-09-01,806.7,820.85,796.3,804.1,1457465
2020-09-02,814.1,819,801.9,802,864414
2020-09-03,827.8,835,814.95,815,1202202
2020-09-04,816.45,827.5,810,811,895656
2020-09-07,808.7,823.65,805,820,836452
2020-09-08,818.9,824.6,807.15,811,1527405
2020-09-09,809.15,813.95,805,812.05,801709
2020-09-10,819.95,826,812.05,814,1336624
2020-09-11,849.4,855.8,819,819,2722066
2020-09-14,855.85,868,842.7,858,2306741
2020-09-15,858.6,865.5,856.5,859,1049684
2020-09-16,851.55,865,850,863.55,1082791
2020-09-17,851.05,858,844,846.9,706512
2020-09-18,849.4,863.8,826.55,856,8126328
2020-09-21,818.15,857,811,855,1464507
2020-09-22,813,828,774.05,820,1361609
2020-09-23,821.05,826.7,811.15,819,1051964
2020-09-24,816.1,820.8,805,811.3,1161120
2020-09-25,812.05,824.25,806.9,813.1,761952
2020-09-28,841.4,848.5,813.3,818.75,1056368
2020-09-29,849.7,854.85,830.65,845.1,1322936
2020-09-30,847.6,851,842,849.8,796469
2020-10-01,838.9,858,833.7,858,746238
2020-10-05,845.85,848.45,838,839,864679
2020-10-06,842.15,850,838.45,849.45,796688
2020-10-07,843.5,848,833,845,834051
2020-10-08,847.3,852.75,841.3,848,777073
2020-10-09,850.65,852.8,841,850,900601
2020-10-12,845.05,855,839,850.1,672699
2020-10-13,856.35,861.1,840.1,843.1,1367217
2020-10-14,892.15,895.5,860,860,5345936
2020-10-15,900.2,918.75,887.75,892.25,3799142
2020-10-16,879.6,904.4,876,897.9,1568240
2020-10-19,883.2,888.8,875.3,884.35,895509
2020-10-20,898.3,901.8,873,883.95,1285192
2020-10-21,895.3,908.75,878,901,961002
2020-10-22,851.9,902,828,899,2426405
2020-10-23,807.25,827.85,766.1,790,11939340
2020-10-26,793.95,818,790,807.15,2209702
2020-10-27,814.2,820,795.05,796,1830258
2020-10-28,808.7,819.8,807,818.65,1174804
2020-10-29,811.9,814.7,796,802,834937
2020-10-30,799.75,817,796.5,810.95,782010
2020-11-02,807.05,814.6,793.2,799,887924
2020-11-03,813.65,819.4,805,811,684155
2020-11-04,820.2,824.8,810.3,815,864460
2020-11-05,827.1,843.65,825,825,1030075
2020-11-06,847.5,855,827.5,829.95,1627683
2020-11-09,840.45,863.95,834.05,853,1458095
2020-11-10,839.7,860,836.55,848.8,1198077
2020-11-11,805.75,842,801.1,840,2926323
2020-11-12,781.15,809,780.25,807.95,3771352
2020-11-13,774.05,787.9,770.15,782.9,3057925
2020-11-16,789.55,791.85,780,780.8,449477
2020-11-17,782.95,795,780.3,795,1312729
2020-11-18,814.35,818.5,779.6,784.4,3183192
2020-11-19,806.85,832,801.5,812,2422368
2020-11-20,806.9,814.2,795.05,807,1286646
2020-11-23,815.05,821.05,806.45,810,1412782
2020-11-24,806.05,819,805,819,761690
2020-11-25,806.1,818,804.05,811.95,960946
2020-11-26,809.25,815.7,806.45,809,731624
2020-11-27,799.3,814.6,792,814,1016666
2020-12-01,799.95,807,796.95,800.05,951069
2020-12-02,796.95,805,795,803.7,832610
2020-12-03,838.65,841.85,798,800.95,4820372
2020-12-04,858.85,861,840.25,849,3230931
2020-12-07,846.9,864,844.15,855,1040877
2020-12-08,855.65,859.3,841.1,845.85,1475632
2020-12-09,845.6,862,841,857,707807
2020-12-10,831.75,844.5,827.15,844.5,634969
2020-12-11,823.2,844.9,818.3,834.5,857936
2020-12-14,814.9,835,812.05,827,953777
2020-12-15,820.85,834.5,814,821,1517601
2020-12-16,827.2,832.5,821.1,825,825128
2020-12-17,840.3,842.5,824.15,829,1461961
2020-12-18,840.35,850,834.1,844.55,867946
2020-12-21,813.7,846.1,799,835,1499314
2020-12-22,822.3,827.35,800,815,1304570
2020-12-23,829.4,840.5,820,828,951485
2020-12-24,835.2,839.4,830.5,832,664515
2020-12-28,840,844.2,837.3,840,469675
2020-12-29,840.7,859.85,836.8,850,1172099
2020-12-30,850.85,853.5,841.15,846,906380
2020-12-31,851.05,854.95,832,850,673598
2021-01-01,852.85,855,843,851.2,470271
2021-01-04,888.25,897,853.8,853.8,2897219
2021-01-05,913.85,918,883.95,890,3867519
2021-01-06,969,975,918.2,918.2,7456425
2021-01-07,977.5,1002.05,956.35,985.2,3734212
2021-01-08,965.15,989,958,980,1525747
2021-01-11,964.9,970.45,941.15,968.45,1639562
2021-01-12,961.75,979,952,965.1,1026418
2021-01-13,974,979,962.9,963,1300730
2021-01-14,960.2,973.4,950.15,973,599023
2021-01-15,955.45,972.9,951.8,960,803504
2021-01-18,960.45,964.95,942,957,815585
2021-01-19,967.05,974.55,957.4,965,576221
2021-01-20,998.65,1006,962.4,969,3130168
2021-01-21,979.65,1019,970.7,1010,2160359
2021-01-22,1032.75,1040,978.95,1011,5778738
2021-01-25,1021.5,1037.4,993.35,1034.4,2143108
2021-01-27,970,1012.95,950,1008.85,2217110
2021-01-28,970.5,991.85,952,952,1206307
2021-01-29,986.05,1011,976.1,980,1720621
2021-02-01,1006.5,1020,974.65,986.05,841438
2021-02-02,1008.75,1033,1001,1020,817924
2021-02-03,995.45,1018.5,990,1010.95,816467
2021-02-04,989.15,998.45,982.65,998.45,852024
2021-02-05,981.45,1015.2,976,993.95,1746296
2021-02-08,983.65,995,978.1,990.75,813768
2021-02-09,1014.7,1031.75,985,985,2273388
2021-02-10,1024.35,1031,998.95,1000,1022092
2021-02-11,1024.2,1029.5,1010,1025,633576
2021-02-12,1020.9,1049,1011,1026,1294689
2021-02-15,1019.5,1030,1014.3,1030,977902
2021-02-16,1019.35,1037,1015,1029.55,953363
