Date,Close,High,Low,Open,Volume
1995-01-02,22.12,22.4,22.12,22.175,19300
1995-01-03,22.02,22.25,22,22.2,21100
1995-01-04,21.74,22.075,21.65,22.05,10950
1995-01-05,21.44,21.7,21.425,21.7,20700
1995-01-06,21.105,21.49,20.9,21.25,34850
1995-01-09,20.51,20.9,20.3,20.3,22600
1995-01-10,19.405,20.55,19.225,20.45,30400
1995-01-11,20.16,20.5,18.9,18.9,16900
1995-01-12,19.5,20.1,19.275,20.1,20750
1995-01-13,19.73,19.995,19.45,19.45,5400
1995-01-16,19.4,20.2,19.3,20.1,10300
1995-01-17,19.26,19.4,19.15,19.325,24100
1995-01-18,19.495,19.5,19.205,19.225,4400
1995-01-19,19.51,19.75,19.4,19.4,17900
1995-01-20,18.52,19.65,18.5,19.56,16250
1995-01-23,17.525,18.5,17.3,18.5,10700
1995-01-24,17.62,18,16.5,17.325,16750
1995-01-25,17.53,17.825,17.3,17.45,21550
1995-01-27,18.41,18.65,17.6,17.65,10400
1995-01-30,18.295,18.4,17.25,17.25,34200
1995-01-31,18.47,18.7,18.13,18.13,59600
1995-02-01,18.15,18.675,17.905,18.5,10600
1995-02-02,17.99,18.01,17.4,17.755,12100
1995-02-03,17.8,18.2,17.5,17.9,27150
1995-02-06,17.655,17.95,17.525,17.95,9300
1995-02-07,17.315,17.65,17.2,17.5,51000
1995-02-08,17.4,17.7,17.3,17.7,10750
1995-02-09,17.425,17.5,17.325,17.4,10250
1995-02-10,17.195,17.52,17.05,17.52,7550
1995-02-13,17.2,17.3,16.9,17.1,48850
1995-02-14,17.16,17.4,17,17.2,35150
1995-02-15,17.05,17.25,16.84,17.2,59600
1995-02-16,16.7,16.99,16.6,16.975,71950
1995-02-17,16.505,16.65,16.4,16.6,58400
1995-02-20,16.6,16.975,16.6,16.9,19300
1995-02-21,16.2,16.65,16.15,16.5,47050
1995-02-22,16.25,16.5,16,16.5,33750
1995-02-23,17.485,17.55,16.8,16.8,32200
1995-02-24,17.95,18.8,17.5,17.5,111300
1995-02-28,18.185,18.25,17.125,17.495,105550
1995-03-01,19.04,19.195,18.2,18.245,66650
1995-03-02,19.175,19.675,18.9,19.5,90200
1995-03-03,19.93,20,19,19,73150
1995-03-06,19.875,20.095,19.55,20,50550
1995-03-07,19.64,20.5,19.4,20.5,70750
1995-03-08,19.66,19.995,19.3,19.5,57050
1995-03-09,19.955,20.1,19.6,19.98,69400
1995-03-10,19.79,20.05,19.75,19.905,57400
1995-03-13,18.545,19.15,18.36,19,82250
1995-03-14,18.935,19.5,18.5,18.5,76700
1995-03-15,18.075,19.9,17.9,18.81,176900
1995-03-16,18.04,18.2,17.125,18,39250
1995-03-20,17.625,18.07,17.3,17.495,27000
1995-03-21,17.03,17.7,16.905,17.5,108150
1995-03-22,17.2,18,17.12,18,35900
1995-03-23,17.265,17.675,17.21,17.6,10400
1995-03-24,17.35,17.425,17,17.21,11450
1995-03-27,17.34,17.6,17.205,17.4,25050
1995-03-28,17.535,18,17.43,18,45350
1995-03-29,17.85,17.9,17.475,17.625,63400
1995-03-30,17.65,18.15,17.65,17.8,23100
1995-03-31,17.685,17.9,17.475,17.9,9400
1995-04-03,17.69,17.825,17.5,17.6,59700
1995-04-04,18.155,18.4,17.75,17.85,115550
1995-04-05,18.89,19,18,18.1,350550
1995-04-06,19.005,19.2,18.85,18.9,130750
1995-04-07,18.915,19.2,18.8,19.2,158450
1995-04-10,18.875,18.92,18.5,18.815,127950
1995-04-11,18.905,19,18.71,18.71,53450
1995-04-12,18.955,18.99,18.9,18.9,56900
1995-04-17,18.75,18.95,18.54,18.61,20250
1995-04-18,18.08,18.65,18.02,18.605,95350
1995-04-19,17.95,18.255,17.875,18.2,78350
1995-04-20,17.69,18.05,17.66,18,74200
1995-04-21,17.855,17.9,17.61,17.785,25750
1995-04-24,17.285,17.725,17.2,17.65,75900
1995-04-25,16.625,17.1,16.5,17.1,188100
1995-04-26,17.44,17.8,17.2,17.4,144600
1995-04-27,17.14,17.55,17,17.55,127250
1995-04-28,16.87,17.175,16.53,17.175,88550
1995-05-02,16.705,16.9,16.47,16.9,85350
1995-05-03,17.205,17.6,16.31,16.31,195700
1995-05-04,17.495,17.65,17.075,17.5,148300
1995-05-05,17.385,17.7,17.325,17.495,73950
1995-05-08,17.28,17.35,17.175,17.32,54600
1995-05-09,17.185,17.35,17.125,17.275,47500
1995-05-10,17.075,17.3,17,17.275,61600
1995-05-12,17.065,17.1,16.8,16.85,134900
1995-05-15,17,17.1,16.85,16.85,65700
1995-05-16,17.205,17.225,16.95,16.95,42800
1995-05-17,17.33,17.44,17.195,17.195,134350
