Date,Close,High,Low,Open,Volume
2012-03-20,61.75,65,61.75,64,1201451
2012-03-21,64.8,64.8,58.7,58.7,545730
2012-03-22,66.9,68,63.95,63.95,82634
2012-03-23,68.75,69.5,66,67.25,37156
2012-03-26,69.6,71.25,67.4,69.2,120794
2012-03-27,67.15,71.9,66.15,71.9,132712
2012-03-28,63.8,69,63.8,63.9,739910
2012-03-29,63.55,64.4,61.1,64.4,71415
2012-03-30,66.7,66.7,63.05,63.5,142636
2012-04-02,70,70,70,70,42000
2012-04-03,76.55,84,73.65,78.4,492926
2012-04-04,84.65,86.9,77,77,887970
2012-04-09,80.55,86.4,80.1,84.9,335941
2012-04-10,81.45,82.5,78,81.8,226324
2012-04-11,82.65,85,80.7,81.25,510944
2012-04-12,87.85,94,82.85,83.9,1279034
2012-04-13,88.9,94.5,87.7,88.05,925835
2012-04-16,90.8,94.65,88.95,88.95,571702
2012-04-17,90.5,91.9,88.55,91.5,314639
2012-04-18,85.75,93.3,84.7,90.5,653395
2012-04-19,93.45,94.45,86,87.35,1065763
2012-04-20,94.25,100.7,93.2,95,2604318
2012-04-23,90.75,96.7,90.1,95.4,746923
2012-04-24,90.25,92.75,90,91.8,334463
2012-04-25,90.4,93.5,89.85,92,529977
2012-04-26,89.6,92.55,88.55,91.4,314323
2012-04-27,87.9,92,86.1,92,334933
2012-04-30,89.75,91.35,88.45,88.45,210453
2012-05-02,92.6,93.7,89.4,89.9,520848
2012-05-03,91.95,94.7,91.05,93.05,251281
2012-05-04,88.7,92.4,87.7,92,212007
2012-05-07,90.05,90.75,86.65,89.95,149572
2012-05-08,87.5,91.5,86.65,91.5,185138
2012-05-09,87,88,86.1,86.1,151063
2012-05-10,84.2,88.9,83.5,87.35,251753
2012-05-11,82.05,85.4,81.75,84.9,190568
2012-05-14,82,85.5,81.2,82.5,128494
2012-05-15,82.8,84.9,81,81,86390
2012-05-16,82,84,80.6,82,97330
2012-05-17,82,83.8,80.6,83,82906
2012-05-18,80.9,81.85,80.4,80.8,70649
2012-05-21,82.6,83.35,80.2,80.2,88716
2012-05-22,80.9,84,80.6,83.05,69613
2012-05-23,81.8,82.5,80.05,80.1,54194
2012-05-24,83.05,84.7,81,81,839827
2012-05-25,87.65,88.7,83.5,84,307978
2012-05-28,88.45,89.7,86.15,89.1,128509
2012-05-29,87.3,91,86.55,88.2,149641
2012-05-30,83.75,87.65,82.5,86.3,244129
2012-05-31,79.75,83,79.1,83,227124
2012-06-01,76.5,80.7,76,79.5,87688
2012-06-04,76.9,77.75,74.9,75,61682
2012-06-05,77.05,81.9,76.2,81.9,84758
2012-06-06,78.35,79.9,77,77,51807
2012-06-07,78.05,80.15,77.15,78.95,74736
2012-06-08,77.3,79.7,76.65,78,54462
2012-06-11,78.1,80.65,77.45,78.4,152141
2012-06-12,78.55,79.8,77,77,67782
2012-06-13,77.65,80.4,77.3,78.75,131581
2012-06-14,76,78.55,74.1,78.4,146209
2012-06-15,74.55,76.9,74.4,76.8,55799
2012-06-18,74.65,77.5,74.35,75.8,61712
2012-06-19,73.25,75,72.7,75,65559
2012-06-20,72.95,74.5,72.65,73.8,31438
2012-06-21,77.8,79,72.55,73.4,330841
2012-06-22,77.2,80,76.55,78.6,185437
2012-06-25,76.2,79.4,76,78.1,181457
2012-06-26,77.35,77.75,75.5,76.5,119772
2012-06-27,75.5,78.05,75.2,77.5,77348
2012-06-28,74.8,76.75,73.6,75.7,79765
2012-06-29,74.9,76.45,74.1,76,109722
2012-07-02,74,76.35,73.5,74.6,78999
2012-07-03,75.55,76.5,74,74.5,156746
2012-07-04,77.65,78.45,74.5,75.15,201889
2012-07-05,82.2,83.35,76.1,78.5,738786
2012-07-06,80.65,84,80,83,216283
2012-07-09,80.5,82.5,78.5,80.5,172910
2012-07-10,83.25,85.45,80.3,81,446425
2012-07-11,82.35,84.95,81.35,83.25,157631
2012-07-12,81.7,83.2,80.5,82,89172
2012-07-13,82.1,86,81.5,82.5,280544
2012-07-16,80.6,82.9,80.2,82.45,88856
2012-07-17,80.15,82.8,79.9,81.3,130470
2012-07-18,81.35,81.85,80.35,80.7,68296
2012-07-19,80.15,82.65,79.75,81.1,64274
2012-07-20,82.25,82.6,78.8,81.05,100104
2012-07-23,80.55,81.8,80.1,81.65,38574
2012-07-24,79.25,80.95,79,79,48741
2012-07-25,76.95,79.25,76.2,79.25,133145
2012-07-26,75.75,77.75,75,77.15,99560
2012-07-27,74,78.9,73,76.4,130927
2012-07-30,75.95,78.3,74.1,74.9,100237
2012-07-31,76.9,78.1,75.3,77.8,42050
2012-08-01,79,80.7,72,74.9,387709
2012-08-02,82.75,84.3,78.1,80,255952
2012-08-03,86.4,87.9,80.2,81.25,502247
2012-08-06,85.05,88.4,81.1,81.25,234654
2012-08-07,84.5,85.45,82.1,84.8,103945
2012-08-08,81.9,85.5,81.3,84,67340
2012-08-09,80.45,82.85,78.9,82.65,90420
2012-08-10,80.2,81.2,79.3,80.5,23003
2012-08-13,84.1,84.85,79.2,80.9,127402
2012-08-14,83.85,85.25,83.1,84.5,111864
2012-08-16,83.8,85.45,80.25,84.25,98060
2012-08-17,83.55,84.8,81.2,82.85,108869
2012-08-21,85.3,86.5,82.35,84,125381
2012-08-22,86.7,87.3,83.4,84.55,102389
2012-08-23,89.9,90.8,86.3,86.75,339504
2012-08-24,89,91.65,87.9,90,375063
2012-08-27,88.75,89.4,85.5,88.05,97872
2012-08-28,87,89.5,80.25,88.75,177879
2012-08-29,88.05,88.45,81.25,87,96618
2012-08-30,88.45,88.75,86.1,86.35,54004
2012-08-31,86.85,90.7,86.55,87.3,73427
2012-09-03,85.45,88.4,85.15,87.9,42867
2012-09-04,89.15,89.9,85.3,85.7,98850
2012-09-05,87.1,92.8,86.8,89,209343
2012-09-06,88.3,89.4,87.3,88.65,58898
2012-09-07,88.15,90,88,90,46797
2012-09-10,90.6,91.5,87.3,88,183065
2012-09-11,91.05,92.05,88.5,91.4,162400
2012-09-12,90.1,92,89.2,92,51270
2012-09-13,90.7,91.7,88.25,89.75,113567
2012-09-14,92.8,93.7,88.8,90.3,205826
2012-09-17,90.75,94.1,88.55,91.9,202197
2012-09-18,97.95,104.65,92.8,92.8,1505484
2012-09-20,97.1,97.75,94.25,97.5,391276
2012-09-21,94.8,98.7,94.45,98,154247
2012-09-24,99.5,100.5,93.9,95.6,428086
2012-09-25,97.55,101.9,96.7,101.05,1129873
2012-09-26,96.45,99.25,96,97,153190
2012-09-27,94.95,97.95,94.5,96.75,64246
2012-09-28,93.65,97,92.7,95,119634
2012-10-01,93.8,95.85,93.3,94,63444
2012-10-03,93.6,96,92.8,93.8,68413
2012-10-04,93.4,96.4,93.1,94.8,119638
2012-10-05,92.1,94.35,91,94.35,68481
2012-10-08,91.1,93,90.1,92.55,47176
2012-10-09,89.9,92.4,89.65,90.25,61859
2012-10-10,90.1,91.4,89.3,90.5,32696
2012-10-11,92.75,96.7,90.25,91.9,554036
2012-10-12,91.2,94,91,93,76564
