Date,Close,High,Low,Open,Volume
2014-09-23,230.95,274,225,260,25978566
2014-09-24,253.25,258.7,217.25,231.8,10827362
2014-09-25,261.6,268.9,253.8,259.05,6411675
2014-09-26,252.85,266.7,246.4,263.9,2619748
2014-09-29,256,263.35,243,251.9,2438761
2014-09-30,260.8,273.25,251,255,2560833
2014-10-01,259.9,266.35,257,260.8,1252942
2014-10-07,258.1,263.8,253.55,258.8,1268209
2014-10-08,266.4,268.8,256.7,257,1297444
2014-10-09,266.35,273.4,263.5,267.4,1416727
2014-10-10,257,265.1,255.25,262.7,474656
2014-10-13,255.15,261,251.2,255.95,591183
2014-10-14,257.75,263.1,256.5,259.25,363532
2014-10-16,237.4,258,234.5,256,519000
2014-10-17,242.15,247.95,226.7,239,963272
2014-10-20,242.15,250.9,240.55,247,250512
2014-10-21,252.25,254.1,242.1,244,457162
2014-10-22,251.25,257,249,252,300171
2014-10-23,252.6,254.9,250.7,254,83292
2014-10-27,252.3,256.95,248.4,252.8,253812
2014-10-28,262.35,264.65,252.4,254.3,620988
2014-10-29,256.8,265.05,255.65,264.45,418432
2014-10-30,255.75,261.95,253.4,255.45,426580
2014-10-31,265.15,267.65,257.05,257.05,502679
2014-11-03,282.05,288.3,264.85,265,2440177
2014-11-05,260.6,289,257.5,283.4,2697825
2014-11-07,287.55,291.9,251.65,258.15,2405773
2014-11-10,294.05,300,278.1,290.8,1242418
2014-11-11,291.7,299.95,288.25,293.7,742672
2014-11-12,297.75,304.5,290.05,290.2,941300
2014-11-13,290.8,301.7,288.8,298,478402
2014-11-14,293.95,296.4,289,291.95,277512
2014-11-17,295.6,301.7,291.1,294,282906
2014-11-18,296.8,309.4,295,296.2,805925
2014-11-19,286.45,299.5,281.1,297.4,391098
2014-11-20,278.8,289.4,270.25,287,411449
2014-11-21,273.55,281.85,271.1,280.15,338959
2014-11-24,275.2,282.5,270.4,274.8,323199
2014-11-25,266.8,276.85,258,274.05,353072
2014-11-26,271.7,274.4,264.95,266.8,196547
2014-11-27,278.5,282,270,271.9,354713
2014-11-28,272.35,282.9,271,275.1,139547
2014-12-01,266.75,276,265.95,273.9,169252
2014-12-02,269.8,273,266.15,267.7,163949
2014-12-03,272.1,276.5,269.25,270.7,116670
2014-12-04,271.05,274.2,270,272.75,71509
2014-12-05,266,273.3,265,271.55,260921
2014-12-08,264.95,271,262,266.75,117887
2014-12-09,256.4,269,255,264,365270
2014-12-10,265.2,269.7,253,256,140699
2014-12-11,257.7,267,257,265.65,91159
2014-12-12,249.65,263.9,240.05,260,122138
2014-12-15,259.95,263,246,248,210035
2014-12-16,249.1,258.5,247,258.5,163838
2014-12-17,241.6,252.8,240.3,247,136801
2014-12-18,246.65,252.4,243.65,243.65,130375
2014-12-19,251.6,254.75,247,248.3,289933
2014-12-22,255.15,258.15,252,252,105437
2014-12-23,251.4,259,249.5,257.5,121581
2014-12-24,253.5,256.95,250.05,252.6,87161
2014-12-26,257.85,259.5,252.7,253.5,91327
2014-12-29,266.65,270,258.75,258.75,315523
2014-12-30,266.55,272.8,264.45,268,84431
2014-12-31,269.75,275.45,265,265.6,131888
2015-01-01,268.2,273,267,270,64389
2015-01-02,268.85,274.8,266.1,269.6,99772
2015-01-05,262.95,272.4,261.3,268.4,300222
2015-01-06,254.45,261,250,261,256574
2015-01-07,254.8,258.05,253.5,255,240740
