Date,Close,High,Low,Open,Volume
2025-09-30,411.45,437.45,406,432,10374909
2025-10-01,429.25,431.7,400.4,405,2986689
2025-10-03,426.1,433,419.05,430,1229450
2025-10-06,420.7,426.2,407.5,424,840877
2025-10-07,408.95,419.6,402.25,417.05,507767
2025-10-08,404.25,413.75,400.1,408.5,362596
2025-10-09,408.55,412.3,400.3,401.1,302230
2025-10-10,426.6,428.2,409,409.65,994164
2025-10-13,427.45,434.7,417,426,1226386
2025-10-14,424.2,432.9,416.2,430,614795
2025-10-15,421.95,427.95,417,424.2,221913
2025-10-16,420.4,425.8,418.15,425.8,168453
2025-10-17,393,399,380,390,1135238
2025-10-20,376.55,397.6,367.95,394.9,677682
2025-10-21,385.05,389.35,378.6,379.95,70662
2025-10-23,381.9,389.85,379.45,389.85,163233
2025-10-24,387.1,388.85,376.2,382,132622
2025-10-27,384.6,390.5,382,383,118201
2025-10-28,382.55,387,377.8,387,94185
2025-10-29,374.45,382.05,372,380.65,84972
2025-10-30,370.3,378.2,362.55,377.6,126867
2025-10-31,373.75,375.95,367.85,367.85,92948
2025-11-03,375.55,377,371.8,375,84686
2025-11-04,372.4,375.65,367,375,64454
2025-11-06,364.65,371.15,357,370.3,108306
2025-11-07,372.55,377.4,355.15,359.1,99598
2025-11-10,360,370.7,357,370.7,251025
2025-11-11,355,360.5,354,360,195042
2025-11-12,347.6,364.25,343.2,360.95,222823
2025-11-13,336.65,351.4,335,351.4,99726
2025-11-14,331.7,344.4,330,335.5,95676
2025-11-17,330.45,336,324.05,336,349143
2025-11-18,321,332,320.2,332,247524
2025-11-19,320.9,324.05,315,319.1,146457
2025-11-20,319.75,323.65,316.2,316.2,88554
2025-11-21,316,321.05,315.35,319.75,131297
2025-11-24,303.25,322.45,300,321.05,130769
2025-11-25,301.4,311.9,297.5,310,372370
2025-11-26,311,320.8,298.75,305,486071
2025-11-27,302.45,319,299.25,311,198806
2025-11-28,298.8,311.9,295,303.85,339605
2025-12-01,311.6,316,298,299.65,446377
2025-12-02,315.65,317,307.1,312,159089
2025-12-03,316.1,318.5,311.5,317,131276
2025-12-04,318.25,326.8,308,314.7,211972
2025-12-05,310.95,317.5,307,317,152901
2025-12-08,297.8,309.05,294.35,309,253219
2025-12-09,296.75,299.45,290.2,293.2,68285
2025-12-10,306.65,309,295,295.3,192907
2025-12-11,301.45,307.45,299.9,307.45,62664
2025-12-12,295.6,306.3,292.6,302,61456
2025-12-15,291.25,295.9,288.8,295.65,60257
2025-12-16,285.55,298,284,291.3,79929
2025-12-17,281.95,288.25,277.2,285,101809
2025-12-18,276.65,281.95,275.05,281.95,59045
2025-12-19,278.55,279.85,272.9,276.65,68450
2025-12-22,279.75,287,277.7,280,87492
2025-12-23,279.1,280.95,277.2,277.6,42033
2025-12-24,274.35,281.95,273.15,280,57038
2025-12-26,273.75,285.95,269,269,234504
2025-12-29,269.8,275.95,264.2,273.75,560911
2025-12-30,273.15,275.25,267.75,270.8,79229
2025-12-31,269.35,278.25,268,273.15,144459
2026-01-01,278.2,288.5,269.35,269.35,344759
2026-01-02,282.25,286.6,274.1,278.2,114626
2026-01-05,279.1,284,275.1,281.1,75449
2026-01-06,285.7,288.6,276.25,280,99239
2026-01-07,296.05,305,283.95,284,245588
2026-01-08,283.25,299.5,280.5,296.1,82156
2026-01-09,274.25,284.85,270.35,284.8,120261
2026-01-12,273.7,275,265,272.8,59123
2026-01-13,276.1,277.9,269.05,273.7,69208
2026-01-14,275.05,278.2,271.9,277.4,41737
2026-01-16,268.7,277.6,265.8,273,159916
2026-01-19,255.05,271.9,251,268.5,148928
2026-01-20,243,255,242,255,105322
2026-01-21,234.65,243.65,232,243.65,89044
2026-01-22,241.25,245.45,235,237.5,170646
2026-01-23,241.6,244.5,237.35,243,193085
2026-01-27,236,245,231.05,245,171782
2026-01-28,242.65,245,235.25,236,99589
2026-01-29,248.55,253.45,242.65,242.65,87385
2026-01-30,249.2,252,240,252,133866
2026-02-02,254.56,257.26,235,244.85,105612
2026-02-03,268.22,272.9,256,262.01,149510
2026-02-04,255.32,274,248.4,269.02,225325
2026-02-05,259.39,261.89,251.56,253.15,334541
2026-02-06,260.08,261.63,257.1,257.1,86748
2026-02-09,263.51,266,255.2,261.36,73994
2026-02-10,270.02,272,263.51,263.51,103907
2026-02-11,272.58,274.9,266.28,266.9,62676
2026-02-12,265.9,270.6,263.37,268.01,233093
2026-02-13,261.63,265.89,255.32,263.1,89016
2026-02-16,251.21,261,248.4,261,529740
2026-02-17,251.6,255.69,248.35,248.35,68928
2026-02-18,249.39,258.8,247.8,251.6,139591
2026-02-19,249.44,252.98,246.22,250,52861
2026-02-20,247.28,250,246.61,247.01,23745
2026-02-23,238.19,248.11,236.21,246,275921
2026-02-24,240.1,241,227.01,237,194829
2026-02-25,239.94,242.98,239,240.1,39869
2026-02-26,245.65,253.86,239.9,239.9,116249
2026-02-27,242.75,247.86,241.01,243.6,33446
2026-03-02,241.34,246.99,229.02,229.31,74508
2026-03-04,233.11,242.64,227.2,227.2,120523
2026-03-05,231.49,238,228,231.1,91085
2026-03-06,238.26,240.18,228.31,230.65,80217
2026-03-09,260.07,262.08,245,249.8,617349
2026-03-10,258.34,274.73,255.6,269.99,425835
2026-03-11,259.88,261.73,253.7,258.75,129025
2026-03-12,254.1,258.9,252.1,258,102881
2026-03-13,250.08,253.76,249.1,252.25,89608
2026-03-16,249.97,254.9,248.24,254.9,86470
2026-03-17,249.24,253.99,245.6,250,123901
2026-03-18,253.48,257.34,248.01,250.9,436838
2026-03-19,231.43,253.7,229,253,439868
2026-03-20,231.4,235.76,227.59,232.58,364871
2026-03-23,223.3,232.28,218,232.28,151096
2026-03-24,221.25,229.1,215.6,229.1,220617
2026-03-25,226.61,229,222.08,224.95,138355
2026-03-27,219.96,230.39,216,226,290413
2026-03-30,213.13,218.8,209.11,215,222337
2026-04-01,224.7,227.61,216.2,216.2,91165
2026-04-02,229.5,231.2,218,222.3,55971
2026-04-06,228.71,233.06,223.51,233.06,46965
2026-04-07,235.04,236.06,226.81,229,43041
2026-04-08,244.65,248.4,238.08,245,126240
2026-04-09,244.67,248,240.1,248,112489
2026-04-10,229.47,249.9,223.35,248.8,492375
2026-04-13,230.04,234.13,225.05,226.19,76767
2026-04-15,236.67,239.9,231.87,234.75,221352
2026-04-16,238.77,239.11,233.05,239,133636
2026-04-17,240.16,243.7,235.3,238.77,230745
2026-04-20,246.21,249.7,233.78,241.5,593268
2026-04-21,251.15,259.73,245,248.2,283449
2026-04-22,255.19,263.38,247.62,251.15,199346
2026-04-23,248.61,256.45,246.65,256.45,102732
2026-04-24,239.85,250,238.5,250,69412
2026-04-27,244.08,245.12,241.05,241.05,42320
2026-04-28,242.44,250.1,240.82,246.48,85071
2026-04-29,243.5,245.15,241.21,244.86,70385
2026-04-30,241.89,243.9,237.24,242,45915
2026-05-04,241.81,245,240.01,243.94,75468
2026-05-05,237.29,243.9,236.68,243.9,37120
2026-05-06,244.14,246,237.29,242.45,81409
2026-05-07,268.21,268.55,244.14,244.14,453653
2026-05-08,271.95,281.9,264,266,821815
2026-05-11,269.51,278.4,266.2,275.29,182856
2026-05-12,255.92,269.7,255,269.7,117830
2026-05-13,255.01,261.94,252.4,255.2,61657
2026-05-14,250.72,257.46,249.61,257.46,74161
2026-05-15,255.58,261.9,250,250.05,213366
2026-05-18,265.16,273.5,250.34,255.25,1041675
2026-05-19,270.11,277.04,256.91,275,683064
2026-05-20,254.92,279.9,250.5,271.79,1272483
2026-05-21,261.82,264.95,257,260.27,156062
2026-05-22,265.9,269.35,259,261.95,149874
2026-05-25,268.49,273,264.61,267.35,114831
2026-05-26,271.44,277,266,266.82,196331
2026-05-27,267.24,275.39,263.35,275.39,113740
2026-05-29,262.19,271.15,260.69,267.24,101297
2026-06-01,263.55,271.45,260.1,265,125343
2026-06-02,271.75,274.8,260.6,261,127970
2026-06-03,275.55,279.5,263.05,273.55,148287
2026-06-04,269.65,288,264.05,278.25,634704
2026-06-05,266.65,275.15,264.8,271,103456
2026-06-08,262.65,267.65,259.55,266,148520
2026-06-09,267.15,267.75,257.2,258,67826
2026-06-10,262.45,270.85,261.1,269,87590
2026-06-11,260.45,267.55,258.35,266.9,58285
2026-06-12,279.8,285.3,264.35,264.35,371759
2026-06-15,286.95,294,278.55,286,778132
2026-06-16,288.55,295.8,284.6,289.5,404562
2026-06-17,291.55,296,285,292.05,259798
2026-06-18,293.15,297.9,291.6,294,62893
2026-06-19,293.15,298.9,289.1,292,78292
2026-06-22,306.25,309.45,295.55,296,318521
2026-06-23,307.2,312,303.5,312,177587
2026-06-24,305.55,308.65,301.5,305,113424
2026-06-25,308.75,312,304.3,307,106657
2026-06-29,312.05,314.95,301.55,308.75,116220
2026-06-30,309.95,319,306.9,314.1,202181
2026-07-01,327.3,330.6,311.35,313.75,319898
2026-07-02,325.3,337.3,320,331.95,130197
2026-07-03,325.65,329.85,318.05,327,90626
2026-07-06,331.3,341.4,322.3,330,222400
2026-07-07,347.75,353.4,328.05,331.5,579885
2026-07-08,340.25,368.1,334.25,348,485273
2026-07-09,360.7,362.2,345.25,345.25,146748
2026-07-10,359.5,371.5,350.95,369.85,144753
2026-07-13,367.8,369,344,361,161929
2026-07-14,391.75,400,371.05,375.05,1006460
2026-07-15,400.4,407.15,389.55,397.25,371458
2026-07-16,400.1,407,390.6,404,186562
2026-07-17,399.95,400.5,390,398.5,263018
2026-07-20,373.95,399,372.2,399,280775
2026-07-21,371.7,395,370,375,305207
2026-07-22,389.25,397.95,368.2,377,481950
2026-07-23,400.15,403.9,389.6,390.9,453217
2026-07-24,384.45,389.9,363,375,518436
2026-07-27,359.4,388.9,356.8,384.45,226335
2026-07-28,343.35,362,342.05,359.4,118453
2026-07-29,350.85,358.95,343.2,343.2,104880
2026-07-30,345.3,362,343,345.05,187808
2026-07-31,346.15,354.4,343,343.8,65538
2026-08-03,368.05,369.8,350,350,110667
2026-08-04,361.7,372,360.5,370.65,59843
2026-08-05,363.8,368.95,358.8,360.55,70827
2026-08-06,388.35,390.65,360,360,246127
2026-08-07,407.75,410.85,382.25,388.35,518066
2026-08-10,413.2,424.75,410,411.85,333795
2026-08-11,412.45,418.9,410.8,413,98251
2026-08-12,410.85,417.9,402.35,412.45,133168
2026-08-13,417.25,433.85,407.4,412.3,436367
2026-08-14,408.3,421,405.1,418.85,132777
2026-08-17,398.3,415.15,397,405.4,87472
2026-08-18,393.95,401.55,388.15,399.7,83694
2026-08-19,379.5,405,374,390.25,218872
2026-08-20,401.35,408,380,384,302130
2026-08-21,392.55,404.85,386.7,403.95,97635
2026-08-24,387.45,402.4,386.05,395.5,62814
2026-08-25,393.7,401,382,393,89741
2026-08-26,396.85,403.5,385.35,390,128042
2026-08-27,399.95,410.95,396.7,396.7,103912
2026-08-28,402.1,414,398.75,399,130295
2026-08-31,385.8,406.75,370,400,166777
2026-09-01,386.8,391.45,381.1,387,59694
2026-09-02,386,392.2,378.05,388.6,80142
2026-09-03,387.05,394.45,384.65,386.1,37939
