Date,Close,High,Low,Open,Volume
1995-01-16,46,46,46,46,100
1995-03-10,36.5,36.5,36.5,36.5,50
1995-03-13,35.5,35.5,35.5,35.5,2800
1995-04-21,37,37,37,37,50
1995-05-26,39.25,39.25,39.25,39.25,50
1995-05-29,39.5,39.5,39.5,39.5,50
1995-06-07,40,40,40,40,50
1995-06-16,36,36,36,36,50
1995-08-16,40.5,40.5,40.5,40.5,200
1995-08-21,38,38,38,38,200
1995-08-31,33.5,33.5,33.5,33.5,50
1995-09-05,31,31,31,31,100
1995-09-11,32.5,32.5,32.495,32.495,200
1995-09-15,31,31,31,31,50
1995-09-22,30,30,30,30,50
1995-09-25,32,32,31.5,31.5,200
1995-09-26,31.5,31.5,31.5,31.5,150
1995-10-06,30.5,30.5,30.5,30.5,50
1995-10-30,31.94,32.49,30.9,30.9,700
1995-10-31,33.5,33.5,32.6,32.6,100
1995-11-01,35.005,35.005,35.005,35.005,50
1995-11-03,35,35,35,35,50
1995-11-06,34,34,34,34,100
1995-11-07,33.2,33.5,33.1,33.5,250
1995-11-08,33.5,33.5,33.5,33.5,150
1995-11-09,32,33,32,33,100
1995-11-14,28.85,28.85,28.85,28.85,50
1995-11-20,29,29,29,29,50
1995-11-23,26.5,26.5,26.5,26.5,50
1995-11-24,24,24,24,24,200
1995-11-27,25,25,21.6,21.6,300
1995-11-28,22.5,22.5,22.5,22.5,100
1995-11-30,20.5,20.5,20.5,22.5,100
1995-12-01,18.5,18.5,18.5,20.5,200
1995-12-05,19.2,19.2,19.2,18.5,100
1995-12-07,21.295,21.295,21.295,21.295,50
1995-12-08,23.5,23.5,23.425,23.425,150
1995-12-13,25.85,25.85,25.85,23.5,50
1995-12-14,26.4,26.4,26.4,25.85,50
1995-12-19,26.5,26.5,26.4,26.4,100
1995-12-21,27,27,26,26,100
1995-12-22,27,27,27,27,100
1995-12-28,27.61,28,27.6,28,200
1995-12-29,27.6,27.6,27.6,27.6,400
1996-01-01,27.6,27.6,27.6,27.6,100
1996-01-02,26.5,27.4,26.5,27.6,100
1996-01-05,26.5,26.5,26.5,26.5,50
1996-01-23,24,24,24,24,50
1996-01-24,23.5,23.5,23.5,23.5,100
1996-01-25,22.2,22.2,22.2,22.2,50
1996-01-29,20,20,20,22.2,50
1996-02-14,18,18,18,18,50
1996-02-15,19.8,19.8,19.8,19.8,100
1996-02-16,19.5,19.6,19.5,19.8,150
1996-02-19,20,20,20,20,50
1996-02-26,19.5,20,19.5,20,100
1996-02-27,21,21,20,19.5,100
1996-02-29,21.5,21.5,20,20,250
1996-03-01,21.1,21.2,21,21,200
1996-03-06,21,21,21,21,50
1996-03-07,20.95,21,20.9,20.9,200
1996-03-08,21.5,21.5,21.4,21.47,550
1996-03-11,22,22,22,22,50
1996-03-12,22.5,22.5,22.5,22,100
1996-03-13,24.75,24.75,24.75,22.5,100
1996-03-15,23.64,24.5,23.525,24.5,150
1996-03-19,24.5,24.5,24,24,300
1996-03-25,24,24,24,24,100
1996-03-26,26.2,26.45,25.225,26,2350
1996-03-27,28.7,28.7,26.9,26.9,200
1996-03-28,28.7,28.7,28.7,28.7,50
1996-03-29,31,31,29,28.7,500
1996-04-01,31.2,31.3,31,31.1,400
1996-04-02,28,29.5,27.95,29,650
1996-04-03,28.5,29,25.5,29,6550
1996-04-04,27,27.5,27,27.5,100
1996-04-08,27.5,29,27.5,27.5,200
