Date,Close,High,Low,Open,Volume
2025-11-28,774.15,795,725,730,39753452
2025-12-01,728.2,786.9,715.75,782,9937457
2025-12-02,723.3,744.2,708.05,725,4370587
2025-12-03,681.15,732,670.5,728,3412104
2025-12-04,669.2,714.7,658.2,679,5777481
2025-12-05,663.45,675.9,659.1,671,1060045
2025-12-08,651,667.7,641.15,664.95,1055866
2025-12-09,670.1,678.85,631.45,650.85,1341760
2025-12-10,676.5,688,665.75,670,626216
2025-12-11,679.1,684.75,662,677,367599
2025-12-12,698.75,705.5,675.1,680,398302
2025-12-15,669.65,701.25,665,695,250614
2025-12-16,664.65,672,655,669.1,210462
2025-12-17,658.9,668.7,655.55,667,247586
2025-12-18,674.15,685,645,658.95,288240
2025-12-19,687.2,695,665.5,680,417332
2025-12-22,664.4,673.7,645.35,662,459879
2025-12-23,648.3,667.8,643,660.6,217277
2025-12-24,628.75,649.9,620,649.9,183173
2025-12-26,622.5,654.45,620,632,271195
2025-12-29,621.4,636.1,615.05,634.95,375356
2025-12-30,606.65,626.1,601.1,621.4,149244
2025-12-31,602.75,611.8,601.05,611.5,141251
2026-01-01,598.55,611,596.65,602.75,75378
2026-01-02,596.8,608.4,587,598,227116
2026-01-05,597.5,600.1,585.75,596.9,307712
2026-01-06,590.4,597.5,586.1,597.5,176213
2026-01-07,588.35,593.45,585,585,131037
2026-01-08,568.6,590.1,562,590.1,95670
2026-01-09,546.75,570.9,543.9,565,217825
2026-01-12,601.4,601.4,547.05,547.6,736895
2026-01-13,621.4,645,593.15,623.95,1985288
2026-01-14,611.3,616,598.3,611,223460
2026-01-16,586.45,609.75,580,603,170996
2026-01-19,562.55,578.9,560,575.3,110077
2026-01-20,530,562.45,527.15,562.45,181517
2026-01-21,538.45,546.7,524.05,530,190051
2026-01-22,541.6,548,530,548,93545
2026-01-23,560.9,572.95,541.6,541.6,221224
2026-01-27,558.15,561.4,546.55,560.9,46486
2026-01-28,587.05,590,556.25,558.3,119860
2026-01-29,608.3,612,576.05,587.05,168197
2026-01-30,609.15,621.15,591.1,606,92325
2026-02-02,595.55,602,583,592.15,46571
2026-02-03,609.5,621,602.8,615,65710
2026-02-04,598.35,610,596,609,43625
2026-02-05,618.3,624.85,599.65,607.5,68738
2026-02-06,639.1,650,621.35,630.75,198705
2026-02-09,659.95,666.9,638,659,228607
2026-02-10,662.35,674,645,661.9,52939
2026-02-11,661.05,665.65,651,663.25,34677
2026-02-12,672.2,679,652.6,655,76059
2026-02-13,668.4,674.5,653.1,664.95,47925
2026-02-16,659.55,666.05,655.05,655.05,25512
2026-02-17,666.4,674,655.6,659,50659
2026-02-18,675.6,685,662.6,662.6,76964
2026-02-19,671,688,665.05,680,88984
2026-02-20,664.85,670.55,647.95,661,52458
2026-02-23,631.6,665.6,625,665,79985
2026-02-24,644.2,662.75,605.5,613.25,279133
2026-02-25,648.5,653.95,635.55,640.1,45577
2026-02-26,657.25,678,645,645,94153
2026-02-27,638.95,661.25,630,650,72759
2026-03-02,596.5,630,582.6,607.4,155407
2026-03-04,584,595.4,579.05,595.4,66216
2026-03-05,584.65,589.9,580.05,581,63283
2026-03-06,583.25,596.5,581,582.3,18364
2026-03-09,557.8,578.8,552.05,578.8,54264
2026-03-10,594.15,599.8,560.95,564.95,212680
2026-03-11,618.9,653.55,587.15,595,199118
2026-03-12,608.1,613.55,593.4,600.4,63821
2026-03-13,593.6,625,590,607.75,98253
2026-03-16,596.9,617.8,574.65,617.8,83451
2026-03-17,604.2,624,593.4,624,150578
2026-03-18,622,625,604.2,604.2,58476
2026-03-19,598.15,614,595.05,611.6,40872
2026-03-20,613.85,621,603.35,603.35,247121
2026-03-23,597.4,609.2,591,600,44313
2026-03-24,622.9,632.9,605,608.95,77413
2026-03-25,627.35,632,615,630,54235
2026-03-27,606.95,644.9,593.75,623.8,264173
2026-03-30,592.55,610,585.2,604,118669
2026-04-01,614,629.45,598.95,604,71025
2026-04-02,615.1,619,598.5,610,21964
2026-04-06,603.7,615,602,602,47147
2026-04-07,602.3,614.95,600,610,26558
2026-04-08,616.05,662.5,610,619.9,604877
2026-04-09,613.3,623.05,610.1,615,38527
2026-04-10,609.85,627.15,608.1,619,35316
2026-04-13,621.25,625,596,600,63132
2026-04-15,628.65,635,621,629.9,51175
2026-04-16,631.1,646,622.5,641.8,63398
2026-04-17,645.45,650,630.8,639,80085
2026-04-20,664.55,669.9,641.05,648.65,71310
2026-04-21,658.2,678,654.15,675,43991
2026-04-22,675,679.6,657,670,43958
2026-04-23,687.95,694.85,665.3,673.8,78892
2026-04-24,681.8,707,678,700,196766
2026-04-27,679.05,698.5,671.35,690,79840
2026-04-28,683.8,694.45,680,682.3,37425
2026-04-29,692.8,694.95,685.1,694,57241
2026-04-30,707.55,728,682.05,686.6,127770
2026-05-04,689.95,711.5,687.3,710,83306
2026-05-05,686.35,693.55,682.1,689.95,32956
2026-05-06,674.65,696.8,661.1,687.1,75285
2026-05-07,672.3,684.9,665.6,684.9,60831
2026-05-08,658,679.8,655.1,676.95,80018
2026-05-11,649.8,657.9,645,657.9,196583
2026-05-12,631,652.35,626,650,50628
2026-05-13,634.35,650.45,624.7,634,46817
2026-05-14,672.5,680,634.95,638.05,107145
2026-05-15,648.95,670.85,646.15,670,52188
2026-05-18,649.25,650,633,641.95,50807
2026-05-19,648.8,654.45,643.1,648,58247
2026-05-20,650.1,651,645.6,648.8,54310
2026-05-21,668.2,680,656,657.8,118876
2026-05-22,673.35,735,640,656,396644
2026-05-25,696.8,730,690,699,424660
2026-05-26,697.1,722.2,690.25,707.6,248034
2026-05-27,674.7,704.95,673,693.05,148075
2026-05-29,742.15,742.15,680.9,697,853050
2026-06-01,780.5,816.35,755.1,772.85,1795562
2026-06-02,776.9,810.45,764.75,781.95,556059
2026-06-03,764.6,790,760.7,777.6,237771
2026-06-04,758.6,776.9,754.2,761,175680
2026-06-05,754.5,785.75,742.5,756,194981
2026-06-08,729.9,759,721.1,752.95,227362
2026-06-09,741.6,751.1,727.3,735.05,198700
2026-06-10,731.4,774.85,725,745,289057
2026-06-11,729.8,739.5,722.5,731.4,191983
2026-06-12,749.5,764.45,737.35,746.6,294718
2026-06-15,822.6,824.45,754.5,765,1549848
2026-06-16,825.85,858,811.8,824,661303
2026-06-17,870.2,882.4,827.7,835,835824
2026-06-18,852.5,877.45,839.2,877.45,212260
2026-06-19,842.95,862.6,838,850,185673
2026-06-22,831.15,869,828.85,849.8,181583
2026-06-23,837.8,864.9,835,845,232904
2026-06-24,850.95,869.3,836,849,235960
2026-06-25,809.2,862,803.65,860,228620
2026-06-29,821.1,832,805.55,823.35,137416
2026-06-30,848.5,850,815.2,833.9,192273
2026-07-01,844.35,860,837.95,851.95,85933
2026-07-02,857.2,864.9,836.2,853.6,88921
2026-07-03,868.05,887,846,868,391301
2026-07-06,820.95,894.45,817.6,885,402152
2026-07-07,810.95,837.05,788.35,835,236129
2026-07-08,800.3,832.7,793,806,171598
2026-07-09,802.3,822.8,793.65,795.55,144006
2026-07-10,824.25,834.5,807.15,807.15,170046
2026-07-13,847.55,862.2,811,811,233753
2026-07-14,837.45,847.55,832.2,845,61269
2026-07-15,847.65,875,837.45,845,172199
2026-07-16,883.35,890,840,847.65,170677
2026-07-17,862.75,894.95,857.1,883,151567
2026-07-20,866.45,880,860.7,870,62548
2026-07-21,869.95,888.35,858.55,874,107979
2026-07-22,849.8,872.2,845,870,106797
2026-07-23,815.3,861.95,810.55,841,101353
2026-07-24,825.15,832,806,806,125532
2026-07-27,858.1,878.8,842,856.4,412880
2026-07-28,861.8,891.9,859,864,325976
2026-07-29,879.15,908,849,870,350184
2026-07-30,856.25,879,852.95,879,108069
2026-07-31,881.05,909,856.65,861.9,282842
2026-08-03,867.6,913.95,862.35,893.5,516361
2026-08-04,871.8,890,860.1,869,131410
2026-08-05,958.95,958.95,801.4,818.4,1667917
2026-08-06,974.15,990,952.5,973.75,622265
2026-08-07,957.55,999.95,946.35,970.05,265819
2026-08-10,1053.3,1053.3,978.45,999.95,875265
2026-08-11,1108.4,1158.6,1060,1066,1156050
2026-08-12,1103.75,1146.3,1078.1,1112,275504
2026-08-13,1100.8,1134.9,1086,1134,210809
2026-08-14,1105.55,1145.4,1080,1129,192481
2026-08-17,1101.55,1120,1080,1120,80061
2026-08-18,1104.1,1112.4,1085,1101.05,68381
2026-08-19,1156.4,1159.3,1098.55,1098.6,450862
2026-08-20,1107.8,1180,1098.6,1178,287643
2026-08-21,1111.8,1163.15,1102.5,1117.8,174522
2026-08-24,1131.15,1141,1106,1123.9,139908
2026-08-25,1127.2,1137.2,1103.6,1131.15,149508
2026-08-26,1129.1,1140,1106.2,1140,92746
2026-08-27,1134.1,1149.9,1122.1,1128.95,139528
2026-08-28,1152.1,1171.65,1106,1135,176989
2026-08-31,1209.7,1209.7,1143.65,1179,329218
2026-09-01,1230.9,1263,1196.9,1222.7,331374
2026-09-02,1234,1292.4,1221.2,1245,344574
2026-09-03,1292.8,1295.7,1238,1241,369818
2026-09-04,1329.3,1357.4,1300,1300.1,242835
