Date,Close,High,Low,Open,Volume
1995-03-02,24.25,24.25,24.25,24.25,1000
1995-04-07,22,22,22,22,50
1995-04-10,20,20,20,20,50
1995-04-12,22,22,22,22,200
1995-04-17,20.625,20.625,20.625,20.625,100
1995-04-18,20.625,20.625,20.625,20.625,50
1995-04-19,21.25,21.25,21.25,21.25,100
1995-04-20,21.25,21.25,21.25,21.25,600
1995-04-24,21.5,21.75,21.5,21.75,150
1995-04-25,21.75,21.75,21.75,21.75,200
1995-04-26,21.5,21.5,21.25,21.25,200
1995-04-27,20,21.5,20,21.5,800
1995-04-28,19.75,19.75,19.75,19.75,100
1995-05-02,18.75,18.75,18.75,18.75,150
1995-05-05,18.25,18.25,18.25,18.25,100
1995-05-08,17.5,17.75,17.5,17.75,200
1995-05-09,18.25,18.75,18.25,18.75,950
1995-05-10,18.25,18.25,18.25,18.25,600
1995-05-29,22.5,22.5,22.5,22.5,100
1995-05-30,21.25,21.25,21.25,21.25,100
1995-05-31,22.875,22.875,22.875,22.875,90000
1995-06-01,21.25,21.25,21.25,21.25,1000
1995-06-02,21.75,21.75,21.75,21.75,500
1995-06-07,20.0125,20.0125,20,20,200
1995-06-08,20,20,20,20,200
1995-06-09,20,20,20,20,900
1995-06-12,20,20,20,20,900
1995-06-14,18.75,19.0125,18.75,19.0125,4200
1995-06-19,18.5,18.5,18.5,18.5,100
1995-06-20,18.75,18.75,18.75,18.75,100
1995-06-21,18.25,19,18.25,19,200
1995-07-05,18,18,17.75,17.75,700
1995-07-06,16.25,16.25,16.25,16.25,200
1995-07-07,17.5,17.5,17.5,17.5,200
1995-07-10,18.0625,18.0625,17.525,17.525,10400
1995-07-11,18.1625,18.25,17.5,17.5,10200
1995-07-12,18,18.25,18,18,10800
1995-07-13,18,18.7375,18,18.25,10200
1995-07-17,17.75,17.75,17.75,17.75,100
1995-07-18,18,18.0125,17.75,18.0125,900
1995-07-19,18.1875,18.1875,18.1875,18.1875,6000
1995-07-20,18.25,18.625,18.25,18.5,26200
1995-07-21,18.625,18.625,18.625,18.625,6000
1995-07-24,18.625,18.625,17.75,17.75,6100
1995-07-25,18.625,18.625,18.625,18.625,500
1995-07-26,19.25,19.25,18.625,18.625,82100
1995-07-27,19.125,19.25,19,19.25,11200
1995-07-28,18.75,18.75,18.5,18.5,600
1995-07-31,18.6875,18.75,18.6875,18.75,6100
1995-08-01,18.5875,18.6875,18.5,18.6875,9100
1995-08-02,19.125,20,18.6875,20,7100
1995-08-03,18.6875,18.875,18.6875,18.875,6900
1995-08-04,18.5,18.5,18.5,18.5,6100
1995-08-07,18.6875,18.6875,18.375,18.375,15300
1995-08-08,18.6875,18.6875,18.5,18.5,10100
1995-08-09,18.5,18.6875,17.525,17.525,13500
1995-08-11,18.5,18.6875,18.125,18.125,12700
1995-08-14,18.25,18.6875,17.5,17.5,11800
1995-08-16,18.5625,18.6875,18.3125,18.5,15700
1995-08-17,18.425,18.625,18.25,18.375,13100
1995-08-18,18.25,18.25,18.25,18.25,300
1995-08-21,18.4375,18.4375,18.25,18.3125,11100
1995-08-22,18.0375,18.25,17.875,18.025,27300
1995-08-24,18,18,17.9375,18,15100
1995-08-25,16.75,17.5,16.75,17.5,300
1995-08-28,16.275,16.275,16.25,16.25,600
1995-08-30,17.4875,17.5,16.25,16.25,1600
1995-08-31,17.1125,17.225,16.75,16.75,1900
1995-09-01,16.5,17.2125,16.5,16.75,2800
1995-09-05,16.125,16.25,16,16,900
1995-09-07,16.9375,17,16.275,17,300
1995-09-08,17,17,17,17,100
1995-09-11,16.75,17,16,17,1100
1995-09-12,18.1,18.1,17.25,17.25,300
1995-09-13,17.5,17.5,17.5,17.5,100
1995-09-14,16.75,16.75,16.5,16.75,2800
1995-09-15,16.375,16.5,16.25,16.5,900
1995-09-18,16.625,16.625,16.5,16.5,500
1995-09-19,16.625,16.875,16.625,16.625,900
1995-09-20,16.5625,16.575,16.5625,16.575,200
1995-09-21,16.75,16.75,16,16.5,2600
1995-09-22,15.75,15.75,15.75,15.75,100
