Date,Close,High,Low,Open,Volume
2024-11-13,456,465.8,391,420,112960104
2024-11-14,430.7,489.4,418.6,473.15,56141396
2024-11-18,420.1,438.7,410.4,416.1,28579216
2024-11-19,412.45,430.9,408.85,424,12463968
2024-11-21,416.85,423.7,402,409,11443031
2024-11-22,416.6,419.75,410,414.2,3942312
2024-11-25,430.7,441.4,417.2,418.8,11690777
2024-11-26,461.9,471,438.9,443,15942914
2024-11-27,499.05,508,465.55,468,40301928
2024-11-28,491.5,517,481.05,507.4,14951742
2024-11-29,470.75,493.5,454.6,489.95,16060894
2024-12-02,493.7,503.65,464.35,472,10286055
2024-12-03,501.85,541.95,486.05,505,26879360
2024-12-04,517.8,534.8,509.85,510,19112636
2024-12-05,540,576.7,511,519.7,47711028
2024-12-06,544.7,552.8,530.05,540,13655139
2024-12-09,536.85,547.75,528.6,545.65,9929104
2024-12-10,543.75,567.9,540,560,11833298
2024-12-11,522.55,530.85,516.5,527,14344375
2024-12-12,504.3,524.85,501,522,8538402
2024-12-13,532.35,536.7,504.3,506.2,15929277
2024-12-16,596.35,612.4,533,538,48167928
2024-12-17,586.4,613.4,580.8,590,39259580
2024-12-18,577.35,605.25,572.1,589,20125576
2024-12-19,582.2,598,568.25,570,19658494
2024-12-20,597.45,608.8,586.4,588,20480868
2024-12-23,583.65,617.3,578.25,605.3,21999304
2024-12-24,568.1,594,561.1,589,11010976
2024-12-26,559.05,575.8,555.2,571.9,7705705
2024-12-27,545.95,564,541.25,563,5812587
2024-12-30,550.65,568,542,548,7669754
2024-12-31,540.9,561,535.2,552,5400223
2025-01-01,542.35,554.4,538.2,544.25,4500187
2025-01-02,556.45,558,539.35,545.1,6483910
2025-01-03,541.45,558.85,540,557,6023536
2025-01-06,532.1,546.55,520.2,544.4,7196227
2025-01-07,509.25,538,505.15,538,12034803
2025-01-08,490.6,515.2,486.2,514.9,9326257
2025-01-09,507.5,521.4,497.05,505.15,14972600
2025-01-10,492.3,505.9,488.55,504,5638811
2025-01-13,463.1,487.9,458.3,481.15,8311612
2025-01-14,464.55,481.45,460.1,465.2,8019502
2025-01-15,487.3,494.4,470.05,474,11912348
2025-01-16,483,514.8,479,505,10078943
2025-01-17,473.1,489.5,467.2,483.5,6245233
2025-01-20,479.2,483.75,464.45,475.7,6636117
2025-01-21,440.45,471.3,427.05,470,19799028
2025-01-22,433.7,445.45,413.6,441,17727616
2025-01-23,460.9,465,433.9,434.5,13375717
2025-01-24,449.05,463.9,441,463.2,12225785
2025-01-27,410.05,443.45,405.35,442,12806362
2025-01-28,410.95,418.55,389.05,414.25,17253888
2025-01-29,428.2,429.95,406.75,412,11860436
2025-01-30,404.75,428.5,402.5,428,10278807
2025-01-31,416.1,420.45,408.4,410.9,5141139
2025-02-03,458.4,463,421,431,17169684
2025-02-04,434.05,458,428.45,458,10441964
2025-02-05,418.05,430.5,414.3,426,15784590
2025-02-06,388.7,410.9,385.25,391,41230292
2025-02-07,380.65,397.25,375,395,23290096
2025-02-10,362.1,378.25,359,378,31887880
2025-02-11,333.35,370.2,330,370,28185478
2025-02-12,341.4,352.95,326.2,336.4,36471240
2025-02-13,365.5,369,343.05,348,22899284
2025-02-14,340.75,364,325.3,364,27954448
