Date,Close,High,Low,Open,Volume
1995-02-08,16.375,16.375,16.375,16.375,100
1995-02-09,16.75,16.75,16.5,16.55,1100
1995-02-10,17.25,17.5,16.5,16.5,2200
1995-02-13,17,17.25,16.5,16.5,800
1995-02-14,16.25,17.05,16.25,17.05,500
1995-02-15,17,17,16.25,16.25,2400
1995-02-16,16.25,16.5,16.25,16.25,800
1995-02-17,15.825,16,15,15,900
1995-02-20,15.75,15.75,15.7,15.75,400
1995-02-21,16.25,16.25,15.5,15.5,500
1995-02-22,15.75,16.25,15.5,16.125,900
1995-02-23,16,16,15.5,15.5,200
1995-02-24,17,17,16.5,17,1100
1995-02-28,17,17,16.25,16.25,1800
1995-03-01,16.825,17.25,16.25,17,2900
1995-03-02,16.25,17,16.25,16.75,1900
1995-03-03,16.775,16.875,16,16,2300
1995-03-06,15.7,15.7,15.5,15.525,6200
1995-03-07,15.75,17,15.5,16.25,6500
1995-03-08,16.3,16.475,16,16,7700
1995-03-09,15.05,16,15.05,16,1800
1995-03-10,15.875,16.5,15.5,16.5,3300
1995-03-13,15.75,16,15.5,16,1200
1995-03-14,15.75,16,15.5,16,2800
1995-03-15,16,16,13.625,16,1100
1995-03-16,15.5,15.75,15,15.75,4100
1995-03-20,15.35,15.5,15.25,15.5,1000
1995-03-21,14.225,15,13.5,15,2000
1995-03-22,15.35,15.475,15.25,15.25,5700
1995-03-23,15.425,16,15,15,11800
1995-03-24,14.95,15.5,14.55,15,3900
1995-03-27,15.225,15.5,15,15.475,4000
1995-03-28,14.9,15.475,14.875,15.475,4800
1995-03-29,15.5,15.5,15.05,15.25,2400
1995-03-30,15.425,15.475,15,15,3100
1995-03-31,15.4,15.5,15.25,15.25,1400
1995-04-03,15.5,15.5,15.4,15.4,900
1995-04-04,15.7,15.7,15.25,15.5,5700
1995-04-05,16,16.25,15.5,15.5,2200
1995-04-06,15.625,15.75,15.5,15.7,3100
1995-04-07,15.5,15.5,15,15,3000
1995-04-10,16,16,15.5,15.5,2200
1995-04-11,15.525,15.625,15.375,15.5,1400
1995-04-12,16,16,15.375,15.375,1700
1995-04-17,15.225,15.5,15,15.5,4800
1995-04-18,15.55,15.75,15,15,1300
1995-04-19,15.375,15.475,15.125,15.3,700
1995-04-20,15.25,15.5,15.125,15.5,900
1995-04-21,15.25,15.25,15.125,15.25,1300
1995-04-24,15,15.375,15,15.375,1300
1995-04-25,13.75,13.75,13.5,13.525,700
1995-04-26,13.625,14,13.625,14,600
1995-04-27,14.15,14.25,13.75,14,1000
1995-04-28,14.075,14.125,13.5,13.75,1100
1995-05-02,14.85,14.85,12.5,13.25,1000
1995-05-03,13.5,14,13.5,13.5,600
1995-05-04,14.5,14.5,14,14,300
1995-05-05,15.5,15.5,14.5,14.5,800
1995-05-08,15,15.5,14,14,2500
1995-05-09,14.5,14.5,14.5,14.5,1200
1995-05-10,14.875,15,14,14,500
1995-05-12,14.25,14.625,14.25,14.375,1500
1995-05-15,14.5,14.5,13.75,14,1000
1995-05-16,14,14.5,13.75,13.75,700
1995-05-17,13.75,14,13.75,14,500
1995-05-18,14.125,14.125,14,14,1200
1995-05-19,14.5,14.5,14.025,14.25,400
1995-05-22,14.25,14.55,14.25,14.5,1200
1995-05-23,14.75,14.975,14.275,14.5,2000
1995-05-24,14,14.275,14,14.275,1000
1995-05-25,14.375,14.475,14,14,900
1995-05-26,14.625,14.625,14,14.5,700
1995-05-29,14.25,14.5,14.025,14.5,1500
1995-05-30,14.125,14.25,14,14,1500
1995-05-31,14.25,14.375,14.25,14.25,1500
1995-06-01,14.125,14.25,13.75,14.25,2800
1995-06-02,13.875,14.125,13,14,2100
1995-06-05,13.25,14,13.25,14,3400
