Date,Close,High,Low,Open,Volume
1995-01-02,14.6395,14.6689,14.5327,14.5327,90
1995-01-03,14.4593,14.6374,14.4593,14.6374,90
1995-01-04,14.6532,14.6689,14.5641,14.5955,45
1995-01-05,14.5117,14.5641,14.3545,14.5641,45
1995-01-06,14.2477,14.2498,14.145,14.145,90
1995-01-09,13.8621,14.0402,13.7783,14.0402,150
1995-01-10,13.1742,13.6211,13.0972,13.6211,115
1995-01-11,13.3068,13.6211,13.0972,13.6211,105
1995-01-12,13.5687,13.6211,13.3597,13.3597,125
1995-01-13,13.7259,13.9354,13.3592,13.3592,40
1995-01-16,14.4069,14.4069,13.7783,13.7783,240
1995-01-17,14.6364,14.9308,14.4593,14.6689,155
1995-01-18,14.7213,14.7737,14.6689,14.6689,40
1995-01-19,14.5641,14.9937,14.5641,14.9203,295
1995-01-20,14.606,14.6689,14.5222,14.6689,65
1995-01-23,13.5897,14.2498,13.5268,14.2498,275
1995-01-24,13.5687,13.6211,13.3592,13.6211,160
1995-01-25,13.883,13.883,13.6211,13.6211,65
1995-01-27,14.0926,14.0926,13.9354,14.0926,20
1995-01-30,14.5468,14.5641,14.0402,14.2498,330
1995-01-31,14.6689,14.7737,14.5641,14.6165,740
1995-02-01,14.5002,14.7737,14.145,14.6689,575
1995-02-02,14.6369,14.9308,14.4069,14.9308,185
1995-02-03,14.5222,14.6584,14.4069,14.4069,155
1995-02-06,14.3718,14.6689,14.145,14.6689,295
1995-02-07,14.0507,14.4069,14.0507,14.4069,280
1995-02-08,14.7422,14.8784,14.1974,14.1974,935
1995-02-09,14.4488,14.5641,14.2498,14.5641,345
1995-02-10,14.212,14.4593,13.8307,13.8307,5290
1995-02-13,13.9616,14.2498,13.9354,14.2498,2160
1995-02-14,13.948,13.9878,13.8935,13.9354,465
1995-02-15,14.124,14.124,13.8862,13.8862,65
1995-02-16,13.7259,13.883,13.6211,13.883,285
1995-02-17,13.3592,13.7259,13.3592,13.7259,275
1995-02-20,13.1915,13.3172,13.181,13.3172,150
1995-02-21,12.9924,13.181,12.94,13.0972,155
1995-02-22,12.9919,13.0972,12.961,13.0972,70
1995-02-23,13.4666,13.8202,13.1077,13.1234,320
1995-02-24,13.8307,14.145,13.8202,13.883,170
1995-02-28,13.8568,13.9354,13.8307,13.883,240
1995-03-01,14.1319,14.145,13.8935,13.9354,140
1995-03-02,13.8757,14.145,13.6735,14.145,690
1995-03-03,13.8809,14.0402,13.8307,13.9878,205
1995-03-06,13.8804,14.0926,13.8307,14.0926,495
1995-03-07,13.7468,13.9354,13.6211,13.9349,420
1995-03-08,13.9354,14.0193,13.7259,13.7259,320
1995-03-09,13.8726,14.0926,13.6211,14.0612,285
1995-03-10,13.9459,14.0402,13.8097,13.883,855
1995-03-13,13.3592,13.7259,13.3068,13.6211,680
1995-03-14,13.2481,13.5058,13.202,13.4639,1080
1995-03-15,13.422,14.145,13.4115,13.7259,1890
1995-03-16,13.2994,13.4639,13.2701,13.3592,175
1995-03-20,13.0501,13.0972,12.7834,12.7834,165
1995-03-21,12.39,12.9924,12.1542,12.8353,205
1995-03-22,12.94,12.94,12.3742,12.5733,55
1995-03-23,12.94,13.0972,12.7305,12.7305,635
1995-03-24,12.8321,13.0448,12.5209,13.0448,1240
1995-03-27,12.895,13.1496,12.7829,13.0448,375
1995-03-28,13.202,13.202,12.8353,12.9924,270
1995-03-29,13.1496,13.1496,12.9924,12.9924,160
1995-03-30,13.0967,13.202,12.9924,13.202,265
1995-03-31,12.94,13.0972,12.9086,13.0972,565
1995-04-03,12.9788,13.0972,12.8353,13.0972,250
1995-04-04,12.9112,13.0956,12.8353,13.0956,485
1995-04-05,13.3424,13.6211,13.0972,13.6211,245
1995-04-06,13.5687,13.8778,13.3618,13.4639,110
1995-04-07,13.3,13.5682,13.202,13.3696,195
1995-04-10,13.126,13.3592,13.0658,13.3592,345
1995-04-11,13.0972,13.1182,12.9924,12.9924,135
1995-04-12,13.2418,13.2544,13.1077,13.202,75
1995-04-17,13.0322,13.0894,12.9924,13.0448,515
1995-04-18,12.9201,12.9924,12.7829,12.7829,645
1995-04-19,12.94,12.9924,12.8772,12.9086,180
1995-04-20,12.7305,12.8877,12.5733,12.5733,170
1995-04-21,12.6702,12.7305,12.6257,12.6781,220
1995-04-24,12.4162,12.6257,12.3638,12.3638,250
1995-04-25,12.2852,12.3638,11.7351,12.3638,275
1995-04-26,12.2716,12.3638,12.2276,12.3638,115
1995-04-27,12.0599,12.3114,12.0494,12.3114,180
1995-04-28,11.8137,12.0494,11.6722,12.0494,640
1995-05-02,11.3684,11.798,11.2217,11.7875,590
1995-05-03,11.3684,11.5255,11.0017,11.2636,195
1995-05-04,11.7351,11.7351,11.5779,11.6303,170
1995-05-05,11.9106,12.0494,11.6827,11.7351,445
1995-05-08,11.8367,12.259,11.7875,12.259,325
1995-05-09,11.776,11.9447,11.5779,11.8399,250
1995-05-10,11.8923,12.1647,11.8399,12.0494,130
1995-05-12,11.8394,11.9447,10.8969,11.9027,275
1995-05-15,11.6827,11.8923,11.1693,11.8923,100
1995-05-16,11.5706,11.7246,11.5365,11.6303,135
1995-05-17,11.7351,11.8399,11.5255,11.8399,165
1995-05-18,11.7351,11.8294,11.7351,11.7875,95
1995-05-19,12.2537,12.5733,11.8399,11.8399,185
1995-05-22,12.4162,12.5209,12.0494,12.4685,240
1995-05-23,11.7,12.2066,11.5255,12.0494,475
1995-05-24,11.7,12.2,11.65,12.2,1950
1995-05-25,11.9,12.05,11.6,11.6,1900
1995-05-26,11.7,11.8,11.7,11.8,1050
1995-05-29,11.7,11.8,11.65,11.8,3500
1995-05-30,11.7,11.9,11.7,11.9,4150
1995-05-31,12.3,12.495,12.025,12.1,1800
1995-06-01,13.325,13.75,12.85,13,2150
1995-06-02,13.3,13.5,13.1,13.25,5050
1995-06-05,13.15,13.245,13,13.2,2100
1995-06-06,13.205,13.4,13,13.3,7850
1995-06-07,13.065,13.6,13,13.4,2250
1995-06-08,13,13.15,12.7,12.7,1800
