Date,Close,High,Low,Open,Volume
2004-08-25,123.494,149.837,122.375,149.837,17116372
2004-08-26,122.375,124.625,121.912,124,5055400
2004-08-27,120.331,122.8,119.819,122.8,3830750
2004-08-30,123.344,123.75,120.625,121.238,3058151
2004-08-31,123.512,123.75,122,123.312,2649332
2004-09-01,123.488,124.375,122.95,123.75,2491943
2004-09-02,124.206,125.575,123.25,123.738,2669544
2004-09-03,124.731,137.5,123.794,125.75,1233732
2004-09-06,124.356,129.988,124.113,129.988,1129834
2004-09-07,124.45,129.375,124.375,129.375,721529
2004-09-08,124.213,125.1,123.887,124.5,824248
2004-09-09,122.494,124.738,122.306,124.625,993398
2004-09-10,123.6,123.75,122,123.75,801884
2004-09-13,125.438,126.938,123.875,123.875,2613114
2004-09-14,126.956,127.35,125.369,125.625,1916934
2004-09-15,125.762,127.5,125.15,127.25,1498536
2004-09-16,126.056,126.875,125.312,125.875,919778
2004-09-17,128.062,128.738,126.287,126.5,1828487
2004-09-20,127.863,129.613,127.519,129.05,1069028
2004-09-21,130.725,131.062,127.75,128.106,1737135
2004-09-22,131.506,132,129.637,131.05,1921448
2004-09-23,128.781,131.125,128.375,131,1977460
2004-09-24,128.6,130,128.25,128.637,1010401
2004-09-27,127.594,129.062,126.875,128.438,1028689
2004-09-28,126.944,128.425,126.562,127,792427
2004-09-29,128.875,129.125,127.019,127.406,1467147
2004-09-30,128.387,130.113,127.581,129.45,1565179
2004-10-01,130.962,132.056,128.294,128.625,1371111
2004-10-04,134.562,135.125,131.806,132.125,1891228
2004-10-05,135.087,136.125,134.438,135.038,1792661
2004-10-06,135.2,137.85,134.381,135.125,2208833
2004-10-07,137.137,137.5,135.375,135.375,1260016
2004-10-08,137.256,138.875,136.875,137.25,1069865
2004-10-11,136.163,138.938,135.625,137.5,1166507
2004-10-12,135.556,139.375,134.706,138.75,1950064
2004-10-14,139.525,140.5,136.006,137.875,2403248
2004-10-15,140.75,142.625,139.656,140.212,2224968
2004-10-18,142.156,142.75,140.656,141.75,1711668
2004-10-19,142.9,143.587,142.012,142.519,1470891
2004-10-20,141.656,143.738,141.125,143.1,900854
2004-10-21,140.694,142.375,140.25,142.156,801690
2004-10-25,139.669,140.875,138.844,140.625,1173784
2004-10-26,142.15,142.619,139.45,139.45,866595
2004-10-27,142.488,143.5,141.9,142.781,979707
2004-10-28,145.744,146.85,143.125,143.125,2323927
2004-10-29,144.531,145.994,143.144,145.994,1082722
2004-11-01,146.331,146.806,142.788,143.75,767196
2004-11-02,144.962,147.469,140.625,141.25,1108005
2004-11-03,146.9,148,145.125,145.125,1122267
2004-11-04,146.3,148.488,145.962,147.719,819476
2004-11-05,145.681,147.5,145,146.744,627981
2004-11-08,148.019,148.613,144.5,145.625,1286466
2004-11-09,148.55,149.738,147.125,148.375,917339
2004-11-10,149.294,149.875,148.762,148.875,716799
2004-11-11,149.531,150.425,148.887,149.875,654391
2004-11-12,149.594,151,148.775,150.5,226676
2004-11-16,148.863,149.75,148,149.75,500688
2004-11-17,150.675,151.238,148.938,148.938,683492
2004-11-18,153.875,154.319,150.812,151.181,934016
2004-11-19,152.137,154.625,151.387,154.125,851595
2004-11-22,152.806,153.25,149.375,150.975,592284
2004-11-23,154.444,155.25,153.019,153.825,539099
2004-11-24,154.238,155.625,153.769,154.875,402913
2004-11-25,152.106,155.5,151.081,154.25,788859
2004-11-29,155.488,155.962,150.694,152,660186
2004-11-30,159.331,160.75,155.625,156.019,1313518
2004-12-01,157.694,160.125,157.125,160.125,1060233
2004-12-02,155.325,159.625,154.887,158.125,1207213
2004-12-03,154.594,156.988,152.694,156.156,1222152
2004-12-06,151.819,156.25,151.062,155,1434234
2004-12-07,152.281,154.113,151.875,152,982903
2004-12-08,150.1,153.325,149.506,152.25,916176
2004-12-09,151.431,152.125,150.606,150.619,475153
2004-12-10,153.206,154.438,151.75,152.5,777101
2004-12-13,154.519,155.206,153.156,153.25,624529
2004-12-14,154.144,155.587,153.788,155.25,385438
2004-12-15,155.688,156.844,154.75,155.5,721584
2004-12-16,157.831,158.125,154.75,156.056,543808
2004-12-17,157.062,159.35,156.512,157.5,688719
2004-12-20,157.819,158.562,157.062,157.5,283553
2004-12-21,159.087,159.625,157.894,158.119,432314
2004-12-22,155.019,159.387,153.75,159.387,750214
2004-12-23,153.481,155.962,153.125,155.962,493614
2004-12-24,158.494,159,152.694,154.119,832732
2004-12-27,158.819,160.625,157.775,158.75,550063
2004-12-28,163.669,164.25,158.275,159,1201806
2004-12-29,165.031,167.113,164.144,164.619,829153
2004-12-30,162.081,166,161.481,164.75,703349
2004-12-31,166.931,167.35,162.081,162.5,612414
2005-01-03,169.156,169.587,166.931,166.931,591771
2005-01-04,167.656,169.25,166.644,168.75,622388
2005-01-05,165.625,167.525,160.038,167.525,1200540
2005-01-06,165.056,168.25,161.562,165,1000861
2005-01-07,167.494,168.125,164.081,166.25,952892
2005-01-10,165.931,169.925,165.25,168.581,940196
2005-01-11,164.219,166.913,162.625,166.25,998297
2005-01-12,162.256,170.994,160.837,165.744,2590004
2005-01-13,161.613,167.337,159.375,163.75,3469744
2005-01-14,162.05,164.738,159.625,163.087,1969722
2005-01-17,157.906,163.7,155.025,163.7,1706398
2005-01-18,157.981,160.5,157.188,159.337,772908
2005-01-19,156.925,159.212,156.387,158.25,442311
2005-01-20,155.462,156.875,153.75,156.875,567025
2005-01-24,152.581,155.919,151.919,155.462,453524
2005-01-25,154.431,154.988,150.887,151.85,558241
2005-01-27,155.069,156.725,154.413,155.406,681918
2005-01-28,161.15,161.85,155.312,155.356,1049227
2005-01-31,162.55,163.975,161.281,162.25,731673
2005-02-01,164.406,165,160.875,163.375,1002480
2005-02-02,163.619,165.431,162.875,164.875,608807
2005-02-03,163.887,164.344,162.75,164,415952
2005-02-04,163.306,165.25,162.569,163.75,335505
2005-02-07,164.219,166.337,162.625,164.075,743027
2005-02-08,164.5,165.375,163.5,164.219,410554
2005-02-09,166.6,167.95,165.094,165.125,692242
2005-02-10,166.581,167.938,165.375,166.25,547081
2005-02-11,172.719,173.375,167.25,167.25,1295887
2005-02-14,176.206,177.25,173.881,173.881,1109408
2005-02-15,172.669,176.875,171.75,176.25,497090
2005-02-16,171.019,174.875,170.125,174.875,390854
2005-02-17,172.731,173.25,168.825,171.019,515622
2005-02-18,171.875,174,169.375,172.5,318143
2005-02-21,170.694,171.975,168.137,171.375,222144
2005-02-22,170.431,171.244,168.875,170.587,267380
2005-02-23,171.869,172.762,169.394,170.431,645852
2005-02-24,170.994,174.488,170.15,171.869,1350805
2005-02-25,170.506,172.375,169.144,172.1,633862
2005-02-28,172.613,173.125,167.5,172.375,800301
2005-03-01,169.681,180,168.875,172.625,619769
2005-03-02,171,171.875,170.2,171.875,332264
2005-03-03,173.694,174.375,170.5,171.25,361395
2005-03-04,174.031,175.438,172.75,174.25,502234
2005-03-07,175.025,176,174.25,174.375,457254
2005-03-08,176.744,177.613,174.419,175.5,628460
2005-03-09,175.938,178.312,174.381,176.125,677761
2005-03-10,174.944,176.25,173.781,176.25,287785
2005-03-11,178.431,179.363,175.625,175.75,650718
2005-03-14,181.481,182.5,177.5,178.5,816754
2005-03-15,180.331,182.75,178.75,181.375,518310
2005-03-16,181.506,183.45,180,180,684177
2005-03-17,182.619,184.212,180,181,850666
2005-03-18,183.587,184.062,178.125,182.375,765433
2005-03-21,182.056,184.375,180.575,183.769,544265
2005-03-22,180.444,182.137,180.012,181.85,335554
2005-03-23,177.656,181,176.669,180,429927
2005-03-24,173.044,179.75,172.206,178.75,744322
2005-03-28,174.05,176.106,173,173.875,462466
2005-03-29,171.363,174.75,170.275,174.375,381675
2005-03-30,173.819,175,170,171.387,514407
2005-03-31,179.006,180.637,174.656,175.562,864330
2005-04-01,181.369,182.125,176.75,179.125,695334
2005-04-04,178.469,182.1,177.913,181.5,657170
2005-04-05,178.181,180.312,177.012,178.625,420979
2005-04-06,180.169,181,178.375,178.375,244176
2005-04-07,178.15,181.25,177.75,180.125,310402
2005-04-08,174.194,179.363,173.756,178.837,506535
2005-04-11,170.45,175,170.012,174.625,352874
2005-04-12,172.75,174.875,170.625,174.875,514087
2005-04-13,175.2,175.875,173.194,174.25,579825
2005-04-15,164.875,174.375,164.375,174.375,1232810
2005-04-18,164.831,168.587,161.375,162.5,753038
2005-04-19,151.087,168.613,147.262,166.25,3404394
2005-04-20,139.525,150,136.663,150,5937282
2005-04-21,142.8,143.5,138.75,140.625,1656542
2005-04-22,145.844,146.456,142.531,145,1619834
2005-04-25,144.619,145.988,143.5,145.6,860073
2005-04-26,142.087,145.475,141.762,144.625,692375
2005-04-27,139.456,142.637,138.875,142.637,817171
2005-04-28,139.35,141.25,137.144,139.387,1091109
2005-04-29,141.387,143.087,139.631,141.1,1383213
2005-05-02,141.113,147.25,139.762,143.75,641200
2005-05-03,138.575,141.875,138.169,141.25,687881
2005-05-04,140.106,140.562,138.312,138.312,599018
2005-05-05,142.106,143.75,140.694,143.744,811883
2005-05-06,145.938,146.462,141.519,142.5,1023583
2005-05-09,146.906,147.781,145.781,146.25,592380
