Date,Close,High,Low,Open,Volume
2017-06-27,263.5,271.4,257,257,13384596
2017-06-28,269.35,273.9,263.75,265,1421224
2017-06-29,275.45,279.5,267,269.95,817704
2017-06-30,302.5,312,276,279,2717341
2017-07-03,302.75,310.75,295.25,303.5,715808
2017-07-04,304.75,309.75,297.7,300.25,574673
2017-07-05,301.5,304.8,299,300.15,245988
2017-07-06,318.5,324.8,299.1,299.1,1424441
2017-07-07,346.85,365.75,312.1,317.9,3189181
2017-07-10,367.3,373.5,344.9,350,764396
2017-07-11,343.3,377,330.5,369.15,2079413
2017-07-12,339.7,346.05,319,345.05,1287537
2017-07-13,331.3,348.4,324.05,341.8,685743
2017-07-14,312.15,336,291.5,331.9,1166541
2017-07-17,326.85,338,299,311.9,1034632
2017-07-18,327.7,341.4,321.25,326.9,732388
2017-07-19,349.2,352.8,325.1,328.9,1057372
2017-07-20,350.75,366.9,338.15,350.5,1025376
2017-07-21,348.3,354.2,338.6,351.1,491580
2017-07-24,339.2,348.1,334.9,345,241909
2017-07-25,335.7,344.9,332,340.1,205099
2017-07-26,329.05,338.9,322,338,416023
2017-07-27,327.15,333,320,331.8,165253
2017-07-28,334.15,343,323,327,257005
2017-07-31,336.75,345.8,330,337,148384
2017-08-01,331.15,342.9,328.75,337.15,87577
2017-08-02,330.9,333.7,327.5,333.7,60574
2017-08-03,340.25,355,331,331,1037797
2017-08-04,349.65,359.5,341.45,341.45,636449
2017-08-07,337.55,351,332.65,348,162797
2017-08-08,332.45,344.7,324.2,337.85,150621
2017-08-09,325.05,331.05,319.4,330,111095
2017-08-10,318.15,329.9,299,329.9,172024
2017-08-11,330.8,338.8,305,312,219783
2017-08-14,325.6,334.4,322.25,332,113518
2017-08-16,326.8,332.7,323.05,326.15,106916
2017-08-17,342.85,354.8,327.2,328,513794
2017-08-18,334.15,340.45,332.1,340,73556
2017-08-21,327.05,344.5,325.25,335.2,92036
2017-08-22,327.4,335,325.1,332.65,60472
2017-08-23,325.9,332,324.1,329.95,61931
2017-08-24,329.75,335.45,328.3,330.7,96728
2017-08-28,330.6,336.3,329.05,335,59175
2017-08-29,331.1,336.4,323.6,328,102147
2017-08-30,340.3,343,332.45,336.7,171176
2017-08-31,348.4,359,336,340,249643
2017-09-01,341.7,351.55,341,343,74775
2017-09-04,337.75,348.5,333.7,342.8,86429
2017-09-05,339.35,347.4,336.2,340.95,103520
2017-09-06,334.7,340.7,333,336,66883
2017-09-07,331.45,339,330,338,68414
2017-09-08,337.5,339.8,333.15,333.95,140726
2017-09-11,347.15,352.25,339.2,339.8,466158
2017-09-12,348.4,359.7,345,348.95,493143
2017-09-13,340.35,350.2,339.95,349.85,68174
2017-09-14,339,344.7,334.35,342.9,94592
2017-09-15,341.9,354.4,335.1,340.8,365840
