Date,Close,High,Low,Open,Volume
2025-06-02,435.55,438.9,405,406,13347851
2025-06-03,435.2,436.85,415.3,431.2,2669763
2025-06-04,435.15,439.9,428.8,435.9,1352157
2025-06-05,431.65,436.5,430.1,433.1,618715
2025-06-06,432.45,434.45,425.65,431.6,653521
2025-06-09,434.75,435.5,427.25,430,885336
2025-06-10,424.3,435.4,422.1,435,521610
2025-06-11,417.05,428.9,413.1,428.9,638756
2025-06-12,412.55,418.35,410,417.75,246864
2025-06-13,402.35,408.4,393.45,400,450851
2025-06-16,400.05,403,388.8,402,351660
2025-06-17,409.75,411.3,398.1,399.9,446213
2025-06-18,397.65,409.75,392.3,409.75,267496
2025-06-19,390.2,398,382.5,397.65,568653
2025-06-20,393.5,395,388.5,390.1,387484
2025-06-23,389.35,390.4,384,387,244936
2025-06-24,400.95,403,389.35,389.35,264767
2025-06-25,405.05,406,397.95,400.95,284019
2025-06-26,402.6,406.05,399.55,405.95,159147
2025-06-27,410.15,411.65,398.5,404.7,234441
2025-06-30,405.15,408.9,396.55,406,928189
2025-07-01,405.15,408.2,401,405.45,345252
2025-07-02,408.75,410,401.6,404.95,272324
2025-07-03,408.7,412.5,404,405,493471
2025-07-04,401.6,409.5,400,409.1,77098
2025-07-07,406.55,409,398,398,224799
2025-07-08,427.8,430,406.55,412.5,1715672
2025-07-09,432.05,434,421,432.05,640994
2025-07-10,438.8,443,429.15,434,1558879
2025-07-11,434.85,443.3,431.95,439.15,537148
2025-07-14,436.15,439.4,430,436.95,394487
2025-07-15,435.3,441.9,431.8,432,520869
2025-07-16,452,454,433.95,434.85,1620138
2025-07-17,451.6,458.9,446.65,452.05,1334429
2025-07-18,461,463,444.55,450,1105101
2025-07-21,458.95,460.5,452.05,460,697027
2025-07-22,449.6,463.95,434.45,456.2,2430147
2025-07-23,465.4,474.4,453.05,454.5,2574898
2025-07-24,447.3,474,446,470,572167
2025-07-25,445.05,454,438.8,448,519556
2025-07-28,427.25,448.6,425,445,323017
2025-07-29,418.4,430.85,413.05,422,283827
2025-07-30,422.7,426.75,417.65,419.95,106559
2025-07-31,413.8,423.95,410.4,418,154822
2025-08-01,413.45,421.55,410.1,413.1,135456
2025-08-04,425.35,428.5,413.1,417.9,155337
2025-08-05,426.25,428.65,420.75,424,241718
2025-08-06,420.55,427.5,415,426,513593
2025-08-07,429.2,429.95,416,416,136289
2025-08-08,434.65,442.3,424,428.9,327627
2025-08-11,427.6,432.8,425.7,430.65,144988
2025-08-12,432.25,441,427.9,427.9,276326
2025-08-13,437.4,439.8,430.3,430.3,158442
2025-08-14,439.2,441,434.8,436.95,144649
2025-08-18,442.5,446,438.05,438.05,246506
2025-08-19,441.9,448.75,440.1,442,253021
2025-08-20,434.25,449.5,432,440.05,216018
2025-08-21,426,436.4,425.15,434.25,236847
2025-08-22,420.65,425,418,424.9,252774
2025-08-25,417.5,423.6,413.3,421,178667
2025-08-26,409.55,418,405.65,417.5,128707
2025-08-28,396.65,406,395.15,405.5,460425
2025-08-29,399.45,407.25,392.6,400,431294
2025-09-01,405.3,410.15,392,399,542011
2025-09-02,419.2,421.3,405.3,411,348490
2025-09-03,412.6,420,411.45,419.2,87302
2025-09-04,411.15,422.35,410,412,109551
2025-09-05,410.8,417.95,404.05,410,84959
2025-09-08,404.2,414,403.15,411.95,84973
2025-09-09,400.5,408.05,399,405.95,73253
2025-09-10,416.55,419,400,404.95,330700
2025-09-11,410.95,424.7,409.1,416.8,145773
2025-09-12,419.6,432.5,410.5,411.95,390762
2025-09-15,419.65,424.65,409,418.95,1931404
2025-09-16,413,421.9,409.55,421.9,887586
2025-09-17,428,428.9,411.4,413,1648107
2025-09-18,423.25,434.75,420.05,428,394188
2025-09-19,419.75,431,418.35,428.7,185567
2025-09-22,432,434.8,412.45,421.45,1208690
2025-09-23,437.45,445.85,425.05,431.05,783363
2025-09-24,430.4,439.55,428.25,439,250572
2025-09-25,431.05,439.1,430,430,226868
2025-09-26,419.45,431.8,417.5,428.25,149704
2025-09-29,414.9,424.8,403.65,424.8,1143573
2025-09-30,413,419.4,404,414.9,357523
2025-10-01,431.8,434.6,413.7,417.95,404508
2025-10-03,431.55,434,423,431.95,666275
2025-10-06,425.65,439,424.35,435,292304
2025-10-07,419.9,430,417.15,430,212543
2025-10-08,430.1,432,418.95,419.9,168958
2025-10-09,446.05,449,426.5,433,738679
