Date,Close,High,Low,Open,Volume
2010-07-16,56.0667,56.3333,52.75,53.3667,577023
2010-07-19,62.5833,66,54.6667,55.0167,1109041
2010-07-20,60.6,63.3333,59.8,63.3333,254173
2010-07-21,60.1833,62.7,58.9,60.75,76997
2010-07-22,64.4,65.75,60.3333,60.9167,346429
2010-07-23,65.2667,68.0667,64.4,65.7167,434488
2010-07-26,61.85,65.8,61.5333,65.8,59089
2010-07-27,63.7833,65.7667,61.5,61.5,116622
2010-07-28,63.0167,65,62.6667,63.7833,64857
2010-07-29,63.1,65.3167,62.7,63.5667,31017
2010-07-30,64.2333,68.6667,63,63.1667,176673
2010-08-02,64.5,65.4,53.3333,64.2667,78903
2010-08-03,63.6,65.2667,63.2667,64.3667,50760
2010-08-04,64.35,65.1,63.5167,64.3833,26334
2010-08-05,63.3667,65.5667,63.0167,64.9667,44151
2010-08-06,66.5,68,63.2,63.2,146199
2010-08-09,71.2,74.8,65.0167,67.6,801402
2010-08-10,73.2667,74.1,70.7667,72,352182
2010-08-11,78.1,82.6,72.75,73.5667,755332
2010-08-12,77.75,82,75.3333,77.65,391129
2010-08-13,75.45,78.9167,75,78.1667,150192
2010-08-16,72.55,76.7667,71.8333,75.6667,97518
2010-08-17,69.55,73.6833,69.0667,73.4,263356
2010-08-18,69.2,71.6667,68.8,70.2833,100834
2010-08-19,70.1,71,68.4,69.8,70431
2010-08-20,72.8833,74.5667,69.3333,70.3167,209048
2010-08-23,72.6,75,72.2,73.3333,60146
2010-08-24,70.3,73.1167,69.85,72.2,52920
2010-08-25,69.5333,71.6667,69,70.3667,44512
2010-08-26,72.8333,73.2667,69.7333,70.2667,102749
2010-08-27,72.1667,75.6167,71.65,73.05,155527
2010-08-30,70.7667,73.9167,70.3333,73.6,49265
2010-08-31,71.4333,72.25,69.6667,70.3333,39767
2010-09-01,72.6833,73.9,71.6333,72.15,75242
2010-09-02,76.6,77.6667,72.3833,72.8667,271750
2010-09-03,76.2833,78.4667,61.6667,77.6667,134895
2010-09-06,77.0333,79.25,76.3333,76.6667,105354
2010-09-07,73.6,77.5,73.1167,77.3667,53124
2010-09-08,74.3667,75.5833,72.95,73.8333,34624
2010-09-09,77.4,78.6667,74.4167,74.4167,124850
2010-09-13,77.1167,78.6667,76.8333,78.2167,127812
2010-09-14,76.6167,77.9667,75.5,77.8333,56238
2010-09-15,75.8333,77.95,75.45,77.4667,30573
2010-09-16,75.15,77.1667,75,75,22481
2010-09-17,75.0833,76.6667,74.6667,75.9,123253
2010-09-20,81.8833,85.5667,75.2667,75.9667,434837
2010-09-21,81.7,84.7333,77.6667,82.3333,385617
2010-09-22,85,86.6333,81.7333,82,283629
2010-09-23,87.0833,88.8,83.6667,85.85,476205
2010-09-24,88.7667,90.3333,87.3333,87.6667,173489
2010-09-27,83.6667,91,82.7833,89.75,312835
2010-09-28,85.75,91,85.1,85.15,305323
2010-09-29,84.5,87.15,84,86.85,55340
2010-09-30,84.6,85.5,83,85.4,31576
2010-10-01,84.15,86.2,83,84,105251
2010-10-04,78.85,87,78.5,84.3,226345
2010-10-05,81.3,84.25,77.6,78.85,167692
2010-10-06,81.25,85.35,80.75,85.35,91482
2010-10-07,79.15,81.9,78.55,81.9,138634
2010-10-08,77.85,80.4,77.4,80,72454
2010-10-11,76.9,79,75.1,79,121399
2010-10-12,76.8,79.4,75.55,76.9,105926
2010-10-13,78.35,79,76.2,77.85,51089
2010-10-14,77.7,78.8,77,78.8,45069
2010-10-15,78.45,81.45,77,77.7,201711
2010-10-18,78.05,79.8,77.25,78.75,65777
2010-10-19,87.85,90.95,77,77,756495
2010-10-20,88.7,90,84,84,580760
2010-10-21,99.75,102,89.15,89.5,1506160
2010-10-22,100.75,107,98,103,1119320
2010-10-25,98.6,103.9,96,101.7,582386
2010-10-26,99.8,101.9,98.05,101.9,289900
2010-10-27,105.1,107,99,100.75,565313
2010-10-28,104.5,109.8,102.5,109.8,390105
2010-10-29,99.45,105,96.55,105,234392
2010-11-01,98.55,103.4,94.3,103,255086
2010-11-02,100.15,102.1,95.4,95.4,131148
2010-11-03,101.9,104.8,98.5,100,610684
2010-11-04,104.1,105,100.2,102.1,188103
2010-11-05,104.05,106.9,103.1,105,34220
2010-11-08,118.35,121,104,105,1200787
2010-11-09,123.85,124.9,118,119,689055
2010-11-10,127.8,148.6,117.4,124,2072032
2010-11-11,121.5,129.8,119.1,129,495853
2010-11-12,113.45,122.9,111.05,122.5,342298
2010-11-15,116.2,119.8,113.5,114.9,201022
2010-11-16,110.6,118.5,107.5,118.5,264600
2010-11-18,109.55,114.85,107.7,112.2,163164
2010-11-19,103.55,113.5,98.1,110.35,249343
2010-11-22,114.95,117.45,104,106.2,518810
2010-11-23,112.2,120.85,108.5,113.1,562034
2010-11-24,107.95,116.3,104.5,113.8,462056
2010-11-25,106.25,112,104.5,110,219989
2010-11-26,99.75,108.1,96.2,107.5,732618
2010-11-29,106.6,114,99.9,99.9,1147752
2010-11-30,108.55,111.9,105.15,107.25,488164
2010-12-01,109.05,112.3,108.1,108.9,215675
2010-12-02,108.8,113.95,107.1,110.85,371582
2010-12-03,101.85,109.7,101.1,109.7,1236435
2010-12-06,97.55,104.5,96.95,102.9,575724
2010-12-07,93.85,98.5,92.1,98.5,268354
2010-12-08,87.35,94.8,86,94.5,334719
