Date,Close,High,Low,Open,Volume
2000-11-20,1.5,1.5,1.5,1.5,1
2000-11-21,32.535,33.27,31.8,32.8,43683
2000-11-22,31.12,33.9,31,32.99,39473
2000-11-23,30.1,30.8,28.63,30.8,66766
2000-11-24,30.345,31.78,29.75,30.295,94692
2000-11-27,30.995,31.2,29.555,30.5,59861
2000-11-28,30.2,30.2,30.2,30.2,135000
2000-11-29,30.65,30.65,30.65,30.65,165000
2000-11-30,35.75,35.75,34.1,34.1,70298
2000-12-01,36.38,37.9,34.225,36.485,865533
2000-12-04,35.325,37.385,34.715,37.385,245696
2000-12-05,35.97,37.1,35.635,35.68,252086
2000-12-06,35.795,38.5,35.56,37.82,205859
2000-12-07,38.66,38.66,35.01,35.895,479235
2000-12-08,40.06,41.6,39.2,39.9,607926
2000-12-11,41.235,41.7,39.715,40.97,464420
2000-12-12,39.745,41.8,39,41.3,346043
2000-12-13,42.385,42.84,40.06,40.2,582369
2000-12-14,40.44,42.5,40.105,42,622574
2000-12-15,37.205,39.9,37.205,39.425,403485
2000-12-18,34.715,35.435,34.23,35.13,418484
2000-12-19,32.055,36.28,31.94,33.7,562345
2000-12-20,32.065,33,30.81,31,629105
2000-12-21,30.155,31.5,29.6,30.5,202585
2000-12-22,27.75,30.8,27.745,30.2,302055
2000-12-26,25.53,26.6,25.53,26.49,394577
2000-12-27,24.77,26.59,24.11,25.2,103678
2000-12-28,26.1,26.7,24.625,24.995,138771
2000-12-29,25.77,26.59,24.805,26.195,308755
2001-01-01,27.775,27.835,25.705,25.8,343538
2001-01-02,26.94,28.5,26.255,27.9,324002
2001-01-03,26.43,27.39,26.11,26.49,538520
2001-01-04,26.025,27.99,25.025,27.27,653954
2001-01-05,25.74,26.2,25.2,25.2,219920
2001-01-08,23.685,25.97,23.685,25.97,99744
2001-01-09,21.79,21.79,21.79,21.79,15892
2001-01-10,20.24,22.22,20.1,20.115,318808
2001-01-11,18.955,20.85,18.7,20.6,150985
2001-01-12,18.265,19.68,17.615,19.4,237141
2001-01-15,17.31,18.375,17.025,18.125,143247
2001-01-16,16.775,17.885,16.3,17,249563
2001-01-17,18.12,18.12,17.29,17.295,50220
2001-01-18,18.575,19.3,18.12,18.7,516655
2001-01-19,18.725,19.3,18.11,18.525,227824
2001-01-22,18.7,19.81,18.25,18.49,435754
2001-01-23,17.45,18.65,17.31,18.5,210536
2001-01-24,17.565,18.3,17.415,18,119186
2001-01-25,16.79,17.725,16.51,17.725,155257
2001-01-29,15.945,16.395,15.6,16.25,85302
2001-01-30,16.84,17.05,15.825,16.37,166207
2001-01-31,17.535,18.1,16.625,16.65,370029
2001-02-01,17.155,17.745,16.6,17.3,103966
2001-02-02,16.965,17.395,16.75,16.905,79097
2001-02-05,16.575,17.1,16.435,16.8,77410
2001-02-06,15.935,16.66,15.76,16.605,129751
2001-02-07,16.055,16.3,15.805,16.3,81374
2001-02-08,16.445,16.65,16.05,16.11,66103
2001-02-09,17.765,17.765,16.335,16.335,94969
2001-02-12,19.19,19.19,18.45,18.5,176262
2001-02-13,19.715,20.725,19.415,20,262506
2001-02-14,18.945,19.55,18.14,19.4,441388
2001-02-15,19.25,19.6,18.815,19.05,374095
2001-02-16,17.92,20,17.71,19.55,235788
2001-02-19,18.21,18.65,17.4,18,118559
2001-02-20,18.31,18.795,18.055,18.29,548204
2001-02-21,18.27,18.6,18.005,18.42,74130
2001-02-22,18.03,18.29,17.5,18.01,54384
2001-02-23,17.005,18.34,16.8,18.095,516916
2001-02-26,16.325,17.01,16.225,17.01,260891
2001-02-27,15.02,16.5,15.02,16.5,82898
2001-02-28,16.175,16.225,14.325,14.5,77464
2001-03-01,15.055,16.925,14.89,16.49,375757
2001-03-02,13.855,15.6,13.855,15.6,55861
2001-03-05,12.75,13.58,12.75,13,75932
2001-03-07,11.995,13.57,11.73,13.3,87458
2001-03-08,11.085,11.81,11.035,11.81,34185
2001-03-09,10.67,10.88,10.2,10.88,45889
2001-03-12,10.265,10.89,9.95,10.15,49035
2001-03-13,9.445,10.255,9.445,10.255,21523
2001-03-14,10.205,10.205,8.695,8.695,17518
2001-03-15,10.465,10.9,9.4,10.2,8228
2001-03-16,9.735,10.8,9.65,10,116817
2001-03-19,9.055,9.99,8.96,9.51,41110
2001-03-20,8.35,8.9,8.335,8.51,71603
2001-03-21,7.73,8.25,7.685,7.835,97831
2001-03-22,7.285,7.945,7.2,7.5,15580
2001-03-23,6.745,7.34,6.705,7.34,8996
2001-03-26,7.25,7.25,6.525,6.525,1000
2001-03-27,6.575,6.95,6.495,6.95,36742
2001-03-28,7.105,7.105,6.91,6.91,3706
2001-03-29,6.765,7.48,6.7,7.2,18042
2001-03-30,6.23,6.75,6.225,6.75,18855
2001-04-02,5.8,5.875,5.735,5.85,8559
2001-04-03,5.95,6.145,5.61,5.61,13931
2001-04-04,5.535,6.24,5.48,6.24,15368
2001-04-06,5.095,5.9,5.095,5.845,29734
2001-04-09,5.225,5.38,4.905,5,11192
2001-04-10,4.81,5.145,4.81,5.015,15730
2001-04-11,4.46,4.81,4.425,4.81,101372
2001-04-12,4.11,4.39,4.105,4.39,15783
2001-04-16,4.03,4.44,3.91,4.15,97348
2001-04-17,4.355,4.355,4,4.19,58851
2001-04-18,4.705,4.705,4.45,4.45,15932
2001-04-19,5.085,5.085,5.085,5.085,3045
2001-04-20,5.495,5.495,5.495,5.495,20287
2001-04-23,5.935,5.935,5.75,5.87,38982
2001-04-24,6.41,6.41,6.01,6.395,31984
2001-04-25,6.925,6.925,6.925,6.925,6270
2001-04-26,7.48,7.48,7.48,7.48,16704
2001-04-27,6.885,7.85,6.885,7.8,139584
2001-04-30,6.36,7.44,6.335,6.805,79763
2001-05-02,6.82,6.87,6.05,6.5,117807
2001-05-03,6.275,6.835,6.275,6.6,27740
2001-05-04,5.775,6.16,5.775,6,58438
2001-05-07,5.89,6.175,5.775,5.9,40473
2001-05-08,6.06,6.2,5.75,6,54557
2001-05-09,6.11,6.5,6.025,6.465,50324
2001-05-10,6.03,6.15,5.905,6.075,10855
2001-05-11,5.815,6,5.71,5.98,20362
2001-05-14,5.785,5.85,5.645,5.65,8341
2001-05-15,6.25,6.25,5.33,5.41,85022
2001-05-16,6.265,6.75,6.15,6.75,71588
2001-05-17,6.255,6.48,6.185,6.48,29282
2001-05-18,6.485,6.685,6.25,6.385,78972
2001-05-21,7.005,7.005,6.455,6.5,85901
2001-05-22,7.565,7.565,7.215,7.34,83523
2001-05-23,8.17,8.17,7.79,7.79,61823
