Date,Close,High,Low,Open,Volume
1995-01-02,41.936,41.976,41.4,41.4,1100
1995-01-03,41.2,41.6,41.2,41.44,1500
1995-01-04,41.2,41.2,41.2,41.2,300
1995-01-05,38.4,38.4,38.4,38.4,50
1995-01-06,39.896,40.08,39.6,39.6,200
1995-01-09,39.6,39.6,39.6,39.6,100
1995-01-10,39.2,39.2,39.2,39.2,450
1995-01-11,38.4,38.4,37.6,37.6,300
1995-01-12,38.4,38.8,38.4,38.8,250
1995-01-13,37.6,38.56,37.6,38.56,100
1995-01-16,38.636,38.72,38.4,38.4,200
1995-01-17,38.16,38.64,38.16,38.64,250
1995-01-18,38.08,38.56,38,38.56,200
1995-01-19,38.4,38.4,38.4,38.4,150
1995-01-20,38.56,38.8,38.48,38.48,300
1995-01-23,36.2,37.6,36,37.6,350
1995-01-24,37.4,37.4,36.54,36.8,700
1995-01-25,38.4,38.4,36.8,36.8,400
1995-01-27,38.8,38.8,37.2,37.2,2450
1995-01-30,39.76,39.76,38.32,38.32,1150
1995-01-31,40.6,40.6,39.88,40,5850
1995-02-01,40.4,40.8,40.4,40.8,450
1995-02-02,40.76,40.8,40,40,1650
1995-02-03,40.8,41.2,40.4,40.4,1700
1995-02-06,40,40.4,40,40,2900
1995-02-07,40.16,40.4,39.2,40.4,1550
1995-02-08,39.8,41.2,39.8,41.2,5850
1995-02-09,40.32,40.4,39.98,39.98,16100
1995-02-10,39.36,40.4,39.2,39.2,11100
1995-02-13,39.576,40,39.2,40,25850
1995-02-14,38.64,39.2,38.64,38.88,1850
1995-02-15,38.888,39.2,38.888,39.2,300
1995-02-16,38.56,38.6,38.4,38.4,1050
1995-02-17,38.52,38.8,38,38.4,50650
1995-02-20,38,38.48,37.92,38.48,1700
1995-02-21,37.128,37.44,36.484,37.44,850
1995-02-22,35.608,36.48,35.6,36.4,350
1995-02-23,37.92,38.8,37.36,38.32,2350
1995-02-24,37.6,38.8,37.6,38.796,6400
1995-02-28,37.068,37.6,36.8,37.44,20100
1995-03-01,38.4,39.2,37.6,37.6,17550
1995-03-02,38.52,39.196,38.44,38.8,27550
1995-03-03,38.8,38.8,38.4,38.56,900
1995-03-06,38.32,39.2,38.32,39.2,5800
1995-03-07,38.2,38.408,38,38.408,1500
1995-03-08,37.6,38.4,37.6,38.4,1200
1995-03-09,37.2,38.8,37.2,38.4,1800
1995-03-10,37.2,38,37.2,37.6,3850
1995-03-13,36.08,36.8,36,36,1850
1995-03-14,36.8,37.2,36.4,36.8,4800
1995-03-15,36.4,39.52,36.4,38.8,5800
1995-03-16,36.4,37.12,36.16,37.12,500
1995-03-20,36.08,36.6,36.08,36.4,800
1995-03-21,36.36,36.8,35.32,35.52,7500
1995-03-22,36,36.72,36,36.4,250
1995-03-23,35.768,36.4,35.6,36.4,950
1995-03-24,35.596,35.6,35.36,35.6,950
1995-03-27,34.52,36,34.48,36,450
1995-03-28,34.432,37.92,34.4,37.92,5300
1995-03-29,34.04,35.6,34,35.6,3800
1995-03-30,34.4,34.88,34.2,34.4,2000
1995-03-31,34.24,34.4,34,34.18,7150
1995-04-03,34.8,34.8,34,34.72,800
1995-04-04,36.204,36.8,34.8,34.8,2450
1995-04-05,37.76,38,37.2,37.2,2800
1995-04-06,38.7,39.12,37.6,37.92,3050
1995-04-07,38.68,39.2,38,38,46700
1995-04-10,38.4,39.2,38,39.2,158250
1995-04-11,38.744,38.88,38,38.32,83600
1995-04-12,40.004,40.8,38.1,38.1,3400
1995-04-17,39.28,40.2,39.2,39.92,2200
1995-04-18,38.156,39.36,38.008,39.2,13400
1995-04-19,39.6,40.2,38,38.56,11100
1995-04-20,39.24,40.8,39.04,39.6,54700
1995-04-21,39.62,40,38.82,39.44,15800
1995-04-24,38.66,39.796,38.56,39.36,30150
1995-04-25,37.172,38.4,37,38.4,19050
1995-04-26,37.36,37.6,36.8,37.6,3450
1995-04-27,36.796,37.2,36.64,37.196,2450
1995-04-28,35.6,36.8,35.6,36.8,1750
1995-05-02,34.136,35.52,34,35.52,3850
1995-05-03,35.44,36,33.6,34,3050
1995-05-04,37.964,38.4,36.16,36.72,8150
1995-05-05,38.12,40,38,38,9350
1995-05-08,37.644,38.4,37.6,38.316,7250
1995-05-09,37.4,37.996,37.28,37.76,7300
1995-05-10,37.2,38.316,37.2,38.316,2200
1995-05-12,36.92,37.36,36.76,37.2,1750
1995-05-15,36.924,37.42,36.48,37.42,4800
1995-05-16,37.26,37.6,36,36.804,3850
1995-05-17,40.248,40.7,38.8,38.8,24750
1995-05-18,41.588,42.8,40.64,40.64,19800
1995-05-19,41.772,42.8,41.22,42.4,21050
1995-05-22,40.608,41.6,40.48,41.5,12800
1995-05-23,40.572,41,39.6,40,10100
1995-05-24,40.372,41.44,39.6,41.36,17000
1995-05-25,40.648,40.96,39.84,40.4,52900
1995-05-26,41.816,42.4,41.2,42.4,66400
1995-05-29,41.852,42.16,41.28,41.6,37050
1995-05-30,42.336,42.56,41.684,42,101300
1995-05-31,45.312,46,44.4,45.92,221900
1995-06-01,45.564,45.84,45.284,45.6,116000
1995-06-02,45.064,45.76,44.8,45.48,62300
1995-06-05,44.892,45.4,44.64,45.4,45800
1995-06-06,45.536,45.712,44.8,44.8,77600
1995-06-07,45.628,46.392,45.44,46,53900
1995-06-08,45.464,45.58,44.92,45.2,29100
1995-06-09,45.328,45.5,45.2,45.46,15250
1995-06-12,45.36,45.44,45.044,45.36,41700
1995-06-13,45.056,45.52,44.8,45.432,82450
1995-06-14,45.436,45.68,44.8,45.6,45350
1995-06-15,45.38,45.52,45.2,45.2,8700
1995-06-16,47.5,47.92,45.68,45.76,80600
1995-06-19,48.012,49.2,47.6,48,50700
1995-06-20,48.08,48.4,47.72,48,53900
1995-06-21,47.8,48.56,47.76,48.56,9050
1995-06-22,47.2,47.84,47.08,47.84,13950
1995-06-23,46.6,47.12,46.56,47.12,3100
1995-06-26,45.54,46.4,45.2,46.4,5150
1995-06-27,44.968,45.28,44.56,44.8,11050
1995-06-28,46.052,46.08,45.292,45.52,12850
1995-06-29,45.776,46.32,45.6,46.32,4150
1995-06-30,44.996,45.44,44.64,44.96,7000
1995-07-03,43.744,44.88,43.28,44.88,6900
1995-07-04,43.152,44.4,42.84,43.2,15350
1995-07-05,43.788,44.88,43.76,44.4,31050
1995-07-06,44.096,44.28,43.2,43.28,11700
1995-07-07,44.72,44.8,43.6,44.32,61950
1995-07-10,44.8,45.2,44.6,44.8,3950
1995-07-11,44.82,45.2,44.4,44.64,48950
1995-07-12,45.2,45.36,44.48,45.2,6050
1995-07-13,45.732,45.84,45.2,45.2,6400
1995-07-14,46.88,47.44,46,46.08,20500
1995-07-17,47.176,48.08,46.8,48.08,8900
1995-07-18,46.504,47,45.564,47,19000
1995-07-19,46.684,46.8,44.8,46,7550
1995-07-20,47.448,47.68,46,47.68,16000
1995-07-21,47.36,47.6,46.808,47.2,9100
1995-07-24,47.44,48,47.28,48,12550
1995-07-25,47.048,47.6,46.204,47.6,22550
1995-07-26,47.384,48.72,46.8,48,79750
1995-07-27,47.16,47.48,46.4,47.28,41500
1995-07-28,45.812,46.44,44.48,44.48,62450
1995-07-31,45.896,46,45.12,45.3,87500
1995-08-01,46.66,47,45.44,45.6,48350
1995-08-02,47.464,48.072,46.56,46.8,49750
1995-08-03,46.8,47.8,46.64,47.6,52650
1995-08-04,47.328,47.58,46.4,46.4,34400
1995-08-07,47.532,47.84,46,46,29600
1995-08-08,48.388,48.78,47.4,47.44,43700
1995-08-09,48.344,48.54,47.92,48.16,57200
1995-08-11,48.256,48.32,48,48.168,84100
1995-08-14,48.172,48.36,47.6,48,20650
1995-08-16,48.744,48.8,48.08,48.08,16350
1995-08-17,49.412,49.996,48.82,48.82,23750
1995-08-18,49.524,49.72,49.28,49.28,5850
1995-08-21,49.524,49.88,49.368,49.52,23900
1995-08-22,49.016,49.64,48,49.288,23650
