Date,Close,High,Low,Open,Volume
1995-01-03,17.8125,17.8125,17.8125,17.8125,100
1995-01-04,18.4375,18.4375,18.4375,18.4375,200
1995-01-05,18.125,18.125,18.125,18.125,100
1995-01-09,16.875,16.875,16.875,16.875,100
1995-01-10,17.1875,17.5,17.1875,17.5,400
1995-01-11,17.1938,17.1938,17.1938,17.1938,200
1995-01-13,18.125,18.125,18.125,18.125,500
1995-01-16,18.375,18.375,18.25,18.25,200
1995-01-17,18.6,18.6,18.6,18.6,100
1995-01-18,18.2812,18.2812,18.2812,18.2812,100
1995-01-19,17.9375,17.9375,17.75,17.75,300
1995-01-20,17.9062,17.9062,17.9062,17.9062,200
1995-01-23,17.8125,18.125,17.8125,18.125,300
1995-01-24,16.875,16.875,16.875,16.875,100
1995-02-06,18.4375,18.4375,18.4375,18.4375,300
1995-02-07,16.875,16.875,16.875,16.875,500
1995-02-08,16.875,16.875,16.875,16.875,300
1995-02-10,16.2531,16.2531,16.25,16.25,700
1995-02-14,16.25,16.4062,16.25,16.4062,300
1995-02-15,15.9375,15.9375,15.9375,15.9375,100
1995-02-16,15.9375,15.9375,15.9375,15.9375,100
1995-02-21,14.375,15.625,14.375,15.625,300
1995-02-22,14.6875,14.6875,14.6875,14.6875,100
1995-02-28,16.125,16.125,16.125,16.125,100
1995-03-01,16.5625,16.875,16.5625,16.875,400
1995-03-02,16.5,17.1875,16.5,17.1875,800
1995-03-03,16.6875,16.8125,16.5625,16.8125,200
1995-03-06,17.5,17.5,17.5,17.5,100
1995-03-07,17.1875,17.1875,16.875,16.875,300
1995-03-09,16.5656,16.5656,16.5656,16.5656,200
1995-03-10,17,17,16.5625,16.625,300
1995-03-20,16.3125,16.3125,16.3125,16.3125,100
1995-03-22,15,15.3125,15,15.3125,400
1995-03-23,15.625,15.625,15.625,15.625,100
1995-03-24,15.9375,15.9375,15.9375,15.9375,100
1995-03-27,16.25,16.25,15,15,800
1995-03-28,16.375,16.375,15.875,15.875,400
1995-03-29,16.375,16.375,16.375,16.375,100
1995-03-30,15.8188,15.9531,15.8188,15.9531,400
1995-03-31,16.1875,16.1875,16.1875,16.1875,200
1995-04-04,15.9375,15.9375,15.9375,15.9375,100
1995-04-05,15.9375,16.25,15.9375,16.25,300
1995-04-06,16.25,16.25,16.25,16.25,100
1995-04-18,16.25,16.25,16.125,16.125,200
1995-04-19,15.625,15.9375,15.625,15.9375,200
1995-04-21,14.5,15.5,14.375,15.5,300
1995-04-24,14.6875,14.6875,14.6875,14.6875,100
1995-04-25,14.25,14.6875,14.25,14.375,400
1995-04-26,13.75,13.875,13.75,13.8125,500
1995-04-27,13.1562,13.1562,13.125,13.125,200
1995-04-28,13.2188,13.3125,13.2188,13.3125,400
1995-05-02,13.125,13.125,12.5,12.5,500
1995-05-04,13.125,13.125,13.125,13.125,200
1995-05-05,13.4375,13.75,13.3438,13.75,1100
1995-05-08,13.4375,13.625,13.4375,13.4375,400
1995-05-09,13.75,13.75,13.75,13.75,100
1995-05-10,13.6875,13.6875,13.6562,13.6562,200
1995-05-12,13.7531,13.7531,13.7531,13.7531,400
1995-05-16,13.75,13.75,13.7469,13.7469,400
1995-05-17,13.75,13.75,13.75,13.75,200
1995-05-18,13.8125,13.9375,13.8125,13.875,900
1995-05-19,14.375,14.375,14.0625,14.0625,500
1995-05-22,13.5,13.5,13.5,13.5,100
1995-05-23,13.625,13.625,13.1875,13.1875,300
1995-05-24,14.375,14.375,14.0625,14.125,300
1995-05-25,13.75,13.9062,13.75,13.9062,400
1995-05-26,13.75,13.875,13.7469,13.875,400
1995-05-29,13.1219,13.4375,13.1219,13.4375,800
1995-05-30,12.9375,13.125,12.9375,13.125,300
1995-05-31,13.125,13.1875,13.0625,13.1875,1100
1995-06-01,13.4375,13.5,13.4375,13.5,200
1995-06-02,13.9375,14.0625,13.9375,14.0625,300
1995-06-06,13.5938,13.5938,13.4375,13.4375,200
1995-06-07,13.7063,14.6875,13.6313,13.75,2700
1995-06-08,13.2812,13.5625,13.2812,13.5625,200
1995-06-09,13.625,13.625,13.5625,13.5625,200
1995-06-12,13.3125,13.375,13.3125,13.375,400
1995-06-13,11.9375,13.125,11.875,13.125,900
1995-06-14,11.9469,12.0625,11.625,11.625,600
1995-06-15,11.9062,12,11.9062,12,200
1995-06-16,12.3125,12.3125,12.1313,12.3125,600
1995-06-19,12.4062,12.4531,12.25,12.25,800
1995-06-20,12.25,12.25,12.1875,12.1875,200
1995-06-21,11.7531,12,11.75,12,600
1995-06-22,11.9062,12,11.8125,12,800
1995-06-23,11.8906,12,11.8906,12,200
1995-06-26,11.6562,11.6562,11.375,11.6562,400
1995-06-27,11.5312,11.5312,11.25,11.5,300
1995-06-28,11.375,11.375,11.375,11.375,200
1995-06-29,11.3781,11.3781,11.375,11.3781,200
1995-06-30,11.4375,11.5625,11.4375,11.5625,200
1995-07-03,11.125,11.25,11.125,11.25,300
1995-07-04,11,11,11,11,100
1995-07-05,11.0156,11.25,11,11.25,600
1995-07-06,11.125,11.125,10.9375,10.9375,300
1995-07-07,10.75,10.875,10.75,10.875,200
1995-07-11,11.125,11.125,11.125,11.125,200
1995-07-12,11.125,11.125,11.125,11.125,100
