Date,Close,High,Low,Open,Volume
2025-07-14,1074.8,1130,1066,1125,4942773
2025-07-15,1053.7,1089.9,1048,1073.9,1103033
2025-07-16,1087.4,1106.9,1038.1,1053.7,1943902
2025-07-17,1101.8,1114.4,1088,1095,1243555
2025-07-18,1141,1164.8,1065.2,1099.7,2927112
2025-07-21,1146.8,1160,1111.6,1151,1059143
2025-07-22,1173.6,1187.8,1140.8,1152.4,1721445
2025-07-23,1170.5,1174.9,1132.9,1170.1,587267
2025-07-24,1162.7,1172,1143.8,1172,499521
2025-07-25,1153.8,1170,1148.5,1154.9,368749
2025-07-28,1118.5,1155.8,1096.7,1144.2,524712
2025-07-29,1099.1,1123.7,1090.2,1118.5,163504
2025-07-30,1085.4,1109,1073.2,1091,175727
2025-07-31,1045.8,1080,1038,1070,299125
2025-08-01,1026.3,1065,1011.1,1045.1,206667
2025-08-04,1017.3,1036,1008.5,1026.1,84755
2025-08-05,1047.5,1060,1014.7,1018.6,206709
2025-08-06,1050.8,1064.9,1015.1,1064.9,215589
2025-08-07,1094.9,1105.9,1040.6,1056,396975
2025-08-08,1119.8,1128.9,1094.9,1100.3,411023
2025-08-11,1081,1109.1,1066.5,1100.1,268873
2025-08-12,1156.4,1177,1067,1114,1187157
2025-08-13,1147.8,1173.8,1132.1,1138,287798
2025-08-14,1117.1,1164.9,1100,1142,284785
2025-08-18,1102.1,1155,1095,1155,327112
2025-08-19,1108.3,1118,1092.3,1106,168968
2025-08-20,1219.1,1219.1,1111.5,1111.5,1252247
2025-08-21,1231.8,1264,1187.1,1220,926893
2025-08-22,1220.6,1239.9,1206.6,1225,134116
2025-08-25,1230.6,1254.9,1216,1221.9,184278
2025-08-26,1206,1229.8,1200,1220,122721
2025-08-28,1203.7,1217.9,1191,1200,294207
2025-08-29,1252.5,1280,1200,1209.7,403872
2025-09-01,1254,1285,1242.6,1252,176758
2025-09-02,1251.2,1269.7,1236.9,1255.1,115663
2025-09-03,1283.8,1305,1240.8,1251.2,417447
2025-09-04,1315.3,1340.1,1263.5,1294.7,745516
2025-09-05,1309.1,1324,1282,1319.9,166673
