Date,Close,High,Low,Open,Volume
2005-12-13,15.564,16.2,12.516,12.612,38287800
2005-12-14,16.104,16.896,15.564,16.32,13687794
2005-12-15,15.84,16.368,15.36,16.2,5797392
2005-12-16,15.396,16.2,15.132,15.84,2796478
2005-12-19,16.38,16.68,15.48,15.6,6273462
2005-12-20,17.532,18.276,16.5,16.5,13508952
2005-12-21,17.76,18.168,17.628,17.724,4786563
2005-12-22,18.36,18.816,17.7,17.88,3420777
2005-12-23,18.276,19.38,18.144,18.96,4305118
2005-12-26,16.836,18.408,16.692,18.264,2793790
2005-12-27,18.912,19.488,16.836,16.836,6405789
2005-12-28,20.316,20.916,18.216,19.2,11993243
2005-12-29,19.524,20.496,19.356,19.92,5247594
2005-12-30,19.344,20.328,19.224,19.548,3974073
2006-01-02,19.836,20.328,19.32,19.512,3726226
2006-01-03,20.148,20.58,19.752,19.848,4485567
2006-01-04,19.452,20.4,19.344,20.4,1895669
2006-01-05,19.356,19.896,19.284,19.512,1296437
2006-01-06,19.38,19.644,19.248,19.512,1443243
2006-01-09,20.424,20.952,19.296,19.536,6872649
2006-01-10,20.184,20.784,19.86,20.496,4221022
2006-01-12,20.412,21,19.8,20.112,3395997
2006-01-13,19.872,20.844,19.74,20.46,2081518
2006-01-16,19.32,20.4,19.224,20.4,1961947
2006-01-17,20.076,20.496,19.284,19.44,4794663
2006-01-18,19.512,20.16,19.344,20.1,1481251
2006-01-19,20.808,21.036,19.464,19.584,6034472
2006-01-20,21.372,22.296,20.784,20.784,6834341
2006-01-23,20.664,21.528,20.532,21.288,2041915
2006-01-24,20.64,21.24,20.532,20.844,1086988
2006-01-25,21.6,22.752,20.736,20.844,9938301
2006-01-27,21.3,22.14,21.024,21.9,2984594
2006-01-30,20.22,21.504,20.088,21.36,1340196
2006-01-31,19.644,20.4,19.476,20.244,1626498
2006-02-01,19.128,20.508,18.864,19.896,1794191
2006-02-02,18.9,19.632,18.396,19.392,1614917
2006-02-03,19.008,19.68,18.78,18.816,2505647
