Date,Close,High,Low,Open,Volume
2018-03-27,326.8,343.95,326.8,343.95,847
2018-03-28,310.5,310.5,310.5,310.5,1008
2018-04-02,295,295,295,295,1162
2018-04-03,280.25,280.25,280.25,280.25,2777
2018-04-04,266.25,266.25,266.25,266.25,928
2018-04-05,252.95,252.95,252.95,252.95,1069
2018-04-06,240.35,240.35,240.35,240.35,2607
2018-04-09,228.35,228.35,228.35,228.35,3426
2018-04-10,216.95,216.95,216.95,216.95,1171
2018-04-11,206.15,206.15,206.15,206.15,3297
2018-04-12,195.85,195.85,195.85,195.85,2492
2018-04-13,186.1,186.1,186.1,186.1,3016
2018-04-16,176.8,176.8,176.8,176.8,2075
2018-04-17,168,170,168,170,5948
2018-04-18,159.6,159.6,159.6,159.6,4834
2018-04-19,151.65,159,151.65,151.65,4396488
2018-04-20,150.65,154.8,144.1,144.1,1746984
2018-04-23,146.85,150,144.25,148.5,537667
2018-04-24,146.05,148.85,145.6,148.85,345731
2018-04-25,143.7,147,142.7,146.95,230506
2018-04-26,144.45,145.9,142.55,145.9,302847
2018-04-27,140.45,146,138.1,145.2,133451
2018-04-30,147.45,147.45,140,140.1,288315
2018-05-02,154.65,154.8,150.55,154.8,592253
2018-05-03,151.5,160,150.3,160,156140
2018-05-04,152.65,154.7,147.5,154.7,105878
2018-05-07,149.65,157.95,149,153.75,83544
2018-05-08,149.55,151,148,150,89211
2018-05-09,153.85,155.5,149.5,152.4,122530
2018-05-10,150.25,156,148.1,155,208814
2018-05-11,153.85,154.95,149.3,153.95,76773
2018-05-14,151.8,156,151.2,156,150853
2018-05-15,153.6,154.7,150,150,60184
2018-05-16,150.6,153.95,150.15,150.15,31683
2018-05-17,149.7,154,149.15,152,63776
2018-05-18,149.5,152,148.5,149,73383
2018-05-21,144.5,152.75,144,149.5,76037
2018-05-22,144.9,148,144,145,20820
2018-05-23,140,149.95,139.05,144.95,51011
2018-05-24,139.7,146.25,139.1,145.75,29687
2018-05-25,139.9,146.5,139.25,145.5,74521
2018-05-28,139.95,145,139,141.5,37057
2018-05-29,133,140,133,140,110103
2018-05-30,136.95,139.65,126.35,128,132121
2018-05-31,133.65,138,131,138,31876
2018-06-01,136.3,139.2,132,132,11547
2018-06-04,133.2,139.5,133,137,14861
2018-06-05,129.05,135.45,126.75,135.45,28544
2018-06-06,129.5,133.9,129,131,15338
2018-06-07,130.1,134.7,128.1,130,21345
2018-06-08,129.9,133.9,128.9,133.9,17383
2018-06-11,129.05,132.95,128.95,130.1,40735
2018-06-12,126.5,129,126,129,50339
2018-06-13,127,129,125,129,565576
2018-06-14,125,127,124.05,127,41272
2018-06-15,120.9,125,120,124.3,304595
2018-06-18,120.9,126.9,120.5,126.9,29907
2018-06-19,121.8,124.8,120.05,121,10783
2018-06-20,123.3,125,122.2,123.1,20116
2018-06-21,119.35,126,118.15,126,45247
2018-06-22,118.4,123.4,117.5,120,44082
2018-06-25,114.85,121.95,113.55,119,45460
2018-06-26,115.45,120,114,120,13027
2018-06-27,114.7,118,113,114,34046
2018-06-28,115.05,118,111.05,111.05,21820
2018-06-29,120,120.8,115,119.75,231416
2018-07-02,119.85,126,119,126,13989
2018-07-03,123,125,119,120,15170
2018-07-04,120.25,124.9,120,124.9,4374
2018-07-05,118,122.95,117.05,122.85,12752
2018-07-06,114.75,117.95,113.05,117,26891
2018-07-09,117,119.45,115.5,115.5,10393
2018-07-10,115.1,118.5,114.55,117,39571
2018-07-11,112.95,117.5,110.25,115,24302
2018-07-12,116.2,117.75,112.05,114.6,7381
2018-07-13,116.2,118.25,114.55,116,7027
2018-07-16,110.6,116.5,110.4,116,53823
2018-07-17,110.7,114.9,108,110.25,26458
2018-07-18,108.1,113.95,105.9,111,29652
2018-07-19,104.9,112.9,102.7,108.1,36664
2018-07-20,103.75,108,101.1,106,20335
2018-07-23,107,108.8,102.1,103.75,9375
2018-07-24,112.35,112.35,106.5,106.6,43360
2018-07-25,117.95,117.95,112,112,37631
2018-07-26,122.1,123.8,117.9,117.9,36975
2018-07-27,124.3,126.9,123,123.25,24057
2018-07-30,123.5,127.9,122,127,20005
2018-07-31,118.65,122.55,117.5,121,11028
2018-08-01,117.7,124,117.05,121.75,12662
2018-08-02,120.35,121.75,116,119.95,11906
2018-08-03,122.45,123,118.6,120,28516
2018-08-06,122.5,127.8,121.7,127.8,28492
2018-08-07,127.85,134.65,123.1,124,96950
2018-08-08,123.25,129.3,122.55,128,55948
2018-08-09,121.4,127.75,120.3,127.75,34145
2018-08-10,120.3,121.15,118.4,121,22175
2018-08-13,117.85,122,117,122,20388
2018-08-14,118.25,120,117.05,119.8,13122
2018-08-16,119.65,120.95,118.3,119.7,14629
2018-08-17,119.05,121.45,118.05,118.05,14137
2018-08-20,117.55,120.4,117.1,118.5,22044
2018-08-21,118,120.35,117.45,119.45,16425
2018-08-23,118.5,119.5,117,118,16403
2018-08-24,118.85,119.5,118.15,118.5,8565
2018-08-27,123.75,127,117.25,117.25,38151
2018-08-28,131.7,136.35,123.75,127.5,118787
2018-08-29,127.9,139,127.05,139,57177
2018-08-30,127.85,131,126,127,23022
2018-08-31,121.25,129.6,120.5,129.6,77333
2018-09-03,122.15,124.5,121.25,121.25,32016
2018-09-04,121.3,124,120.05,123,46592
2018-09-05,119.85,123,119.45,122.8,25309
2018-09-06,120.9,123,120,120,17622
2018-09-07,122.9,124,117.35,121,23760
2018-09-10,120.3,123.95,120.05,123.95,20931
2018-09-11,123,124.9,119.3,121.05,8830
2018-09-12,120,122.5,116.6,122.5,22541
2018-09-14,122.05,123.1,120.1,121.9,10856
2018-09-17,118.15,122,116.8,122,34851
2018-09-18,118.4,120.45,116.25,116.35,13213
2018-09-19,115.6,120,114.6,120,25330
2018-09-21,109.35,119,105.8,119,71834
2018-09-24,108.05,112.9,106.1,112.7,16942
2018-09-25,109.1,110.05,106,107,22357
2018-09-26,109.05,112,107.9,109,16938
2018-09-27,103.25,114,102.55,107.05,34129
2018-09-28,100.85,104.7,99.3,104.6,49474
2018-10-01,102,105,98,104.5,28680
2018-10-03,100.95,105.5,100.8,102.1,13013
2018-10-04,100.95,104,98.6,103.7,43527
2018-10-05,100.9,103,99.05,100,20923
2018-10-08,99.6,103,98.5,100.9,16725
2018-10-09,99.85,102.5,98.5,99.8,12167
2018-10-10,102.15,103,97,103,13008
2018-10-11,97.8,102,96,99,38115
2018-10-12,99.55,102.75,98.1,98.1,27132
2018-10-15,99.4,100.45,97.9,99.25,22119
2018-10-16,99.65,100,98.1,99.95,14921
2018-10-17,99.65,102.3,98.3,102.3,17393
2018-10-19,96.6,101.4,94,101.4,30363
2018-10-22,95.55,99.1,95.1,99,12567
2018-10-23,95.35,96.3,94,96,54936
2018-10-24,96.1,98,95,98,21725
2018-10-25,97,101.4,95.05,96,40710
2018-10-26,95.3,98,94.7,98,15031
2018-10-29,97.9,98.5,95.5,96,12474
2018-10-30,100.55,101.25,97,97.85,10126
2018-10-31,99.95,101.4,99,100.55,7287
2018-11-01,101.4,101.4,99.25,100.1,9467
2018-11-02,101.45,102.95,98.85,101,19699
2018-11-05,101.45,103.5,101.1,102.85,5267
2018-11-06,102.05,106.95,101.2,106.95,18090
2018-11-07,107.6,113,104.15,104.15,7075
2018-11-09,108.9,112.9,106.3,111,12899
2018-11-12,107.35,110.55,105.1,105.3,5548
2018-11-13,109.3,111,103.55,103.55,4773
2018-11-14,112.8,114,109,110,19515
2018-11-15,112.9,116,112,113.95,17600
2018-11-16,113.25,114,111.1,111.5,9202
2018-11-19,112.95,114,112,113.95,8534
2018-11-20,105.9,113.95,105.4,113,16109
2018-11-21,105.6,107.85,103.6,106.25,9153
2018-11-22,105,109,103,105.5,22431
2018-11-26,106.8,113.7,99.1,99.1,26765
2018-11-27,103,106,101.95,106,62461
2018-11-28,100,105.45,99.55,105,33832
2018-11-29,101.05,102.4,99.05,100,15520
2018-11-30,101.2,103.6,101,103.6,28834
2018-12-03,99.8,103,99.1,102.5,8121
2018-12-04,99.95,101.75,99.8,101.5,20441
2018-12-05,98.35,102.85,98,102.85,6594
2018-12-06,97.95,99.3,96,98,7711
2018-12-07,96.6,102.75,95.6,102.75,24832
2018-12-10,95,97.5,94.65,96.6,19674
2018-12-11,95.05,96.15,94.4,95,21311
2018-12-12,96.85,99,96,96.5,13479
2018-12-13,96.85,100.05,95.35,95.35,49590
2018-12-14,97.95,99,95.5,95.5,15116
2018-12-17,96.3,97.5,94.8,96.6,42937
2018-12-18,94.9,96.95,94,96.75,28535
2018-12-19,95.9,99,94.25,94.25,28272
2018-12-20,95.65,97.75,94.5,96.45,26838
2018-12-21,95,96.8,94.5,96.8,13584
2018-12-24,94.9,96.45,94,96.45,12277
2018-12-26,95,95.25,93,93,2982
2018-12-27,93.55,97.65,92.55,97.65,20680
2018-12-28,93.75,94.5,92.85,94,20953
2018-12-31,94,94,93.5,93.55,572666
2019-01-01,92.95,94.05,92.6,94.05,38246
2019-01-02,93.1,94,92.1,92.55,16958
2019-01-03,92.35,94.25,90.45,92.45,20912
2019-01-04,92.3,93,91.35,92.05,7081
2019-01-07,91.65,93.95,91.5,92.05,8518
2019-01-08,92.2,93,91.7,93,15631
2019-01-09,90.8,94,90.5,93.45,12072
2019-01-10,90.9,93,90.5,91.95,13519
2019-01-11,90.65,92.6,90.4,92.6,15785
2019-01-14,88.6,91.6,86.5,90,50841
2019-01-15,88.05,89.1,87.05,88.25,35499
2019-01-16,96.8,104.6,88.2,88.95,83342
2019-01-17,100,105,99.5,103,69589
2019-01-18,97.45,100.2,96.4,100.2,8641
2019-01-21,94.2,99.8,91.65,99.8,12988
2019-01-22,96,99.8,95.5,97,27734
2019-01-23,93.95,96.25,93,95.55,27735
2019-01-24,92.2,94.4,91.75,94.05,10531
2019-01-25,89.25,93.75,88.65,91.55,22088
2019-01-28,85.8,89.15,85.1,89.15,28318
2019-01-29,85.9,88.8,85.5,88.7,99830
2019-01-30,90.65,91.8,85.4,86.95,78335
2019-01-31,90.7,104.2,89.7,92,36840
2019-02-01,88.5,92.95,87,92.95,21229
2019-02-04,88.05,90.15,86,90.15,12819
2019-02-05,85.55,89.5,85.15,88.4,18091
2019-02-06,86.65,90,82.8,86.65,25597
2019-02-07,86.8,87.7,85.95,86.05,5164
2019-02-08,87,87.4,85,86.8,38780
2019-02-11,84.4,88.15,83.05,86.55,28168
2019-02-12,84.9,87,84.75,84.85,6926
2019-02-13,84.05,85.75,83,84.95,31185
2019-02-14,85.15,85.5,82.8,85.25,13652
2019-02-15,81.55,84.55,80.7,84.55,54723
2019-02-18,79.85,84.65,78.5,84.65,52570
2019-02-19,80.25,82.5,79.75,80.05,11805
2019-02-20,82.1,83,80,81.5,37802
2019-02-21,80.9,83.4,80.55,81.5,39467
2019-02-22,81.5,82,80.85,81.95,49915
2019-02-25,86.95,87.55,81.95,81.95,35549
2019-02-26,91.45,96.3,84,86,59882
2019-02-27,90.75,94.2,88,90.85,32571
2019-02-28,89.65,90.9,88.95,90.3,9782
2019-03-01,92.05,93.55,90.3,90.95,51928
2019-03-05,93.4,94,91.5,94,17789
2019-03-06,97.5,100,93,93,83177
2019-03-07,97.8,98.25,96.95,97.15,20114
2019-03-08,98.55,100,95.5,98.9,65376
2019-03-11,98.25,99.9,97.75,98.95,58206
2019-03-12,99,100.05,98,98.85,67022
2019-03-13,96.85,100.5,95.55,99.95,23825
2019-03-14,95.6,98.25,95.2,98,73264
2019-03-15,96.25,98,94.55,97.45,33207
2019-03-18,94.85,99.8,94.2,95.6,19654
2019-03-19,94.4,96.3,93.75,95.05,22221
2019-03-20,93.05,95.1,92.75,94.2,14359
2019-03-22,93.55,94.4,92.05,92.05,7077
2019-03-25,90.6,93.95,90.05,93.95,10935
2019-03-26,89.1,92,88,91.85,17072
2019-03-27,87.55,89.95,86.4,89.45,32587
2019-03-28,85.3,87.1,84.95,87.05,65554
2019-03-29,85.35,87,83.75,86.55,41092
2019-04-01,84.9,89.4,84.1,85.95,2023044
2019-04-02,85.65,87.15,85,85.9,84709
2019-04-03,83.7,86.95,82.5,86.2,68887
2019-04-04,83.35,85,82.65,84,18060
2019-04-05,83.95,84.85,83.05,83.75,40288
2019-04-08,83.95,86.8,83.05,86.8,41196
2019-04-09,82.7,84.8,82.2,83.85,30784
2019-04-10,83.95,84.7,82.55,82.55,19979
2019-04-11,83.65,85.3,82.95,84.75,30734
2019-04-12,89,90.6,83.2,83.2,155594
2019-04-15,86,90.35,85.8,89.85,86337
2019-04-16,83.9,87.9,83.6,87.25,47887
2019-04-18,84.9,85.7,84,84.9,15904
2019-04-22,82.55,85.6,81.9,85.6,34568
2019-04-23,84.1,84.5,83,83.05,13481
2019-04-24,81.1,84.6,80.8,84.25,118137
2019-04-25,81,82.3,80.9,81.9,32599
2019-04-26,81,82.6,80.55,80.8,26023
2019-04-30,79.9,81.95,79.1,81.85,22346
2019-05-02,79.8,81.7,79.4,81.65,33893
2019-05-03,79.85,81.75,78.95,79,23410
2019-05-06,79.3,80.9,78.6,80.9,29442
