Date,Close,High,Low,Open,Volume
2000-10-26,10.2353,11.4265,9.26471,10.5882,2095309
2000-10-27,10.1471,10.5882,9.92647,10.5,1043332
2000-10-30,9.48529,10.2353,9.17647,10.1912,783882
2000-10-31,8.91177,9.57353,8.82353,9.30882,795174
2000-11-01,9.26471,9.57353,8.86765,8.86765,487343
2000-11-02,9.39706,9.44118,9.08823,9.26471,251693
2000-11-03,9.22059,9.44118,9.13235,9.39706,336196
2000-11-06,9.17647,9.30882,9,9.30882,268387
2000-11-07,9.04412,9.22059,9,9.17647,345397
2000-11-08,9.66177,9.92647,9.13235,9.26471,694457
2000-11-09,10.0588,10.1471,9.66177,9.70588,422624
2000-11-10,9.88235,10.1912,9.66177,9.97059,544843
2000-11-13,9.70588,9.92647,9.66177,9.75,346402
2000-11-14,9.75,9.92647,9.70588,9.75,340850
2000-11-15,9.70588,10.1029,9.70588,9.92647,196901
2000-11-16,9.66177,9.83823,9.48529,9.83823,139338
2000-11-17,9.48529,9.70588,9.30882,9.70588,150743
2000-11-20,9.92647,10.0147,9.57353,9.70588,166751
2000-11-21,9.88235,9.97059,9.70588,9.70588,185805
2000-11-22,10.1471,10.7647,9.92647,10.1029,630646
2000-11-23,10.2353,10.3676,10.0147,10.3676,192605
2000-11-24,10.1912,10.5882,10.0588,10.4118,561846
2000-11-27,10.3676,10.4559,10.1912,10.2794,179087
2000-11-28,10.2794,10.4118,10.1912,10.2794,325090
2000-11-29,10.3235,10.4118,10.1912,10.4118,145511
2000-11-30,10.3676,10.3676,10.2353,10.3676,147294
2000-12-01,10.2794,10.3676,10.1912,10.3235,67777
2000-12-04,10.2353,10.3676,10.2353,10.2353,93773
2000-12-05,10.2353,10.3235,10.1912,10.3235,170572
2000-12-06,10.1029,10.9412,10.0588,10.5,275440
2000-12-07,10.3235,10.3676,10.1471,10.3235,111415
2000-12-08,10.3235,10.4118,10.2794,10.3235,154295
2000-12-11,10.3235,10.4118,10.2794,10.4118,203592
2000-12-12,10.3235,10.4118,10.1471,10.4118,259423
2000-12-13,10.4118,10.5441,10.1471,10.5441,249472
2000-12-14,10.3235,10.5882,10.2794,10.4559,287897
2000-12-15,10.3676,10.5,10.2353,10.4118,129040
2000-12-18,10.2353,10.5882,9.52941,10.5882,95732
2000-12-19,9.79412,10.3235,9.75,10.3235,296794
2000-12-20,10.0147,10.1471,9.88235,9.97059,87714
2000-12-21,9.92647,10.2794,9.70588,10.2794,101865
2000-12-22,9.61765,10.0147,9.52941,9.75,169007
2000-12-26,8.82353,9.70588,8.69118,9.70588,350653
2000-12-27,9.48529,9.57353,9,9,84498
2000-12-28,9.52941,9.66177,9.35294,9.39706,136087
2000-12-29,9.57353,9.66177,9.44118,9.48529,314028
2001-01-01,9.48529,9.70588,9.39706,9.52941,78982
2001-01-02,9.48529,9.61765,9.26471,9.48529,120426
2001-01-03,9.70588,10.0588,9.13235,9.13235,137111
2001-01-04,9.70588,10.1029,9.66177,9.75,101782
2001-01-05,9.88235,9.92647,9.61765,9.75,118110
2001-01-08,9.79412,9.92647,9.66177,9.70588,110801
2001-01-09,9.70588,10.1029,9.66177,10.1029,123910
2001-01-10,9.83823,9.97059,9.75,9.92647,112407
2001-01-11,9.57353,9.83823,9.52941,9.75,127776
2001-01-12,9.61765,9.70588,9.35294,9.70588,62371
2001-01-15,9.44118,9.79412,9.26471,9.79412,81915
2001-01-16,9.30882,9.48529,9.22059,9.48529,159460
2001-01-17,9.30882,9.61765,9.26471,9.35294,82812
2001-01-18,9.48529,9.52941,9.04412,9.08823,52913
2001-01-19,9.61765,9.61765,9.44118,9.57353,91952
2001-01-22,9.61765,9.70588,9.44118,9.61765,77904
2001-01-23,9.52941,9.61765,9.30882,9.48529,137061
2001-01-24,9.61765,9.79412,9.48529,9.79412,90976
2001-01-25,9.97059,10.2794,9.57353,9.70588,324358
2001-01-29,9.92647,10.0588,9.57353,9.79412,242067
2001-01-30,9.88235,10.0588,9.83823,10.0588,214456
2001-01-31,9.70588,10.0147,9.66177,10.0147,257780
2001-02-01,9.75,9.88235,9.61765,9.70588,105112
2001-02-02,9.79412,9.88235,9.70588,9.88235,95202
2001-02-05,9.88235,10.1029,9.66177,9.88235,202439
2001-02-06,10.0147,10.0588,9.83823,9.88235,223137
2001-02-07,9.92647,10.3235,9.88235,10.0588,328302
2001-02-08,10.1912,10.2353,9.88235,10.0588,144727
2001-02-09,10.1471,10.2794,10.0588,10.1912,156892
2001-02-12,10.2794,10.8088,10.1912,10.2353,186370
2001-02-13,10.1471,10.4118,10.0588,10.2794,296396
2001-02-14,10.1471,10.2794,10.0588,10.2794,87712
2001-02-15,10.1029,10.1912,10.0588,10.1471,122111
