Date,Close,High,Low,Open,Volume
2008-07-28,154.35,169.5,147.1,162.1,13767
2008-07-29,151.35,159.85,150,157.5,2166
2008-07-30,156.8,158.6,150.1,158.6,338
2008-07-31,153.8,158.8,152,152.3,1458
2008-08-01,153.5,158.75,147,147,648
2008-08-04,161.6,164,157.7,157.7,30370
2008-08-05,193.95,193.95,164.8,164.8,44153
2008-08-06,191,224,184,224,51045
2008-08-07,182.15,189.7,181,181,5602
2008-08-08,180.2,184.95,180,182.1,3883
2008-08-11,181.1,198,180,198,4382
2008-08-12,178.2,189.9,177,186,2300
2008-08-13,178.95,188,177,186.4,36107
2008-08-14,179.8,184.9,178.05,178.95,3851
2008-08-18,179.95,181,178,178,10181
2008-08-19,178.7,189,175.5,180,5231
2008-08-20,179.6,184,175.1,175.1,4684
2008-08-21,178.35,183.95,176,176,2607
2008-08-22,180.35,183.95,176.2,180,26056
2008-08-25,179.25,198,175.2,175.2,12063
2008-08-26,168.65,176,161.25,176,5873
2008-08-27,164.15,171.8,163.25,167.05,1998
2008-08-28,163.75,169.65,162,162,1481
2008-08-29,172.45,176.5,165.25,171,3546
2008-09-01,175.25,193.45,170.55,182,3162
2008-09-02,173.15,183.95,171.1,178.95,2092
2008-09-04,175,178,166,178,36235
2008-09-05,169.8,173.9,168,171,4192
2008-09-08,174.7,180,170.05,180,1362
2008-09-09,169.7,176,169,172,706
2008-09-10,172.4,176.9,169,175,163879
2008-09-11,167.9,176,166.35,170,301642
2008-09-12,165.05,174.45,165,174.45,1458
2008-09-15,164.2,170,150,170,375427
2008-09-16,153.65,158.15,150.5,154,2228
2008-09-17,149.3,163,148.5,152.1,1176
2008-09-18,137.1,149.5,135,149.5,6196
2008-09-19,146.55,149.95,135.7,135.7,3276
2008-09-22,145.9,156.95,142.25,146.55,1144
2008-09-23,148.3,152.45,142.05,143,3755
2008-09-24,144.9,150,138.1,138.1,1057
2008-09-25,144.45,150,144.45,150,320
2008-09-26,135.3,144,132,141.4,1526
2008-09-29,133.8,139,127,137.3,2573
2008-09-30,130,132,125.5,125.5,1033
2008-10-01,128.45,131,125,129.1,201416
2008-10-03,129.2,150,120.25,150,305095
2008-10-06,122.4,128.7,120.5,127.95,23527
2008-10-07,129.25,132,122.5,122.5,3658
2008-10-08,126.1,132,111,122.8,7006
2008-10-10,109.95,123,102,121,4570
2008-10-13,113.5,122.85,109.95,110,3848
2008-10-14,116.85,120,110,110,2786
2008-10-15,110.75,118,105,118,7234
2008-10-16,106.65,115,100.35,115,1787
2008-10-17,105.6,112.95,105.45,105.45,589
2008-10-20,85.45,113.5,85,106,26207
2008-10-21,91.6,93.95,88,88,3139
2008-10-22,87.7,92.95,85.5,87,2132
2008-10-23,82,89.5,80.1,87.9,6806
2008-10-24,97.6,98.4,80.6,80.6,9861
2008-10-27,88.35,106.85,81,95,5379
2008-10-28,90.65,94,89,94,617
2008-10-29,84.7,91,83.35,90,1960
