Date,Close,High,Low,Open,Volume
2019-12-12,55.95,62.8,53.05,58.75,251414528
2019-12-13,52,55.4,51.1,55.4,40886356
2019-12-16,58.45,59.65,51.25,52,75723168
2019-12-17,58.65,61.1,57.5,60.35,59177592
2019-12-18,57.8,58.9,56.75,58.55,16440516
2019-12-19,59.1,59.4,56.65,57.1,16846660
2019-12-20,58.1,59.7,57.6,58.8,9016461
2019-12-23,56.4,58.6,56.2,57.75,6044590
2019-12-24,55.55,56.95,55.3,56.5,5209932
2019-12-26,53.6,55.9,53.2,55.55,6485440
2019-12-27,53.55,55.4,53.15,53.9,8207009
2019-12-30,54.05,54.7,53.3,53.4,5161631
2019-12-31,53.85,54.8,53.75,54,2608305
2020-01-01,53.05,54.2,52.9,53.85,3369319
2020-01-02,55.6,57.25,52.9,53.3,10788226
2020-01-03,54.9,56.2,54.65,55.6,3802527
2020-01-06,53.2,54.8,53,54.8,2878675
2020-01-07,53.6,54.3,53.25,53.5,2223498
2020-01-08,54.05,54.4,52.1,52.7,2992351
2020-01-09,53.15,55,52.9,55,5424010
2020-01-10,52.2,53.75,51.8,53.3,4962166
2020-01-13,52.55,53,52.25,52.25,2490710
2020-01-14,52.55,53.5,52.3,52.85,2848871
2020-01-15,51.7,52.9,51.6,52.9,4121422
2020-01-16,51.5,52.95,51.2,51.95,3698950
2020-01-17,50.4,51.9,50.3,51.7,4884518
2020-01-20,49.05,50.8,48.6,50.75,4565526
2020-01-21,49.95,50.6,48.35,49.25,4427125
2020-01-22,51.35,52.9,49.75,50.8,7374048
2020-01-23,53.6,54.2,52,52,14228890
2020-01-24,54.8,55.3,53.7,54,6737755
2020-01-27,54.6,55.95,54,55,4975971
2020-01-28,55.05,56.25,54.5,54.6,5831800
2020-01-29,54.9,55.75,54.8,55.5,2661337
2020-01-30,55.45,56,53.85,54.9,3154683
2020-01-31,55.8,56.4,55.55,56.1,3129732
2020-02-03,53.25,54.25,53,53.5,1987363
2020-02-04,54.05,54.5,53.4,53.9,2223160
2020-02-05,56.25,57.8,53.6,53.7,6277829
2020-02-06,56.75,58.2,55.8,56.2,4033152
2020-02-07,55.95,56.9,55.75,56.85,1442427
2020-02-10,54.95,55.95,54.5,55.8,1347813
2020-02-11,54.95,55.95,54.1,55.1,2048203
2020-02-12,54.3,55.3,54.1,55,1554938
2020-02-13,54.7,55.15,53.6,54.05,1947090
2020-02-14,54.5,55.5,54.1,55,1393438
2020-02-17,53.5,54.45,53.2,54,1305086
2020-02-18,52.8,53.5,52.2,53.05,1124779
2020-02-19,53.05,53.9,52.9,53,2178575
2020-02-20,53.25,53.6,52.45,52.8,1351336
2020-02-24,51.65,53.2,51.5,53,1453779
2020-02-25,51.15,52.15,50.85,51.65,1422367
2020-02-26,49.85,51.25,49.15,51,2892356
2020-02-27,49.55,50,48.65,50,1753310
2020-02-28,48.4,48.8,47,48,2657101
2020-03-02,48.7,50.9,48.25,50.5,2200495
2020-03-03,48.8,49.7,48,48.7,1485021
2020-03-04,49.1,50,46.5,48.75,2324931
