Date,Close,High,Low,Open,Volume
2020-10-12,476.2,529.95,471.1,500,10808276
2020-10-13,514.5,517.5,477,477.9,3544992
2020-10-14,509.1,517.9,500.2,517.9,766545
2020-10-15,499,514.45,495.25,509.5,529249
2020-10-16,502.65,508,493.1,504.9,336269
2020-10-19,496.15,506.1,490.1,502.95,494325
2020-10-20,492.1,499,490,494,194723
2020-10-21,487,493.1,485.15,488.1,223684
2020-10-22,494.35,498.35,485.6,486.75,323982
2020-10-23,498.35,502.4,491.1,493.25,199513
2020-10-26,495.05,504.95,492.5,500,167569
2020-10-27,492.25,497.35,490.45,495.5,101434
2020-10-28,499.15,504.4,492.9,492.9,207064
2020-10-29,501.4,511.95,493.35,493.5,289789
2020-10-30,499.15,509.95,497.25,505,149661
2020-11-02,494.85,500,491.5,498,109054
2020-11-03,494.6,498.85,491.55,492.1,128700
2020-11-04,489.15,498.5,487,492,127685
2020-11-05,501.2,503.7,492,492,255927
2020-11-06,495.8,507,495,499.2,165281
2020-11-09,500,500.65,496,496,667759
2020-11-10,496.2,501.55,495,500,657706
2020-11-11,494.95,499.9,492.35,496.05,177344
2020-11-12,494,498.9,492,495,638121
2020-11-13,487.05,495,486.05,494,409114
2020-11-16,492.2,495,489.7,490,44438
2020-11-17,489.95,494.9,487,494.9,356710
2020-11-18,485.1,491.65,484,490,484828
2020-11-19,493.5,495,483.1,485.5,336804
2020-11-20,492.45,494.75,489,493.7,132682
2020-11-23,522.25,528.9,493.05,493.9,1540115
2020-11-24,546.2,550,525.15,526,1626681
2020-11-25,539.25,561.05,530,550,1430600
2020-11-26,547.25,555.5,530.1,538,497409
2020-11-27,548.55,556,543.6,551,378045
2020-12-01,551.15,555,541.3,549.95,374930
2020-12-02,539.2,553,536,551.15,403300
2020-12-03,537,544.9,533.1,544.9,359513
2020-12-04,538.25,542.7,534.1,538.05,287306
2020-12-07,546.95,548.95,535.55,539,412336
2020-12-08,555,557.45,544.75,548.95,1055404
2020-12-09,564.6,574.2,553.2,556.25,1608491
2020-12-10,564.7,566,551.85,565,524546
2020-12-11,569.65,572.4,505,566,627470
2020-12-14,575.5,579.8,563.6,571,976365
2020-12-15,574.85,577.7,566,576,824871
2020-12-16,569.05,576,567.7,575.25,411452
2020-12-17,565.35,571.9,562,566.1,374857
2020-12-18,549.15,568.35,540,565,504741
2020-12-21,540.15,553.9,537,546,456395
2020-12-22,549.45,552.4,535,540.15,343770
2020-12-23,550.25,552.45,546,549.85,167117
2020-12-24,559.25,563,550.4,555,768729
2020-12-28,559.45,564.8,552.35,560,308727
2020-12-29,560,562,553.25,555.05,263460
2020-12-30,561.05,565.5,555.85,560,158523
2020-12-31,555.8,564.15,554,563.1,234984
2021-01-01,555.9,563.35,554.2,556,160404
2021-01-04,556.05,560,552.6,557,161032
2021-01-05,551.75,555.85,551,555,133676
2021-01-06,542.4,557,539.45,555.1,271580
2021-01-07,550.05,554.4,546.25,547,340003
2021-01-08,550.65,553.95,547.65,553.9,222725
2021-01-11,548.35,555.6,545,545,137504
2021-01-12,555.1,556.7,542.6,542.6,323136
2021-01-13,551.75,556.5,542.2,555.1,292424
2021-01-14,555.55,559.7,549.5,551.75,148407
2021-01-15,579.4,595.8,552.7,558.9,2314984
2021-01-18,576.75,593.9,565.65,576,534923
2021-01-19,573.4,585,571,580,172859
2021-01-20,580.85,587.05,570.05,570.05,312641
2021-01-21,580,592,575.45,588,552692
2021-01-22,556.65,587.3,553.7,580,288026
2021-01-25,551.25,565,549.05,563.85,222478
2021-01-27,556.1,559.15,550.7,552,98512
2021-01-28,551.7,558.45,548,551.25,351385
2021-01-29,556.2,561,554,555.15,289191
2021-02-01,556.1,560.05,550.35,559.85,149465
2021-02-02,556.2,566.8,553.4,556,584342
2021-02-03,564.65,572.9,555.6,556.2,303574
2021-02-04,563.3,569.75,560.45,568,193206
2021-02-05,561.95,572.2,559.55,564,223479
2021-02-08,559.9,565.3,553.55,562,431354
2021-02-09,557.5,564.9,555.6,560.95,351460
2021-02-10,560.85,562,555.8,555.85,213530
2021-02-11,560,565.15,558.1,561.1,220380
2021-02-12,565.15,570.25,560,560,190627
2021-02-15,562,566,560.05,561.15,398871
2021-02-16,560,565.7,560,562.1,90569
2021-02-17,560.65,572.5,558.7,561,121542
2021-02-18,567.1,569.8,557,560,221209
2021-02-19,584,586.95,565,570,618486
2021-02-22,585.3,594.8,581.85,586.5,270912
2021-02-23,593.05,599.9,587,590,293762
2021-02-24,591.7,597.9,581,593.1,70648
2021-02-25,591.1,602.65,586.9,593,316025
2021-02-26,589.95,596.9,578.9,587.7,336654
2021-03-01,586.75,597.65,585,589.95,122982
2021-03-02,581.55,590,579.95,586,119321
2021-03-03,607.2,610,582,583.9,1818162
2021-03-04,604.1,606.85,594.35,599,196623
2021-03-05,604,608.35,601,603.25,173204
2021-03-08,615.35,620,603.15,605.5,247257
2021-03-09,604.35,624,597.5,618,236352
2021-03-10,605.95,608.75,604,604.35,81924
2021-03-12,604.95,611.75,599.5,610,98520
2021-03-15,584.25,605,580,604.95,150374
2021-03-16,585.5,593.8,580.75,585,104477
2021-03-17,581.25,588.6,575.1,588.6,100398
2021-03-18,565.9,584.7,555,580,135575
2021-03-19,562.45,570,547.55,560.1,107192
2021-03-22,557.6,564.9,555.05,563.9,97586
2021-03-23,559.75,569.9,556,559.95,118986
2021-03-24,561,568.7,555.6,562.95,71318
2021-03-25,560.15,568,551.1,563,254593
2021-03-26,562,567.7,555.35,561.05,89961
2021-03-30,570.05,576,557.1,559.25,107318
2021-03-31,583,585.9,565.1,565.1,142961
2021-04-01,572.8,583.05,568.1,579.1,193119
2021-04-05,567.5,572,560.15,571.5,90947
2021-04-06,571.75,578.4,565,565,165454
2021-04-07,594.95,600,567.05,570,148301
2021-04-08,578.6,602.6,574.95,589.5,207486
2021-04-09,586.2,594.05,575,575,386474
2021-04-12,545.4,581,538,571.05,180323
2021-04-13,550.7,564,540.25,540.25,177235
2021-04-15,551.8,561.85,549.25,553,345166
2021-04-16,559.75,570.8,553.05,555,176820
2021-04-19,555.35,567.4,542.25,554.25,156956
2021-04-20,555.55,566.25,553,560.35,102123
2021-04-22,565.15,566.9,550.1,550.1,120852
2021-04-23,567.4,573,559.05,563,438619
2021-04-26,591.1,593.05,567.45,568.8,214794
2021-04-27,605.15,631,595,595,685038
2021-04-28,609.35,623,605.5,610,443120
2021-04-29,625.55,642,615,626.35,1101034
2021-04-30,639.15,649,622.95,626.15,694551
2021-05-03,662.9,678.8,633.65,635.1,775446
2021-05-04,647.8,674,641.75,674,288507
2021-05-05,644.5,666.6,640.55,655,293576
2021-05-06,665.15,670.4,630.45,640.1,483606
2021-05-07,700.3,704.5,653.15,665.9,748621
2021-05-10,714.75,720,700.05,705,476717
2021-05-11,709.25,713.4,701.1,710,125998
2021-05-12,680.25,709.2,672,702,224691
2021-05-14,694.6,704.45,684.8,685,421510
2021-05-17,739.6,749,692.05,701,458293
2021-05-18,765.1,777,748,751,447894
2021-05-19,767.2,775.7,752.1,769.7,195193
2021-05-20,752.45,774.55,747,774.55,165503
2021-05-21,752.35,770.65,750.5,768.85,181782
2021-05-24,743.1,767,725,765.5,465401
2021-05-25,735.75,759.9,725.8,745.7,258012
2021-05-26,746.3,757,739,741.6,136106
2021-05-27,749.2,770,739,752.25,615026
2021-05-28,761.15,764.85,747,760,309208
2021-05-31,761.4,771,752.3,768.75,145312
2021-06-01,763.55,766.1,757,761,124659
2021-06-02,761.35,765.55,754.5,760,206494
2021-06-03,758.15,775,752.8,763,190687
2021-06-04,760.2,768,756.05,765,222083
2021-06-07,763.75,770,757.45,770,186265
2021-06-08,768.7,778,757.3,773.95,229135
2021-06-09,768.95,776.95,766,775,119882
2021-06-10,823.4,836.2,768.05,780,930433
2021-06-11,801,838.95,782.9,829.7,285221
2021-06-14,787.6,815,784.15,805,132417
2021-06-15,780.55,798,777.7,789.2,91763
2021-06-16,778.9,789.55,767.25,786.7,187749
2021-06-17,778.45,791.45,770.2,776,377005
2021-06-18,781.3,792,761.05,785,216790
2021-06-21,775.55,801.8,771.05,779,117198
2021-06-22,787.65,793.95,778.05,781.75,64982
2021-06-23,775.6,790.8,772.35,786,63455
2021-06-24,874.2,919.45,775.05,775.05,2032100
2021-06-25,852.55,882,836.6,864,1241477
2021-06-28,868.8,880,852.6,852.6,785922
2021-06-29,857.7,869.7,850.3,869.7,414151
2021-06-30,853.65,872.9,851,861,372246
2021-07-01,849.7,872.7,843,858.05,243463
2021-07-02,849.25,854.9,844.2,852.7,75846
2021-07-05,843.15,859,835,859,229474
2021-07-06,848.6,865,838.1,844.2,236996
2021-07-07,846.95,858,844.1,852,256371
2021-07-08,825.3,861.95,821.25,860,282987
2021-07-09,827.35,838.35,822,828.3,118255
2021-07-12,824.75,837.05,822.5,835,224718
2021-07-13,826.4,838.65,819.1,827.9,475761
2021-07-14,844.75,859.95,827.45,830,816881
2021-07-15,854.45,865.05,842.5,848.5,605159
2021-07-16,879.15,908,862,862.3,3147450
2021-07-19,893.5,907.15,855.95,855.95,893103
2021-07-20,873.25,901.4,860.3,895.7,633477
2021-07-22,899.75,917.85,877,877,911804
2021-07-23,918.2,948.85,890.45,908.8,1255354
2021-07-26,926.35,936.6,912.9,924.95,793658
2021-07-27,923.2,937.05,919,930,257830
2021-07-28,955.1,993.7,923.15,931,1245135
2021-07-29,991.6,999.95,966.05,980,1305708
2021-07-30,1041.75,1054.1,975.25,999.4,1091975
2021-08-02,1051.2,1061.65,1012.65,1045,403653
2021-08-03,1055.1,1078.95,1041.35,1056.5,379003
2021-08-04,1054.25,1078,1040.05,1058,250545
2021-08-05,1017.35,1055.95,1013.35,1055.95,243720
2021-08-06,1014.05,1046.45,1004.95,1014,392406
2021-08-09,1008.45,1023.9,992.35,1013,120554
2021-08-10,980.4,1019.75,975.05,1000,218700
2021-08-11,1005.2,1019,937.15,982,361059
2021-08-12,1081.55,1100,1012.8,1035,774584
2021-08-13,1043.75,1096.4,1030.05,1091.45,279966
2021-08-16,1072.7,1087.5,1012.05,1038.05,325477
2021-08-17,1095.65,1107.7,1065,1070.25,352490
2021-08-18,1129.4,1147,1110,1110,729476
2021-08-20,1089.55,1135.6,1072.95,1135,467328
2021-08-23,1077.2,1116,1037,1095,718023
2021-08-24,1093.9,1114.35,1067.3,1072,294658
2021-08-25,1118.1,1129,1095.05,1100,329026
2021-08-26,1145.45,1165,1120.15,1125,511673
2021-08-27,1146.9,1168.6,1138.05,1150,229172
2021-08-30,1153.55,1193.55,1146.75,1158.8,261908
2021-08-31,1195.35,1214.55,1149,1161,290226
2021-09-01,1180.5,1210,1170,1205,263747
2021-09-02,1171.6,1200,1167.65,1180.5,121695
2021-09-03,1174.7,1195.05,1167,1195.05,180977
2021-09-06,1163.5,1195.95,1157,1174,147027
2021-09-07,1161.8,1190,1150,1166.4,148785
2021-09-08,1175.75,1216.2,1160.25,1163.5,419493
2021-09-09,1174.4,1203.95,1171.6,1180,171799
2021-09-13,1180.05,1187.05,1165,1177.8,94656
2021-09-14,1176.45,1195,1172,1185,251892
