Date,Close,High,Low,Open,Volume
2004-04-06,10.5,10.5,8.42,10.4,3
2004-04-07,10.5,10.5,8.52,8.52,50
2004-04-15,10.3,10.35,9,9,220
2004-04-19,9,9,9,9,10
2004-04-21,9.6,9.6,9.6,9.6,50
2004-04-22,9.8,9.8,9.8,9.8,88
2004-04-30,11.38,11.39,9.11,11.39,300
2004-05-03,10,10,10,10,20
2004-05-04,11.06,11.94,10.1,11.94,204
2004-05-05,9.6,11.4,9.3,11.06,501
2004-05-06,10.1,10.78,9.95,10,860
2004-05-10,10.38,10.38,8.36,8.36,400
2004-05-12,8.5,8.5,8.5,8.5,1
2004-05-13,10.17,10.18,8.6,8.6,15
2004-05-14,8.81,8.81,8.81,8.81,100
2004-05-24,9.39,9.39,9.39,9.39,50
2004-05-28,7.82,7.82,7.82,7.82,1
2004-06-04,7.6,9.2,6.4,6.4,276
2004-06-07,7.07,7.63,6.49,7.62,152
2004-06-11,7,7.02,7,7.02,196
2004-06-23,5.73,5.73,5.73,5.73,1000
2004-06-28,6.34,6.68,6.34,6.68,338
2004-07-01,7.2,7.4,6.8,6.8,725
2004-07-05,7,7.1,6.76,6.76,625
2004-07-06,6.93,7.3,6.7,6.96,425
2004-07-07,7.8,7.8,7.8,7.8,20
2004-07-09,6.8,6.8,6.8,6.8,100
2004-07-12,7.83,8,7.62,7.62,60
2004-07-14,6.62,6.63,6.62,6.63,200
2004-07-16,7.38,7.38,7.38,7.38,100
2004-07-20,7,7.2,7,7.2,800
2004-07-21,7.02,7.3,7.01,7.3,400
2004-07-22,7.13,7.34,7.02,7.03,300
2004-07-23,7,7.2,7,7.2,300
2004-07-26,7.35,7.36,7.34,7.34,4
2004-07-27,7.01,7.01,7.01,7.01,500
2004-07-28,7.01,7.01,7.01,7.01,101
2004-08-04,6.9,6.9,6.9,6.9,200
2004-08-06,7.2,7.2,6.8,6.8,50
2004-08-09,6.98,7,6.6,7,10797
2004-08-10,7.2,7.23,6.93,6.93,5501
2004-08-11,7.01,7.01,7.01,7.01,199
2004-08-12,6.8,7.02,6.8,7.02,725
2004-08-16,6.8,6.8,6.8,6.8,100
2004-08-18,6.64,6.68,6.63,6.68,200
2004-08-20,6.98,6.98,6.98,6.98,500
2004-08-23,7,7.3,6.89,7.3,152
2004-08-24,7,7,6.77,6.77,502
2004-08-25,7.05,7.09,6.75,6.75,528
2004-08-26,6.89,6.9,6.86,6.9,710
2004-08-27,7.22,7.24,6.96,7,1403
2004-08-30,7.59,7.59,7.22,7.23,2450
2004-08-31,7.74,7.96,7.56,7.96,9725
2004-09-01,7.94,8.13,7.8,7.8,4429
2004-09-02,7.95,8.24,7.95,8.24,2050
2004-09-03,7.8,8.13,7.8,8.13,1327
2004-09-06,7.94,8.08,7.8,7.8,975
2004-09-07,8.34,8.34,8.07,8.07,9325
2004-09-08,8.61,8.71,8.48,8.71,10733
2004-09-09,8.41,9,8.31,9,7480
2004-09-10,8.4,8.69,8.13,8.69,6155
2004-09-13,8.42,8.76,8.37,8.76,1925
2004-09-14,8.56,8.56,8.56,8.56,100
2004-09-15,9.42,9.42,8.31,8.31,134190
2004-09-16,9.53,9.96,9.45,9.7,120586
2004-09-17,9.39,9.9,9.23,9.8,19935
2004-09-20,9.07,9.8,9.02,9.8,3791
2004-09-21,8.65,8.8,8.44,8.6,2621
2004-09-22,8.6,8.89,8.5,8.89,2292
2004-09-23,8.63,8.9,8.42,8.9,4822
2004-09-24,8.62,8.69,8.56,8.6,1454
2004-09-27,8.58,9.2,8.4,9.2,1602
2004-09-28,8.86,9.2,8.65,9.2,18149
2004-09-29,8.8,9.2,8.7,9.2,4823
2004-09-30,8.83,9.68,8.72,9.65,1904
2004-10-01,8.74,8.98,8.58,8.98,3952
2004-10-04,8.65,9.6,8.6,9.6,8129
2004-10-05,8.64,9.1,8.51,9.1,4659
2004-10-06,8.5,9.08,8.43,9.08,8379
2004-10-07,8.49,9.34,8.45,9.34,2982
2004-10-08,8.63,9.24,8.6,9.24,2634
2004-10-11,9.02,9.7,8.4,9,34190
2004-10-12,8.75,9.8,8.6,9.2,5883
2004-10-14,8.76,9.5,8.61,9.5,993
2004-10-15,8.6,9.6,8.55,9.6,2483
2004-10-18,8.6,9.3,8.55,9.3,3412
2004-10-19,8.73,9.6,8.59,9.6,4073
2004-10-20,8.75,9.6,8.2,9.6,4687
2004-10-21,8.69,9.28,8.6,9,4278
2004-10-25,8.38,8.79,8.3,8.66,2452
2004-10-26,8.61,9,8.48,8.75,3369
2004-10-27,8.94,9.3,8.7,9.2,4680
2004-10-28,9.13,10.7,9,10.7,4425
2004-10-29,9.18,9.48,9.1,9.29,4009
2004-11-01,9.5,9.71,9.05,9.5,11078
2004-11-02,9.88,10.4,9.68,9.68,29125
2004-11-03,9.93,10.6,9.71,10.6,8872
2004-11-04,10.58,10.88,9.64,9.74,24912
2004-11-05,10.27,10.94,9.91,10.8,22366
2004-11-08,10.15,10.9,10.04,10.52,10351
2004-11-09,11.58,12.18,10.18,10.39,181741
2004-11-10,11.5,11.9,11.21,11.78,32248
2004-11-11,10.87,11.94,10.71,11.6,12524
2004-11-12,11.27,13,11.1,11.1,6509
2004-11-16,11.2,11.78,11.09,11.4,5545
2004-11-17,11.15,11.5,11.05,11.05,3340
2004-11-18,11.55,11.98,11,11.29,53755
2004-11-19,11.17,12.36,11.1,12.36,4518
2004-11-22,11.3,11.5,10.92,10.92,8038
2004-11-23,11.11,11.78,11.1,11.78,5759
2004-11-24,11.14,11.37,11.02,11.35,3755
2004-11-25,10.95,11.4,10.85,11.2,5558
2004-11-29,10.9,13,10.8,12.3,3418
2004-11-30,10.43,11.12,10.04,10.98,4590
2004-12-01,10.39,10.76,8.4,10.2,8924
2004-12-02,10.56,10.75,9.61,9.61,2402
2004-12-03,10.7,10.9,10.22,10.42,5970
2004-12-06,10.39,10.76,10.23,10.23,1880
2004-12-07,10.37,10.54,10.26,10.26,4017
2004-12-08,10.42,10.82,9.89,9.89,8959
2004-12-09,10.34,10.47,10.3,10.47,1039
2004-12-10,10.43,10.7,10.4,10.41,3025
2004-12-13,10.97,11.15,10.76,10.79,6379
2004-12-14,11.16,11.53,11.05,11.36,5082
2004-12-15,11.12,11.69,10.96,11.1,13929
2004-12-16,11.15,11.38,10.93,11.24,5961
2004-12-17,10.89,11.4,10.87,11.36,4605
2004-12-20,10.94,11.34,10.6,10.61,5171
2004-12-21,10.95,11.28,10.87,11.28,3300
2004-12-22,11.75,13.14,10.87,10.87,156135
2004-12-23,14.1,14.1,11.8,11.95,133472
2004-12-24,16.92,16.92,13.43,14.5,303066
2004-12-27,16.16,17.6,15.9,17,85618
2004-12-28,17.28,17.78,15.46,16.36,66159
2004-12-29,18.67,19.01,16.36,17.4,146125
2004-12-30,17.63,19.58,17.04,18.6,20875
2004-12-31,18.22,19,17.8,18.4,33005
2005-01-03,19.15,19.46,17.8,18.74,39094
2005-01-04,18.62,19.2,18.2,19.2,3447
2005-01-05,17.71,18.59,17.12,18.59,7636
2005-01-06,17.98,18.4,17.05,17.05,3137
2005-01-07,17.66,17.94,17.45,17.94,1043
2005-01-10,17.64,18.38,17.64,18.38,2040
2005-01-11,16.7,17.6,16.2,17.6,1113
2005-01-12,15.62,16.59,15.61,16.2,1742
2005-01-13,15.71,16.2,15.71,16.01,1275
2005-01-14,17.28,17.29,16.2,16.2,19818
2005-01-17,17.69,18.38,17.2,17.6,10405
2005-01-18,17.47,18.4,17.29,18.2,5121
2005-01-19,16.83,17.52,16.83,16.84,1457
2005-01-20,15.94,17.18,15.61,16.22,1609
2005-01-24,15.17,16.4,15.02,15.6,3056
2005-01-25,15.6,15.78,15.6,15.78,200
2005-01-27,15.72,16.4,15.63,15.97,1777
2005-01-28,15.8,16.4,15.62,16.4,272
2005-01-31,16.17,16.26,15.92,15.92,750
2005-02-01,15.8,16.1,15.8,16.1,200
2005-02-02,15.88,15.89,15.88,15.89,50
2005-02-03,16.57,17.38,15.47,16.2,4134
2005-02-04,16.87,16.9,16.86,16.86,140
2005-02-07,16.5,17.36,16.5,17.36,20
2005-02-08,17.24,17.5,16.94,17,3619
2005-02-09,17,17.5,16.99,17.1,604
2005-02-10,16.37,17.38,16.37,17.38,112
2005-02-11,16.23,17.4,16.14,17.4,2001
2005-02-14,16.32,17.5,16.02,16.4,5794
2005-02-15,16.65,17.36,16.37,17.36,2885
2005-02-16,16.31,16.52,16.29,16.29,601
2005-02-17,16.12,16.72,15.87,16.72,103
2005-02-18,16.33,16.38,15.8,16.38,362
2005-02-21,15.84,16.39,15.21,15.21,280
2005-02-22,17.35,17.43,16.02,16.39,10890
2005-02-23,16.85,17.2,16.6,17,2864
2005-02-24,16.9,17,16.52,16.52,1550
2005-02-25,15.93,17,15.9,16.96,2146
2005-02-28,15.78,16.8,15.77,16.8,501
2005-03-01,15.91,16,14.83,14.83,3404
2005-03-02,15.99,17.4,15.43,17.4,1928
2005-03-03,16.38,16.57,15.85,16.57,5153
2005-03-04,15.77,17.24,15.65,17.2,2256
2005-03-07,16,16.4,15.8,16,1602
2005-03-08,16.12,16.98,16.02,16.98,1015
2005-03-09,16.71,17.2,15.6,16.15,6435
2005-03-10,17.58,18.2,15.56,15.56,23644
2005-03-11,19.34,19.34,17.6,18,12363
2005-03-14,20.31,20.31,20.31,20.31,3562
2005-03-15,21.32,21.32,20.4,21.32,11822
2005-03-16,22.39,22.39,22.18,22.29,13399
2005-03-17,23.51,23.51,21.9,23.3,51412
2005-03-18,22.76,24.39,22.4,24.39,10240
2005-03-21,21.64,23.59,21.64,23.59,6508
2005-03-22,20.74,21.2,20.64,21,2979
2005-03-23,19.77,20.2,19.75,20.2,700
2005-03-24,19.52,20.38,18.8,18.8,48405
2005-03-28,19.15,19.39,19.1,19.17,315
2005-03-29,18.2,18.64,18.2,18.64,1339
2005-03-30,17.7,18.2,17.42,18.2,1350
2005-03-31,18.51,18.51,17.81,18.12,649
2005-04-01,19.44,19.44,18.8,19.35,2171
2005-04-04,20.42,20.42,19.03,20.4,103583
2005-04-05,20.49,21.45,20.14,21.4,1852
2005-04-06,20.53,21.48,19.47,20.8,7250
2005-04-07,20.28,21.56,19.82,20.98,2476
2005-04-08,20.23,21,19.3,20.4,3877
2005-04-11,21.9,22.26,20.26,20.26,26761
2005-04-12,21.99,23,21,22.6,5209
2005-04-13,22.97,23.4,22,22.2,5807
2005-04-15,23.01,23.38,22.43,22.6,6594
2005-04-18,23.46,24.8,22,22.2,10097
2005-04-19,22.72,24.4,22.4,24.11,2923
2005-04-20,22.18,23.2,21.62,23.2,4026
2005-04-21,24.4,24.4,22.25,22.68,22451
2005-04-22,26.84,26.84,24.05,25.39,105267
2005-04-25,26.73,28.58,26.42,28.36,14960
2005-04-26,26.41,28.2,26.07,27.4,8588
2005-04-27,26.05,27.59,25.68,27.2,2433
2005-04-28,25.5,26.78,25.14,26.6,45671
2005-04-29,27.76,28.05,26,26,53854
2005-05-02,30.54,30.54,28.6,28.6,98099
2005-05-03,33.6,33.6,31.63,31.63,73365
2005-05-04,34.74,35.28,32.25,34.96,113234
2005-05-05,33.04,35.39,33.01,35.2,32410
2005-05-06,34.06,34.58,32.22,32.78,136397
2005-05-09,34.71,35.6,33.6,34.6,60132
2005-05-10,34.4,35.05,34.03,34.79,8309
2005-05-11,33.93,34.4,32.81,34.4,7071
2005-05-12,34.26,35.63,33.45,33.99,38826
2005-05-13,33.55,34.49,33.11,34.49,12808
2005-05-16,35.15,35.23,33.81,34.1,139636
2005-05-17,36.87,36.91,35.2,35.74,45862
2005-05-18,38.72,38.72,37.4,37.86,27382
2005-05-19,40.66,40.66,39.1,39.2,45526
2005-05-20,40.23,42.7,39.65,41.1,65189
2005-05-23,42.25,42.25,40.4,40.67,27419
2005-05-24,41.17,44,40.26,43.78,55198
2005-05-25,43.23,43.23,41.24,41.8,51195
2005-05-26,42.32,45.04,41.11,44,615813
2005-05-27,40.7,42.98,40.21,42.8,156195
