Date,Close,High,Low,Open,Volume
2018-07-06,1037.35,1061.65,1000,1015,14543041
2018-07-09,1041.1,1047.9,1021.6,1030.4,1221862
2018-07-10,1038.45,1047,1034,1045,336269
2018-07-11,1026,1042,1015.25,1028.05,139819
2018-07-12,1042.65,1050.5,1025,1025,249829
2018-07-13,1035.25,1058.9,1016.25,1044.5,171676
2018-07-16,1022.45,1035.25,1018.05,1035,123918
2018-07-17,1034.45,1039.7,984.2,1022.45,207463
2018-07-18,1016.6,1040,1011,1040,72488
2018-07-19,993.55,1019.9,981.5,1011.25,86703
2018-07-20,964.65,985.2,960,977.15,90859
2018-07-23,950,976.55,941.5,975,71292
2018-07-24,945.85,955,940,943.25,59016
2018-07-25,946.75,951.95,940,942,66954
2018-07-26,974.8,980.1,931.1,945,92091
2018-07-27,972.3,980.05,958,980,32501
2018-07-30,996.8,1033,967.15,970,114013
2018-07-31,1008.2,1014.95,983.1,983.1,32170
2018-08-01,999.75,1008,995.1,999.5,19116
2018-08-02,974.65,999.6,972.5,992,16905
2018-08-03,982.65,996,977.05,980,28114
2018-08-06,991.85,1004,971,971,46310
2018-08-07,989.9,1007,982,1000,30497
2018-08-08,982.65,994.05,973.25,993.95,27031
2018-08-09,979.95,993.9,976.25,984,16651
2018-08-10,972.25,991.9,970.1,985,12768
2018-08-13,962.55,978.95,960,967,8846
2018-08-14,968.3,992.4,960.55,963.75,19533
2018-08-16,968.75,978.9,960.05,964.05,10254
2018-08-17,978.3,999,965.3,968.75,297459
2018-08-20,991.3,998,979.95,980,24167
2018-08-21,1012.1,1024.9,989,991.5,97605
2018-08-23,1087.3,1098.85,1005,1012,268534
2018-08-24,1069.35,1114.75,1060.2,1088,169131
2018-08-27,1072.8,1100,1070,1080,81673
2018-08-28,1111.2,1143,1070.25,1079.9,224603
2018-08-29,1117.95,1149,1112,1117,68384
2018-08-30,1144.55,1150,1111.05,1126,76327
2018-08-31,1151.15,1170.1,1141.65,1142,80144
2018-09-03,1151.95,1178.7,1150,1163.25,83900
2018-09-04,1151.95,1175.05,1135.5,1152.4,86739
2018-09-05,1125.8,1151,1085,1151,320809
2018-09-06,1105.65,1134.95,1072.2,1125.25,89091
2018-09-07,1089.6,1112.45,1061,1095,51356
2018-09-10,1034,1090.05,1029.9,1090,84119
2018-09-11,1036.8,1042.6,1022.75,1035.25,33900
2018-09-12,1017.45,1050,993.35,1037,77150
2018-09-14,1053.75,1060,1020.4,1020.4,47942
2018-09-17,1030.05,1050,1025.25,1050,20012
2018-09-18,1011.4,1048,1005,1028.05,16680
2018-09-19,988.65,1020.95,980,1020.95,33084
2018-09-21,985.9,1015,950.1,999.9,41820
2018-09-24,979.05,1000.1,935.1,985,36881
2018-09-25,980.75,983.95,955,982.3,14643
2018-09-26,849.9,989.95,812.2,981,731357
2018-09-27,891.6,944,875,904,135320
2018-09-28,877.95,901.45,855.4,895,42916
2018-10-01,895.45,900,831,875,32066
2018-10-03,896.55,915,890.1,911.9,43080
2018-10-04,831.8,885,825.5,885,88203
2018-10-05,815.55,839.8,812,839.8,34010
2018-10-08,787.65,825,755,815.7,35009
2018-10-09,779.25,798,761.6,798,156162
2018-10-10,795.5,805.05,770,770,43958
2018-10-11,788.55,797,760,780,22265
2018-10-12,805.25,814,790.95,792.45,49932
2018-10-15,779.9,809.95,774,809.95,66775
2018-10-16,806.9,813,777.05,786.15,49173
2018-10-17,810.95,829.9,794.7,812.35,46582
2018-10-19,768.1,801,757,801,22292
2018-10-22,761.15,784.3,756.15,775,8635
2018-10-23,747.55,761.9,692,751,84451
2018-10-24,744.6,763.9,730.95,760,11235
2018-10-25,726.3,743.9,725,734,19050
2018-10-26,693.55,729.9,682.7,720,30137
2018-10-29,749.15,777.7,695,705,22019
2018-10-30,745.6,774.5,740,754,12706
2018-10-31,761.75,769,740.1,755,13461
2018-11-01,753.4,777,750,753.1,12780
2018-11-02,816.75,827,758.95,767,184988
2018-11-05,813.8,829.85,802.1,820,8906
2018-11-06,802.15,820,796.5,808.2,8228
2018-11-07,823.75,826.05,812.35,820.95,3721
2018-11-09,827.55,829,805.35,818.65,17639
2018-11-12,829.9,839.5,820,820,48058
2018-11-13,814.8,852.95,797.95,820,57243
2018-11-14,767.9,821.35,762,821.35,37545
2018-11-15,738.2,783.95,736,783.95,17142
2018-11-16,730.5,751,721.1,751,412840
2018-11-19,730.4,745,730,745,18537
2018-11-20,722.75,734.9,721.2,730.4,32971
2018-11-21,726.65,735.05,721.2,725.05,17381
2018-11-22,716,729.8,711.85,725.05,67748
2018-11-26,711.35,720.55,700,716,10120
2018-11-27,702.5,719.45,701,715,37714
2018-11-28,704.4,714.9,701.4,702,19975
2018-11-29,707.9,713.15,701,712.95,15820
2018-11-30,714,729.6,708,708.1,25497
2018-12-03,714.95,723.5,707,718.4,13979
2018-12-04,720,727.9,708.35,727.9,10304
2018-12-05,706.25,719.45,700.1,719.45,8169
2018-12-06,685.5,705,682.1,705,81442
2018-12-07,670.7,698.8,666.45,698.8,18863
2018-12-10,675.25,679.85,658.75,660,10440
2018-12-11,648.9,683.1,636.3,669.9,41385
2018-12-12,686.05,698,645.9,648.9,87341
2018-12-13,687.95,709,682.1,700,11197
2018-12-14,682.85,700.3,671.9,682.05,16338
2018-12-17,681.8,698,679.3,691.15,10470
2018-12-18,684.5,689,677.55,689,121093
2018-12-19,686.7,696.75,683.1,684.9,13247
2018-12-20,673.6,689.3,670,686.7,19742
2018-12-21,669.55,685,661.85,685,59120
2018-12-24,671.05,674.45,665.1,670,4804
2018-12-26,669.55,678.15,663.75,678.15,24264
2018-12-27,668.85,679.95,661,675,7266
2018-12-28,674.8,678.8,667.95,667.95,5108
2018-12-31,726.15,739.9,674.65,675,45887
2019-01-01,734.8,742,702.95,738.9,21696
2019-01-02,723.6,735,715,733.9,8853
2019-01-03,721.45,731,719.15,722.1,5731
2019-01-04,721.95,729.25,720,725,4952
2019-01-07,730.2,735,722.5,722.5,5283
2019-01-08,736.85,742,721,735,6286
2019-01-09,731,746.9,726.1,746.35,6929
2019-01-10,719.85,738.2,718,735,5431
2019-01-11,730.05,732.05,717.45,729.65,4377
2019-01-14,727.05,729.25,721,721,2444
2019-01-15,735.4,742,728,729.65,5438
2019-01-16,723.3,738.05,722,726,5297
2019-01-17,716.95,730,715.95,730,3696
2019-01-18,722.1,726,707.9,711.1,43686
2019-01-21,708.15,730,688.05,710.2,32674
2019-01-22,691.5,724,683.95,724,7992
2019-01-23,704.85,710.15,692.4,702,103728
2019-01-24,672.05,704.85,669,701.1,9667
2019-01-25,658.7,684.95,648,684.95,12825
2019-01-28,643.5,669,633.05,665,131221
2019-01-29,656.4,667.1,635.05,635.05,14546
2019-01-30,655.05,668,647.65,659.35,11493
2019-01-31,648.05,665.85,627.05,658.05,75244
2019-02-01,648.95,660.05,644,659.75,6772
2019-02-04,637.15,652.55,631,652.2,43220
2019-02-05,617,647,603,638.55,24788
2019-02-06,612.6,637.45,606.6,626.95,10951
2019-02-07,623.7,629.9,608.1,608.1,13040
2019-02-08,619.9,636,604,623.25,71893
2019-02-11,587.95,622.05,580.35,622.05,119170
2019-02-12,604.3,609,580,595.95,11721
2019-02-13,588.85,613.3,585.9,613.3,4949
2019-02-14,590.2,596.1,580.55,590,5821
2019-02-15,580.7,600.85,578.95,599.1,12352
2019-02-18,570.25,584,568.25,581.55,5428
2019-02-19,573.15,583,565.25,574.75,12585
2019-02-20,592.7,594.7,572.65,574.55,18646
2019-02-21,613,630,589.95,594.95,14140
2019-02-22,619.45,629.8,613.7,613.7,5628
