Date,Close,High,Low,Open,Volume
2010-01-08,141.1,142.8,132,132,3109
2010-01-11,148.45,150.75,142,143.6,26901
2010-01-12,150.15,152.3,148,150.8,62770
2010-01-13,149.7,155,148.1,155,84049
2010-01-14,147.35,153.5,145,152,58312
2010-01-15,150.1,151.5,147.25,148.05,46568
2010-01-18,154,155,148.25,151,51478
2010-01-19,154.2,155.3,153.15,154.95,16835
2010-01-20,156.35,160.3,153.35,155.3,88326
2010-01-21,147.15,157,141,141,39208
2010-01-22,150.25,155.45,142.55,150,39730
2010-01-25,146.6,151.25,135.1,135.1,17609
2010-01-27,135.7,147.8,132.15,147.8,33556
2010-01-28,131.25,140,126.6,139.75,78068
2010-01-29,132.95,133.3,128,129.5,16152
2010-02-01,135.4,138.2,128.7,128.7,132640
2010-02-02,135.2,139.8,134.05,137.85,47959
2010-02-03,136.6,138.95,135.05,135.05,10099
2010-02-04,134.45,137.95,133.55,137.95,9873
2010-02-05,132.4,134,129,130.15,15598
2010-02-08,132.1,139.75,126,126,4326
2010-02-09,133.3,134.45,127,127,4172
2010-02-10,131.15,137.95,130.15,131.05,8397
2010-02-11,132.4,136.5,131.5,136.5,4861
2010-02-15,132.2,135.95,129.85,130.5,26428
2010-02-16,134,135,129.2,131.3,35739
2010-02-17,132,137.25,131.15,137.25,53263
2010-02-18,130.4,133.2,130,130.1,5151
2010-02-19,134.3,135.9,128.55,135,22237
2010-02-22,131.9,139.8,131,139.8,3801
2010-02-23,135.8,136.5,130.3,131.15,22735
2010-02-24,132.9,137.5,130.95,133,5118
2010-02-25,133.05,136.45,132,132.05,3566
2010-02-26,141.3,142.8,134.1,135.1,53429
2010-03-02,144.65,148.3,142,142.8,109613
2010-03-03,154.75,156.3,136,136,125962
2010-03-04,156.1,157,149.1,156.1,54395
2010-03-05,153.65,158.5,152,158.5,40832
2010-03-08,159.35,160.3,154,159,39691
2010-03-09,171.8,173.3,159.1,159.1,415536
2010-03-10,171.35,173.9,167,173.9,126470
2010-03-11,168.65,172.05,168,171.85,28012
2010-03-12,166.9,171.1,165,171.1,34241
2010-03-15,169.85,173.85,168.5,168.9,61794
2010-03-16,174.2,177.8,171.2,173.3,161776
2010-03-17,177.2,178.3,173.15,176,75636
2010-03-18,171.2,177.5,169.45,177.5,86276
2010-03-19,172.45,176,171.5,175,56303
2010-03-22,166.1,171.95,165.1,165.8,15293
2010-03-23,168.3,169.3,165.5,169,15343
2010-03-25,164.9,170,163,170,12722
2010-03-26,171.35,174.95,164,164.9,726343
2010-03-29,164.5,173.95,163.7,172.35,218082
2010-03-30,166.75,169.3,160.1,165,50671
2010-03-31,161.55,168,160.3,167,178364
2010-04-01,165.8,167.8,162,163,17722
2010-04-05,170,171,162.05,162.05,66538
2010-04-06,171.9,173,170,170,56407
2010-04-07,170.9,174.45,167.55,173.8,50189
2010-04-08,171.05,174.4,169,169,362482
2010-04-09,176.2,181.9,171.45,171.45,281817
2010-04-12,173,182.5,171.65,179.25,123763
2010-04-13,176.5,177.45,173.7,175,40831
2010-04-15,169.85,180.65,168.5,178,105279
2010-04-16,169.5,171.75,168.1,171.75,29031
2010-04-19,165.8,167.35,162.4,163.1,28029
2010-04-20,170.1,170.8,163.05,163.05,20388
2010-04-21,173.15,174.5,168.55,168.55,78521
2010-04-22,176,176.5,171,172.1,45983
2010-04-23,178.1,179.35,176.5,176.5,84987
2010-04-26,185.1,185.8,174.5,175,193018
2010-04-27,191.85,192.75,186.8,187,385546
2010-04-28,181.55,192.7,180.5,189,129842
2010-04-29,189.2,191.35,182.05,182.05,101673
2010-04-30,190.9,193,189,191.9,180005
2010-05-03,185.5,192,185,191,22383
2010-05-04,184.85,189.95,183.25,188.35,51881
2010-05-05,188.95,190.2,179.2,180,59483
2010-05-06,187.55,193.1,185.5,190,38002
2010-05-07,185.6,186.95,182.15,183,92418
2010-05-10,192.7,193,185.1,185.1,23124
2010-05-11,188.9,193.5,187.15,193.5,29682
2010-05-12,192.4,193,186.35,190.5,36081
2010-05-13,205.8,207.8,192.2,193,263105
2010-05-14,200.9,209.85,198.65,209,191066
2010-05-17,241.1,241.1,192.2,199.95,925413
2010-05-18,250.35,284,244,252.55,2480521
2010-05-19,250.15,280.5,241,250.35,3095889
2010-05-20,269.15,274.75,244.2,256,1576681
2010-05-21,260.55,275,256.15,261.6,750026
2010-05-24,256.05,269.25,254,264.9,338956
2010-05-25,243.5,267,236.2,256.05,448135
2010-05-26,265.3,268.9,246.8,246.8,765278
2010-05-27,259.6,268.85,256.65,265.3,314038
2010-05-28,259.4,268.5,257.55,263.4,243638
2010-05-31,253.2,261.4,251.6,258,83186
2010-06-01,253.25,266.7,251,251,290882
2010-06-02,262.5,265.4,254,255.85,261069
2010-06-03,265.1,270.8,261.05,266,255685
2010-06-04,261.55,268.35,259.25,262.05,89560
2010-06-07,245.6,256.9,244.1,255,188266
2010-06-08,233.3,250.65,232,244,156516
2010-06-09,235.1,238.85,227.25,233.85,142466
2010-06-10,241,243.45,235,237.9,179120
2010-06-11,240.8,244,231.75,241,22310
2010-06-14,241.8,246.9,237.15,240.5,13377
2010-06-15,244.1,245.8,238.2,240,18679
2010-06-16,252.45,255.5,238.05,238.05,31360
2010-06-17,255.55,258.8,247.5,255,51973
2010-06-18,248.7,258,247,256,16067
2010-06-21,252.65,253.65,248.1,250.5,21356
2010-06-22,252.75,254.85,247.25,250.4,41487
2010-06-23,254.25,257,250,252,14259
2010-06-24,254.8,256.25,252.6,255,52081
2010-06-25,264,266.25,253,255,91508
2010-06-28,264.45,269.8,257.35,262.95,217305
2010-06-29,265,265.1,260,260,30510
2010-06-30,264.1,266,256.25,262,101275
2010-07-01,264.85,266,260,260.1,106179
2010-07-02,265,266.5,261,265,557876
2010-07-05,263.1,270,262.15,267,15671
2010-07-06,265.85,268.5,262.5,265.1,56408
2010-07-07,274,277.75,262.1,265.85,63732
2010-07-08,287.7,287.7,277.05,279,145431
2010-07-09,288.5,296,286,292,33254
2010-07-12,285.5,293.9,282.25,289.9,40665
2010-07-13,299.5,299.8,282.75,290.4,44076
2010-07-14,296.15,302,292,300,32205
2010-07-15,296.15,303,294,300,39586
2010-07-16,293.45,301.7,292.3,299,35426
2010-07-19,286.35,300,279,298,64499
2010-07-20,274.75,284.8,272.05,283.3,142848
2010-07-21,278.95,279.95,267.5,279,26529
2010-07-22,282.05,283.8,275,277,27593
2010-07-23,282.95,284.8,275.6,280.55,51974
2010-07-26,272.75,281.9,269,280.55,36693
2010-07-27,278.4,279.95,266.55,268,55445
2010-07-28,279.45,283.95,275.35,276,26028
2010-07-29,277.55,279.8,266.05,276,5573
2010-07-30,279.65,280.8,271,271,38335
2010-08-02,272.65,284.8,271.5,284.8,12970
2010-08-03,271.4,280,268,280,14556
2010-08-04,271.45,274.7,268.1,274.7,6107
2010-08-05,280.7,282.85,268,271,23018
2010-08-06,277.45,286.85,276.3,285,14912
2010-08-09,278.55,281.95,271.25,281.95,17355
2010-08-10,273.05,278,271.5,278,15477
2010-08-11,286.7,286.7,269.5,269.5,127068
2010-08-12,295.9,300,285,290,54900
2010-08-13,298.45,300,287.5,295,44774
2010-08-16,298.55,300,288,300,17865
2010-08-17,299.1,300,294.1,300,21638
2010-08-18,314.1,314.1,292,312,103797
2010-08-19,316,329.8,312.5,319.3,86813
2010-08-20,309.5,328,308.1,328,130199
2010-08-23,306.25,313.9,303.1,310.8,68734
2010-08-24,307.1,312,290.95,309,99615
2010-08-25,300.25,309,297,309,67084
2010-08-26,292.9,302,289,295.55,64594
2010-08-27,289.95,299,285.1,289,111135
2010-08-30,289.65,292,283.5,287.3,23394
2010-08-31,282.7,294.9,277.95,287,37429
2010-09-01,295.65,296.85,283.5,283.5,265184
2010-09-02,293.45,300,290.25,300,44955
2010-09-03,297,299.7,293.45,295.9,11729
2010-09-06,305.55,311.3,297,300.1,130370
2010-09-07,299.4,311,297.6,308.7,51912
2010-09-08,294.7,302.8,292.15,296.75,14138
2010-09-09,318.95,339.7,289,295,738342
2010-09-13,313.65,327.7,311.05,322.15,291773
2010-09-14,311.55,326.75,301.1,316,232372
2010-09-15,309.85,317.5,308,315.9,63012
2010-09-16,301.05,312,298,308.2,73357
2010-09-17,310.05,316.25,292,300.2,404079
2010-09-20,305,316,301,313,104855
2010-09-21,296.8,309.45,292.5,307.75,121341
2010-09-22,298.9,300.8,290.55,296.1,135300
2010-09-23,300.5,302.8,294.6,299.9,135240
2010-09-24,297.9,303.75,295.05,302.8,50971
2010-09-27,293.1,303.8,291.05,301.8,36737
2010-09-28,296.6,306.8,290.05,294,196578
