symbol,market_type,trigger_date,entry_date,entry_price,target_ath,drawdown_pct,exit_date,exit_price,reason
BIRLACORPN,Micro Cap,2026-06-01,2026-06-02,982.0,1767.1,-44.428725029709696,2026-09-04,887.35,DATA_END
CRIZAC,Micro Cap,2026-06-01,2026-06-02,220.99,374.25,-40.951235804943224,2026-09-04,160.29,DATA_END
FINPIPE,Micro Cap,2026-06-01,2026-06-02,176.5,350.3,-49.61461604339138,2026-09-04,158.63,DATA_END
GNFC,Micro Cap,2026-06-01,2026-06-02,495.0,902.85,-45.173616879880385,2026-09-04,596.7,DATA_END
JKPAPER,Micro Cap,2026-06-01,2026-06-02,361.7,633.75,-42.92702169625247,2026-09-04,405.8,DATA_END
MSTCLTD,Micro Cap,2026-06-01,2026-06-02,445.0,1107.45,-59.81759898866766,2026-09-04,734.2,DATA_END
OPTIEMUS,Micro Cap,2026-06-01,2026-06-02,395.95,851.2,-53.48331766917293,2026-09-04,569.3,DATA_END
REFEX,Micro Cap,2026-06-01,2026-06-02,304.1,573.75,-46.99782135076253,2026-09-04,282.55,DATA_END
RELAXO,Micro Cap,2026-06-01,2026-06-02,321.0,1436.2,-77.64935245787494,2026-09-04,344.75,DATA_END
SUBROS,Micro Cap,2026-06-01,2026-06-02,711.5,1194.2,-40.420365097973544,2026-09-04,709.6,DATA_END
SUDARSCHEM,Micro Cap,2026-06-01,2026-06-02,898.55,1523.8,-41.03228770179814,2026-09-04,1222.8,DATA_END
TSFINV,Micro Cap,2026-06-01,2026-06-02,401.65,690.4,-41.82358053302434,2026-09-04,404.7,DATA_END
VGUARD,Micro Cap,2026-06-01,2026-06-02,299.05,524.15,-42.94572164456739,2026-09-04,335.4,DATA_END
CSBBANK,Micro Cap,2026-06-25,2026-06-29,327.05,557.45,-41.33106108171136,2026-09-04,328.55,DATA_END
JSFB,Micro Cap,2026-07-08,2026-07-09,442.0,736.2,-39.96196685683239,2026-09-04,535.1,DATA_END
CMSINFO,Micro Cap,2026-08-11,2026-08-12,263.05,605.2,-56.53502974223397,2026-09-04,243.46,DATA_END
KANSAINER,Micro Cap,2026-08-11,2026-08-12,212.97,446.033,-52.252411817062864,2026-09-04,194.2,DATA_END
PNCINFRA,Micro Cap,2026-08-11,2026-08-12,223.4,559.3,-60.05721437511175,2026-09-04,183.11,DATA_END
SAFARI,Micro Cap,2026-08-11,2026-08-12,1502.0,2723.75,-44.85543827443782,2026-09-04,1540.4,DATA_END
SHAREINDIA,Micro Cap,2026-08-11,2026-08-12,167.99,399.49,-57.9488848281559,2026-09-04,170.5,DATA_END
STYRENIX,Micro Cap,2026-08-24,2026-08-25,2096.0,3466.8,-39.540786892811816,2026-09-04,2043.2,DATA_END
ACI,Micro Cap,2026-08-26,2026-08-27,490.0,822.75,-40.44363415375266,2026-09-04,504.2,DATA_END
